,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
0,0.74941075,0.73303044,2.1779232,0.06383455,-0.046092905
1,-0.0020828424,0.98521805,2.1874652,0.07631197,-0.028260525
2,-0.015036378,1.0333574,2.311361,0.09319247,-0.017744133
3,0.26930922,0.8840233,2.084765,0.058138806,-0.028466657
4,-0.04116733,0.9797691,2.4546783,0.059437316,-0.01808606
5,0.55723095,0.90184504,2.1018848,0.0597344,-0.008237231
6,-0.16489041,0.69568795,2.0353045,0.06113912,-0.029230487
7,-0.99,0.4757633,2.3116367,0.06197339,-0.02373113
8,0.57005596,0.8290995,2.1816483,0.06619339,-0.025715953
9,0.49412304,0.86512774,2.0640602,0.083328165,-0.023695001
10,-0.36945304,0.7985371,2.054933,0.08725662,-0.027014466
11,0.40243375,0.9733494,2.0424554,0.065822214,-0.031341307
12,0.37945056,1.0028784,1.8118821,0.070563555,-0.0064319465
13,-0.43365714,0.77060354,1.9267769,0.055060912,-0.020651905
14,-0.25869873,0.96236694,2.3558218,0.091122776,-0.0068831886
15,0.814082,0.69717675,2.2359836,0.0668568,-0.029199606
16,0.45340204,1.0366441,2.3016508,0.07919709,-0.03356476
17,-0.90549374,0.50746924,1.9443077,0.069887675,-0.026594091
18,0.55837244,0.856031,2.2322576,0.03820668,-0.028958658
19,0.45183125,0.9561598,2.186476,0.060422596,-0.052234538
20,0.64566493,0.8517283,2.2122564,0.06177272,-0.044220228
21,0.049619965,0.9485211,2.2042894,0.097492844,-0.015709901
22,0.40886968,0.88500065,2.310202,0.047967643,-0.0015638778
23,0.46445906,0.89382666,2.2879999,0.07297083,-0.015294182
24,-0.34133637,0.81178916,1.9269645,0.02652795,-0.02170022
25,0.17606261,0.9983069,2.2246463,0.07205793,-0.030573115
26,-0.6914824,0.6980683,2.0282547,0.08458588,-0.01830877
27,0.25740138,0.88088286,1.9236157,0.07955493,-0.044616014
28,0.5840649,0.82386625,1.8293877,0.079375245,-0.029658046
29,0.04914837,1.0301586,2.1142569,0.034451235,-0.025675789
30,0.45884416,0.97013086,2.3548791,0.05817111,-0.02485334
31,-0.42271987,0.9082259,2.1657186,0.084206484,-0.017706499
32,0.621452,0.83149767,1.8438741,0.058985103,-0.026080018
33,0.847033,0.73336935,2.0445108,0.09677374,-0.026949175
34,0.34341237,0.85811514,2.1278954,0.05102893,-0.01678365
35,0.3363923,0.93046856,2.556208,0.090142824,-0.028531488
36,-0.16467205,0.83148634,1.687575,0.108098745,-0.018367507
37,0.2922841,0.9387379,2.1928272,0.057346698,-0.03336624
38,-0.53296435,0.73645675,2.1433866,0.06765812,-0.016676815
39,0.63615936,0.73228645,1.7321832,0.08888682,-0.03919204
40,0.18987599,0.9895658,1.8940969,0.07818379,-0.03667682
41,-0.15931283,0.84124744,2.168137,0.06315465,-0.03662038
42,-0.20868543,0.91812766,1.8446859,0.0538133,-0.028940357
43,0.17629492,0.8294943,2.2206032,0.07561948,-0.026523674
44,-0.079315536,0.8597125,2.2563813,0.08344089,-0.033028435
45,0.5741427,0.8630196,2.0878706,0.07257364,-0.041280337
46,-0.63814926,0.6832867,1.8523798,0.069261916,-0.027145028
47,-0.017937232,0.73503447,2.213932,0.050227698,-0.028967476
48,0.71130353,0.85972804,2.1627202,0.06522332,-0.02573072
49,0.3001679,1.0029765,1.99548,0.08542579,-0.028153379
50,-0.058454737,0.99870896,2.02768,0.059581496,-0.010216378
51,0.11478672,0.8689981,2.039024,0.08369437,-0.052549683
52,0.8365161,0.8091029,2.2586153,0.078942865,-0.025768252
53,-0.22395705,0.9365727,1.867992,0.088841595,-0.019582702
54,-0.4043612,0.83275956,2.0719624,0.06850039,-0.042051036
55,-0.22094646,0.85926664,2.3521113,0.07562328,-0.05260381
56,0.36521676,0.966531,1.7904469,0.042170025,-0.015402797
57,0.36085567,0.8384626,1.7545798,0.08680221,-0.04616577
58,-0.48055023,0.88575464,1.8729848,0.07207728,-0.029918868
59,-0.11102459,0.9085027,1.8421963,0.08292913,-0.048208132
60,-0.38340622,0.7602239,2.110002,0.08909123,-0.03257108
61,0.63562566,0.73169035,1.7720072,0.0958578,-0.010591302
62,-0.8388257,0.5787734,2.0418477,0.030610297,-0.026312182
63,0.352576,0.87541294,1.9511769,0.07860889,-0.023745317
64,0.06787731,0.8793061,2.010176,0.076875694,-0.03704255
65,-0.43279338,0.72111493,2.1350806,0.09166417,-0.017930802
66,-0.27882004,0.8206016,1.8436506,0.082649596,-0.028491296
