,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.07181863,0.8116757,2.337935,-0.0390197,-0.17527166,0.2778734
1,-0.34114537,0.7849999,2.318686,-0.039056685,-0.18126848,0.27396435
2,0.3539414,0.7233758,1.7833692,0.007207237,-0.15350512,0.21054107
3,0.5783061,0.8709201,2.1994057,-0.007712764,-0.14362356,0.26010618
4,-0.26654667,0.7486382,2.1935928,-0.006403522,-0.1691859,0.2675217
5,-0.036960606,0.87086415,2.3808904,-0.006444401,-0.20258746,0.27123973
6,0.73064727,0.91412485,2.2923243,-0.039416727,-0.19728704,0.28861988
7,0.8405887,0.7974945,2.504759,-0.024206076,-0.21990465,0.28141847
8,-0.7210022,0.6103932,2.1705742,0.02056349,-0.15122831,0.26695195
9,0.027626043,0.8259136,2.242878,-0.035691515,-0.21237695,0.27816412
10,-0.07447849,0.9328407,2.1732776,-0.0183438,-0.18922375,0.26855156
11,0.5534072,0.9471739,2.1670344,-0.014101242,-0.15894547,0.3048584
12,0.70220083,0.96035457,1.9962809,0.00791513,-0.19586854,0.2567424
13,0.29887047,0.83804476,2.355167,0.004991388,-0.18414569,0.25500184
14,0.35423592,0.9798619,2.2606175,0.0075428863,-0.16806936,0.24191704
15,0.19030926,0.79236084,1.9173533,-0.013535121,-0.13696593,0.29014388
16,-0.58675164,0.73449105,2.252484,-0.014015794,-0.18499638,0.31879556
17,-0.3440931,0.8305148,2.6091368,-0.016197933,-0.21124631,0.2716587
18,-0.015477449,0.8627056,2.2495866,0.0038218503,-0.19107896,0.23922923
19,-0.17928101,0.8315765,2.0924084,-0.013046141,-0.2076086,0.23192334
20,-0.042095754,0.8127747,1.7784182,-0.004024092,-0.18597074,0.2599045
21,0.69540924,0.8655277,2.167151,0.02174956,-0.17658226,0.2656035
22,0.7684132,0.82912564,2.1795073,0.0065927333,-0.16392185,0.24615331
23,0.4616871,0.9677604,2.1838408,0.018079868,-0.18149027,0.2343765
24,0.11148412,0.8895308,2.3352387,-0.024633698,-0.20180728,0.260044
25,0.21742749,1.0694741,2.1222482,-0.00025883768,-0.19363883,0.24969517
26,0.11949181,0.8671224,2.208257,0.012631689,-0.19690813,0.2804423
27,0.4970296,0.8758948,2.409574,-0.0036121863,-0.13411379,0.22110407
28,0.2760229,0.9354123,2.3534794,0.019509116,-0.18045598,0.28386107
29,0.028389791,0.9658034,2.2094994,-0.0117555875,-0.20479839,0.26191142
30,-0.40864718,0.8583955,2.2482271,-0.0070466697,-0.17313023,0.24860069
31,0.6284727,1.0557373,2.2279308,0.029549042,-0.16571674,0.22088583
32,-0.26159686,0.92613965,2.4118705,0.0037097477,-0.16562986,0.30082616
33,0.6559238,0.86684287,1.9870484,-0.0092632845,-0.19383056,0.2501753
34,0.12087543,0.91846263,2.2689815,-0.013364602,-0.19775367,0.29774708
35,-0.01713483,0.9544558,2.1095233,0.01637145,-0.1758155,0.2319459
36,-0.0960133,0.90462714,1.9137673,0.015582231,-0.2000151,0.25785345
37,-0.090057224,0.9160521,2.344467,-0.023388188,-0.19228405,0.3094592
38,0.58932203,0.83572114,1.9272164,-0.036068827,-0.14443633,0.3022596
39,0.56306213,0.82262963,1.9943012,0.01618931,-0.1841528,0.26846227
40,0.06475978,0.8779616,1.9735348,-0.008567559,-0.17830382,0.2524641
41,0.13032258,0.8666975,2.4472961,-0.051109605,-0.14430653,0.27553016
42,-0.2627212,0.87568814,2.1496012,0.0013439206,-0.17709088,0.2583312
43,-0.53301233,0.8039624,2.2276506,-0.012537994,-0.1790527,0.24706909
44,-0.8436478,0.6187036,2.3803263,-0.029176183,-0.16976744,0.21438104
45,-0.31575987,0.9263921,2.1560063,-0.014447494,-0.15980053,0.28333628
46,-0.10720476,0.93527436,2.319052,0.04740801,-0.1633755,0.23105656
47,-0.78844255,0.6716662,2.049813,-0.010752774,-0.2024181,0.2552549
48,-0.077199675,0.9700477,2.0724428,-0.020664027,-0.18820271,0.31813356
49,-0.14696914,0.9241663,2.1516333,-0.023333365,-0.16334854,0.28295955
50,-0.3675514,0.83197653,2.4841878,-0.013793527,-0.14773442,0.25505924
51,-0.6014035,0.7139057,2.1201565,0.030165678,-0.09987043,0.21519493
52,0.1295066,0.88039744,2.323289,0.002293547,-0.17016551,0.22407761
53,-0.011245967,0.8721201,1.9986184,0.0024863102,-0.19903335,0.2757256
54,0.091140546,0.8856715,2.172092,0.017119199,-0.23178406,0.28082556
55,0.26034114,0.99452794,2.3888295,-0.003274313,-0.17443423,0.24842565
56,-0.7900681,0.6088257,2.1808481,-0.03168359,-0.20384152,0.27569845
57,-0.11395711,0.88301885,2.1846519,0.01046235,-0.21089052,0.2559509
58,-0.10385304,0.8654205,1.985755,-0.010891791,-0.16486973,0.28166482
59,-0.48210016,0.7553134,2.11664,-0.0112532135,-0.15287445,0.2369001
60,-0.34761634,0.8557733,2.579853,-0.021997433,-0.1672912,0.26616016
61,0.065747224,0.8267614,2.059813,0.008731499,-0.17803048,0.19383925
62,0.06129835,0.7930453,1.8080446,-0.011967195,-0.15332198,0.25897387
63,0.1714116,0.9324747,2.2998228,-0.003062733,-0.16679758,0.19103035
64,-0.45518798,0.8032456,2.233675,-0.0041206917,-0.18900512,0.31090796
65,0.10875062,0.9316714,2.2068245,-0.0019376943,-0.18146653,0.26261795
66,0.40718636,0.8356681,2.0154724,-0.04280481,-0.18797418,0.24912785
67,0.040768076,0.8621401,1.8450683,0.05156708,-0.17382213,0.2612682
68,-0.37999165,0.8443855,2.2118356,-0.012664607,-0.18526259,0.27349213
69,0.5245608,0.7943063,1.6869637,-0.030534824,-0.16868618,0.2566491
70,-0.21721986,0.8330102,2.179026,-0.027104788,-0.20086512,0.26557454
71,-0.34485725,0.7435048,1.9891058,-0.0003780421,-0.1619059,0.2811243
72,0.4590695,1.0172482,2.0512843,0.004989433,-0.18898855,0.29421353
73,-0.23016027,0.85681784,2.4807625,0.006938652,-0.20430568,0.32189673
74,-0.8226746,0.58154696,2.139922,-0.009049672,-0.20016171,0.29636025
75,0.35395926,0.91019714,2.059162,-0.012689778,-0.18711828,0.22790244
76,0.23551323,0.931053,1.9940087,-0.03310372,-0.1954674,0.2601132
77,-0.33334005,0.724707,2.2286072,-0.054046992,-0.2136593,0.26891696
78,-0.7692886,0.600014,2.1323783,0.008292455,-0.15030684,0.23475264
79,-0.99,0.5163361,2.676064,-0.029442964,-0.18625692,0.26675066
80,0.23478197,0.89153576,1.9763784,0.02577312,-0.19747034,0.25893125
81,0.005053054,0.83956355,2.2764447,0.00664338,-0.17955989,0.23021516
82,-0.12803677,0.9027757,2.1700253,0.015730614,-0.19200478,0.2445817
83,0.43940005,0.9608127,2.2504752,0.017169202,-0.18682183,0.22351825
84,-0.93231833,0.5468378,2.1649485,0.009138041,-0.18439817,0.20968035
85,-0.89776087,0.5959255,2.4233444,-0.008010488,-0.16689262,0.2515392
86,0.49679592,0.8605934,2.082359,-0.008338557,-0.18092224,0.2883773
87,-0.1272249,0.8223753,2.0745244,-0.006961535,-0.15985046,0.21609582
88,-0.49109343,0.8129246,2.0764165,0.003193613,-0.18144786,0.2330759
89,-0.8199687,0.55622005,1.8423581,0.0043262895,-0.15111114,0.22714736
90,-0.46126777,0.8237965,2.0366385,-0.013012646,-0.17598385,0.25118425
91,0.02235882,0.8583959,2.1802888,-0.006432444,-0.1874465,0.21750072
92,0.018481677,0.92501086,1.9177368,0.0157514,-0.13328376,0.2098056
93,0.34807882,0.86900777,2.0747685,-0.0014911339,-0.22874868,0.2789325
94,-0.6932587,0.7384803,1.8832046,0.019765183,-0.19541807,0.2672218
95,0.016986953,0.9115078,2.0948198,-0.014535502,-0.17457336,0.26792032
96,-0.008741111,0.8509861,2.0851338,-0.02795742,-0.20963095,0.25842434
97,-0.504473,0.7440007,2.1723795,-0.019944575,-0.18533999,0.27373323
98,0.18347876,0.9110076,2.036157,-0.012593688,-0.18176521,0.25379443
99,-0.63280904,0.6625483,2.3199012,-0.02452492,-0.12795173,0.2720681
100,-0.022007884,0.8733122,2.3192053,-0.009978184,-0.18307558,0.31174892
101,0.8957474,0.836629,2.7307904,-0.033825744,-0.16396588,0.3031179
102,0.73771095,0.8013168,2.533371,-0.023652548,-0.16900884,0.23087116
103,0.5508222,0.8837289,2.08971,-0.01952929,-0.18354176,0.2553021
104,-0.059416484,0.96126664,2.0050237,-0.0064008306,-0.18064353,0.24866074
