,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
0,-0.43321654,0.44345883,2.1343486,0.083910085
1,-0.29720253,0.5000455,2.103249,0.080957785
2,-0.37385163,0.47566184,2.293293,0.07006603
3,-0.4197207,0.47499144,2.1793659,0.037082374
4,-0.46622685,0.4541906,2.2089052,0.086784735
5,-0.47401688,0.46041188,2.0636435,0.10744442
6,-0.5641857,0.4143317,2.1338727,0.05584881
7,-0.56582355,0.44279954,2.329416,0.07970426
8,-0.49325225,0.4370154,2.2031107,0.11666922
9,-0.47985816,0.45935345,2.1024256,0.07081378
10,-0.53341186,0.4686694,2.2322984,0.06585979
11,-0.23631485,0.5169218,2.2012947,0.026187668
12,-0.5516767,0.4277057,2.075919,0.08511429
13,-0.35538593,0.5019114,2.0171354,0.06192894
14,-0.6433671,0.42667633,2.0885134,0.10613738
15,-0.4067648,0.46329337,2.2322066,0.034641363
16,-0.5804487,0.4082729,2.058126,0.11381825
17,-0.5081898,0.42326736,2.1552222,0.06472557
18,-0.386053,0.4558667,2.219975,0.07015317
19,-0.46288034,0.44926488,2.2046967,0.07414222
20,-0.32102823,0.48410913,2.3045335,0.09504739
21,-0.44556153,0.44731545,2.1741858,0.077227466
22,-0.44077444,0.462544,2.2653782,0.069982514
23,-0.65666205,0.42080563,1.8734505,0.077510566
24,-0.41992447,0.47570756,2.1680548,0.010240744
25,-0.40959847,0.4800068,2.0338643,0.09644675
26,-0.5890365,0.41938835,2.224651,0.056868408
27,-0.54641205,0.4421312,2.2375302,0.042100377
28,-0.34604368,0.45699733,2.0431647,0.08854639
29,-0.41358623,0.45434672,2.2077537,0.036819577
30,-0.33034453,0.48985502,2.1611018,0.09078838
31,-0.39959767,0.4689414,2.2860658,0.03608745
32,-0.46673554,0.44977474,1.9969267,0.09613146
33,-0.34227464,0.4694304,2.0538087,0.13165826
34,-0.27259424,0.475125,2.1011984,0.08705187
35,-0.45012164,0.4532931,2.0930014,0.077429235
36,-0.47121048,0.46977663,2.0952778,0.07131701
37,-0.46485755,0.45408618,2.1546087,0.09939373
38,-0.49906546,0.43221876,2.2945895,0.04601685
39,-0.40592247,0.49304837,2.000014,0.11585845
40,-0.27072194,0.53201866,2.0281222,0.12784001
41,-0.46369085,0.44762534,2.0351617,0.14687951
42,-0.493399,0.46895322,2.2850502,0.023895567
43,-0.44703043,0.47121122,2.0773141,0.080061935
44,-0.5225335,0.441341,1.9659433,0.06322639
45,-0.35168755,0.4992555,2.2528625,0.048684385
46,-0.3440178,0.5013881,2.0852907,0.06472162
47,-0.47563466,0.45237467,2.0013795,0.06093835
48,-0.5450822,0.41381153,2.1320148,0.07651275
49,-0.37649474,0.47145364,2.1128833,0.06978003
50,-0.5429496,0.4398423,1.9315912,0.10429123
51,-0.41524336,0.5153631,2.2985282,0.06520506
52,-0.30508095,0.48816583,2.2507365,0.07781294
53,-0.28904507,0.4953603,2.1341732,0.11563785
54,-0.52071226,0.41944233,2.2514734,0.037584465
55,-0.5315581,0.42148185,1.7609916,0.13575232
56,-0.37100276,0.46492773,2.199776,0.043750133
57,-0.29676804,0.53212816,2.118009,0.052189466
58,-0.29072076,0.4870256,2.199564,0.08318073
59,-0.39821085,0.47093332,2.0393314,0.08466341
60,-0.47126418,0.45801654,2.1900332,0.11288712
61,-0.5946587,0.38243064,2.1603818,0.09003167
62,-0.5069556,0.43233493,1.8681747,0.07394215
63,-0.37256366,0.4649946,2.1052182,0.12958011
64,-0.4211458,0.4781524,1.9740053,0.092736766
65,-0.32563752,0.50433475,2.0894845,0.073664434
66,-0.4294449,0.4848267,2.0950963,0.11850255
67,-0.4757562,0.46202362,2.0320995,0.0893827
68,-0.37579927,0.49198425,2.2308962,0.06436644
69,-0.37365228,0.53541696,2.1067681,0.07891308
70,-0.27103072,0.44637033,2.1291363,0.107523456
71,-0.46802288,0.4154431,2.0331666,0.08803333
72,-0.6701514,0.3654421,2.1572573,0.058270857
73,-0.31975564,0.4693998,2.0083697,0.07349368
74,-0.2444147,0.47158632,2.1944563,0.06348978
75,-0.4767545,0.44570535,2.0984066,0.068581745
76,-0.45296517,0.45124093,2.1461725,0.102767855
