,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
0,-0.53129286,0.3396728,0.29621783,1.862069,-0.22297312,0.27391362,1.8645866
1,-0.39761475,0.3910248,0.89185596,1.4544553,-0.14443858,0.27191952,1.389893
2,-0.35408562,0.38359722,1.307226,1.1705761,-0.20110801,0.2933411,0.9935607
3,-0.4559733,0.36546013,1.24047,1.0556258,-0.13929452,0.2162424,1.025228
4,-0.35785016,0.38929328,1.0138857,1.2726921,-0.09943247,0.1474509,1.2563121
5,-0.42292413,0.42503518,1.398295,0.8270728,-0.14928934,0.24945228,0.83110553
6,-0.4138437,0.36531442,1.4483047,0.68679404,-0.13080667,0.22785328,0.69576615
7,-0.3329253,0.35661438,1.7879394,0.46709332,-0.21927959,0.2626529,0.48715958
8,-0.3224566,0.40488982,1.8866872,0.29610118,-0.25246724,0.29829407,0.40431067
9,-0.42662507,0.37883756,2.3190758,-0.112023376,-0.15338086,0.29001027,-0.09831245
10,-0.38788486,0.36886707,-1.0584615,3.178675,-0.21690981,0.19997066,3.258623
11,-0.44784802,0.36826494,-1.3056874,3.4688945,-0.08405719,0.2707975,3.6736767
12,-0.3764136,0.36085948,0.6679605,1.5778309,-0.16273844,0.2752013,1.600162
13,-0.4572347,0.37656662,2.7164772,-0.358113,-0.20388332,0.32439178,-0.34556347
14,-0.39950228,0.35934824,3.0438397,-1.0979898,-0.1282536,0.32690996,-0.89595586
15,-0.49623033,0.37760663,3.861167,-1.6795797,-0.09735162,0.083507076,-1.6506746
16,-0.3475396,0.36715922,1.2096411,0.91327333,-0.2381771,0.34232497,1.0091163
17,-0.39173037,0.36676577,1.9450226,0.2803888,-0.17677099,0.24273789,0.3189696
18,-0.51428664,0.34011227,1.5588849,0.5864647,-0.13649994,0.27422962,0.6569665
19,-0.4699982,0.35190782,3.305614,-1.0057387,-0.16255312,0.2178508,-0.99374145
20,-0.37133914,0.37425935,2.427636,-0.17810266,-0.1493321,0.2648444,-0.176773
