,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
0,-0.57738996,0.32651442,-0.52435684,2.828748,-0.56942946,0.21461467,2.7633255,0.4433387
1,-0.99,0.19975354,0.8171787,1.4199601,-1.5902,0.39232853,1.4686513,1.2767411
2,-0.747379,0.259277,4.521087,-2.150687,-0.41788676,0.36463228,-2.2312796,0.20984708
3,-0.5209592,0.33741283,1.9726771,0.2948289,0.7367298,0.31699932,0.25709945,-0.90900075
4,-0.4683068,0.33205983,1.7494591,0.5150317,-1.6394938,0.39627448,0.5097266,1.3616656
5,-0.95596594,0.20927678,0.6231893,1.6534178,1.2199394,0.34564713,1.6126183,-1.4286749
6,-0.5635112,0.29714063,0.07388601,2.2308633,0.21346834,0.33848795,2.1517742,-0.4772199
7,-0.8151826,0.23005967,0.8402839,1.2791227,0.7937026,0.20494246,1.2258823,-0.9083918
8,-0.38137093,0.31828442,1.0470476,1.0324293,-1.7352207,0.2630664,1.0464748,1.7314519
9,-0.7557015,0.27858064,0.08447369,2.1179402,-0.3738818,0.34634787,2.078163,0.13104701
10,-0.3459488,0.30687094,0.79434264,1.4055622,-0.60011417,0.30657527,1.3802367,0.39452744
11,-0.7418524,0.22546145,2.8462207,-0.5468301,0.05036031,0.31885198,-0.51936895,-0.2669669
12,-0.7771914,0.2444215,-0.02838621,2.1887698,-0.75803065,0.23584372,2.1461825,0.69297713
13,-0.61489695,0.2952824,-0.68220407,3.0226126,0.8706092,0.44908932,3.021261,-1.1728374
14,-0.83024824,0.2401489,0.54196024,1.7505807,-1.6173236,0.4387222,1.7597785,1.2657468
15,-0.5750768,0.30596346,-0.595604,2.885372,-0.09349284,0.39425883,2.8092966,-0.19211821
16,-0.52773595,0.28833812,0.10735564,2.2206504,2.4451916,0.166067,2.3058097,-2.4536462
17,-0.40520483,0.33114842,0.9814544,1.1570537,-2.304046,0.3198418,1.1947196,2.140933
18,-0.53288037,0.33815485,2.111911,0.2580606,-1.5311193,0.33644277,0.23645218,1.3624209
19,-0.45988184,0.33251,1.0165334,1.0555003,2.3687232,0.31531775,1.0874366,-2.4785037
20,-0.56524765,0.30870563,1.1485198,1.050896,0.14004274,0.24232258,1.0836123,-0.23999824
21,-0.44629326,0.3010013,-0.21427119,2.4026964,-0.22594982,0.2802459,2.4020255,0.16920689
22,-0.6843491,0.26835567,1.4641671,0.76845366,1.7411144,0.28374222,0.6849075,-1.9722484
23,-0.7154727,0.2583906,-0.9224293,3.0449238,-1.4126799,0.19610731,3.128209,1.311201
24,-0.63370615,0.3320019,-0.21214701,2.4998767,0.35195678,0.33671993,2.5941005,-0.5384656
25,-0.6483438,0.2927628,3.611561,-1.2117524,-0.9639813,0.30266088,-1.2533842,0.8008838
26,-0.6205497,0.31060192,1.7866946,0.4683581,-2.2021346,0.35171974,0.5636614,1.9226153
27,-0.6893648,0.27112672,0.8910452,1.3096007,0.36614037,0.46693715,1.2996562,-0.61378056
28,-0.51802915,0.33781192,0.8579143,1.5222833,-1.5787048,0.3162168,1.5289905,1.2421471
29,-0.457039,0.31401342,2.1301842,0.050588798,3.3773718,0.10316025,0.042565517,-3.3046196
30,-0.62239677,0.32388666,0.8650541,1.1517113,0.8950329,0.2879702,1.1678641,-0.97487205
31,-0.7202399,0.2933705,-1.5186908,3.8707747,0.68950754,0.26080596,3.858593,-0.8796844
32,-0.5163167,0.30384907,1.2894244,0.87773854,-0.42655253,0.2965157,0.89726526,0.32404804
33,-0.5848911,0.2959424,-1.9896101,4.304185,0.9048474,0.36727107,4.387837,-1.1322006
34,-0.52603215,0.3466937,2.9793296,-0.68675774,1.2578841,0.23639408,-0.74153095,-1.2793707
35,-0.7229116,0.29072806,2.0792553,0.14895622,-0.5971133,0.2493261,0.09970774,0.48239085
36,-0.4630905,0.3318564,1.732571,0.55215764,0.1742519,0.29193944,0.50188756,-0.41183862
37,-0.26309076,0.33763042,1.9574101,0.28035054,-1.3587986,0.2803795,0.24981585,1.1316078
38,-0.5864816,0.3096007,1.028524,1.2035695,-1.0205218,0.43247312,1.2054524,0.7388572
39,-0.5858656,0.30276734,1.9146475,0.24161978,0.47828338,0.2478065,0.23858736,-0.6326319
40,-0.60816437,0.3279141,-0.4473469,2.7249827,0.84506834,0.28083465,2.781776,-0.9778226
41,-0.5458866,0.32359624,0.37886584,2.0359104,-0.57523423,0.29076672,1.9698871,0.40047774
