,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.0470985,1.2500153,-1.0027367,0.46374515,1.153917,0.8622694,0.84960496,0.5214072,3.410865,0.3435281
1,2.4241207,0.10121516,-1.1234336,0.42726833,0.11747682,0.91391885,0.8175528,0.5886606,3.5931587,0.32023725
2,1.5073771,0.9102691,0.2945184,0.38563204,0.8767002,-0.43651125,0.8451385,0.5037809,3.4972546,0.36302978
3,1.4990066,0.97810924,0.46944147,0.35514635,0.90172255,-0.6063195,0.8497184,0.5141138,3.4841685,0.39334336
4,1.2454494,1.1974946,-0.18143328,0.18138102,1.0200399,0.16089582,0.8514931,0.47838128,3.4287357,0.32741278
5,0.9931741,1.216377,0.6096541,0.4582068,1.2015477,-0.8191558,0.841592,0.4936074,3.6106803,0.3342748
6,1.0969621,1.2149488,0.22492363,0.33698058,1.1382444,-0.3931349,0.839057,0.44537282,3.3368099,0.40057123
7,2.0067644,0.33389738,0.672694,0.408661,0.18534878,-0.8481837,0.8389192,0.47301042,3.2504227,0.37858212
8,1.9660984,0.26643103,-0.6298719,0.3521199,0.31438807,0.43482402,0.8229591,0.50668436,4.048618,0.30151358
9,1.945665,0.2616021,-1.4883922,0.3784193,0.28204808,1.2632463,0.84528476,0.5287286,3.4126651,0.39261472
10,0.71031225,1.4374346,-2.3555393,0.38265157,1.4514357,2.0890834,0.8374428,0.49125224,4.354709,0.23941265
11,1.6294086,0.513402,-0.55967355,0.29283378,0.50213146,0.57612956,0.8469874,0.48695308,3.6250026,0.3511184
12,0.022007743,2.3805656,-0.2920226,0.3010967,2.33349,0.1377345,0.83842486,0.5125604,3.736794,0.3275075
13,0.64105153,1.8545595,0.50336754,0.4151762,1.7550564,-0.6373273,0.83765453,0.5337948,3.244076,0.38044477
14,4.721892,-2.0873175,0.7297407,0.37231356,-2.1861446,-0.9435429,0.84821415,0.43456218,3.2500103,0.3891381
15,1.5084225,1.2781866,-2.055031,0.3060012,1.214152,1.9849119,0.8311408,0.5559063,3.2514038,0.42282483
16,0.91554224,1.3793502,1.1272893,0.3262259,1.2988571,-1.1623515,0.8315882,0.48384017,3.0820892,0.44503984
17,-0.6479204,2.980954,-1.1611519,0.3640916,2.928528,1.0815728,0.8000368,0.595311,3.4381533,0.35621962
18,0.920118,1.3482023,0.41931298,0.34289038,1.3559685,-0.6185643,0.82333755,0.5217794,4.028996,0.3077867
19,2.5319207,-0.34094203,-1.4266697,0.44683817,-0.3379076,1.1606468,0.8323096,0.44375172,3.8574476,0.3160914
20,2.439334,-0.255865,0.27445486,0.3624383,-0.28119978,-0.5566432,0.8508557,0.44664863,3.6968312,0.2900809
21,0.51905435,1.6845417,3.2459316,0.26747438,1.6785657,-3.2785423,0.8321319,0.4687044,3.8537986,0.32206908
22,0.5978958,1.8404464,0.13454527,0.3161783,1.7352479,-0.13633136,0.8341395,0.59092015,3.4858186,0.38355002
23,0.12616901,2.0028305,-2.6240647,0.4170324,2.0512288,2.3315654,0.85386777,0.41365674,3.6006505,0.33298227
24,0.96917844,1.5609379,0.08242958,0.35963044,1.4241405,-0.21913676,0.8542102,0.3872932,3.4170015,0.38460484
25,0.2827281,1.926162,-0.5776256,0.34621844,1.9183563,0.32551304,0.80379736,0.55652446,4.3579125,0.25208837
26,1.9605353,0.22730385,-0.13616864,0.43811113,0.25664285,-0.07518693,0.8408142,0.51540357,3.7434113,0.3490886
27,2.6126256,-0.635399,-1.1780925,0.376043,-0.5708336,1.1291915,0.83457416,0.41360396,3.6701176,0.3417371
28,3.3281868,-1.0260836,-2.7483232,0.4157055,-1.0849551,2.3979344,0.82902247,0.46031907,3.3068316,0.39682895
29,0.21279703,1.9592408,1.5312644,0.34893864,1.9725873,-1.5994903,0.84398645,0.5450404,3.3721807,0.3598164
30,2.7649848,-0.7647956,0.01683137,0.29073292,-0.66194457,-0.025686512,0.83029896,0.51688,3.6950383,0.3203937
31,1.5473924,1.1704887,2.3166547,0.36600113,1.0832183,-2.240338,0.838486,0.58611804,3.6202762,0.31078124
32,2.444765,-0.346006,-1.7013942,0.35817003,-0.36411053,1.6063975,0.8344606,0.5035661,3.565189,0.36134812
33,0.7009223,1.7417557,-1.1939728,0.4036843,1.6619468,0.96584237,0.84297806,0.52007127,3.6023297,0.3307846
34,1.3942035,0.8283821,1.7747736,0.41734582,0.8119759,-1.9346392,0.82856387,0.50738865,3.8697393,0.30498827
35,1.968971,0.50116193,1.9329906,0.37503758,0.45993528,-2.0221386,0.834483,0.50877994,3.3988621,0.42069164
36,-0.43164882,2.5826628,-0.13224545,0.40543815,2.549376,-0.102494635,0.8509487,0.4383757,3.9561546,0.31929728
37,4.4259725,-1.7469279,-1.459953,0.468961,-1.7629949,1.4159741,0.856575,0.52693313,3.465257,0.31027347
38,3.1206248,-0.7205823,-0.29584414,0.3165418,-0.7758661,0.17340624,0.8362055,0.5764748,3.3383918,0.36399665
39,0.06245591,2.427815,-1.0992318,0.4273336,2.4080176,0.9482677,0.84638476,0.46887666,3.3482888,0.36980176
40,1.1651444,1.3605094,1.5013734,0.3918726,1.328287,-1.7564247,0.8003635,0.5387363,3.7170048,0.3110768
41,0.42749596,1.5869424,-0.65157014,0.254043,1.5645462,0.6528394,0.8460363,0.44774443,3.4766095,0.38618395
42,0.43578744,2.2747908,1.2656633,0.40564716,2.2015631,-1.5210228,0.8364933,0.53951275,3.907853,0.30056506
43,2.327749,-0.021139009,-3.3820853,0.39645144,0.019822564,3.0551486,0.8441815,0.47984055,3.2959964,0.37696972
44,1.1459976,1.2792886,2.3391314,0.39382312,1.2425448,-2.5081701,0.821044,0.5356762,3.6765704,0.3363406
45,1.464022,0.7715448,0.45606163,0.43667394,0.7687078,-0.6852566,0.8335751,0.5455281,3.9409359,0.31816593
46,0.18490848,2.0913856,-1.286607,0.29480264,2.2180288,1.0932149,0.84933066,0.41519237,3.6514738,0.31683338
47,2.5223627,-0.25780866,0.7964046,0.35828838,-0.23050094,-1.0100831,0.82643676,0.49376804,3.782112,0.33565152
48,0.3939204,2.0357194,-1.5878454,0.35171604,1.9779257,1.3497349,0.8371218,0.5025599,3.4913342,0.40521753
49,2.7595954,-0.5125091,-2.127532,0.30588496,-0.618055,1.9432858,0.8468094,0.4707464,3.6374147,0.3585242
50,2.1488693,0.17521825,-2.5438488,0.47624758,0.17883451,2.2567918,0.8537176,0.48169526,3.7476332,0.34278983
51,2.2857246,-0.35831368,-2.1397648,0.30599913,-0.48555756,1.9854268,0.83138365,0.32327226,3.6424365,0.29088598
52,-0.24022824,2.5859635,-0.88442,0.41970885,2.6928437,0.62222326,0.82542074,0.48711234,4.0596375,0.29588428
53,-1.024216,3.139712,-0.5784846,0.54253715,3.1858985,0.30753717,0.8512497,0.39108542,3.456403,0.33905676
54,2.8521214,-0.45358604,-2.75772,0.39448366,-0.54446095,2.3630764,0.8540527,0.4044807,3.0187664,0.37994176
55,1.4285941,1.116221,-2.1436372,0.33835396,1.0312644,1.7211775,0.8418822,0.43675366,3.316104,0.33077928
56,2.0489898,0.27100512,1.5967551,0.5871569,0.24318175,-1.7781982,0.8289204,0.50835943,3.5547602,0.2925931
57,0.69476587,1.7115325,-0.5675794,0.33976054,1.6488428,0.39781642,0.80588394,0.57029337,3.7654457,0.31963173
58,3.0815935,-0.5907204,-2.0960224,0.38955405,-0.598691,1.8050383,0.8361679,0.49921572,3.8614588,0.30383042
59,2.3222997,-0.20021203,-0.37318948,0.4158194,-0.28484243,0.15137863,0.85074234,0.42579606,3.7834954,0.33810353
60,2.2671044,0.13337761,-0.6023514,0.48286468,0.122905746,0.3308136,0.8103459,0.5784647,3.595949,0.34171984
61,3.1933846,-0.8548739,-2.5728219,0.49719808,-0.8877352,2.358638,0.84235084,0.4647028,3.1786318,0.37405893
62,1.2990602,0.8827199,0.47969788,0.31851137,0.79313254,-0.713115,0.8435362,0.43314546,3.3433921,0.34695247
63,3.2501547,-1.2465519,-2.3375993,0.46458474,-1.2595142,2.0742679,0.85028505,0.4438166,3.8377328,0.27031314
64,2.9924114,-0.8997921,-0.9047137,0.35755542,-0.96137923,0.8180002,0.83881503,0.47557193,3.7356114,0.30419058
65,3.4754279,-1.3164562,0.15016599,0.17877491,-1.3760574,-0.20521554,0.84816456,0.52094656,3.3457913,0.32863817
66,1.9402786,0.35318455,1.2478421,0.32965177,0.26183832,-1.4380928,0.785987,0.57278633,3.3489764,0.37228096
67,1.5539725,0.8438435,-1.2330577,0.40649208,0.75774163,1.0023429,0.8480942,0.5285648,3.479603,0.38644055
68,0.2597013,2.021898,0.55167747,0.41506776,1.9968019,-0.65783316,0.83581203,0.55434966,3.6607518,0.32672563
69,1.8552324,0.5036773,0.84374225,0.40592742,0.44516572,-1.0644516,0.82925296,0.5297508,3.7992916,0.33990735
70,1.0420096,1.1435915,1.6825007,0.47490647,1.2143124,-1.8637769,0.8391412,0.5028398,3.6254013,0.3264051
71,3.0330021,-0.76425606,-0.95293576,0.30564392,-0.7282,0.6894968,0.8409493,0.39752713,2.8678122,0.44353998
72,1.1831614,1.1502115,0.1827955,0.41453895,1.088574,-0.41787177,0.84905404,0.4407887,3.6086583,0.35987025
73,2.818151,-0.34105292,1.394354,0.41739666,-0.33424303,-1.6392796,0.82658774,0.5670588,3.3985453,0.37769172
74,-0.05385385,2.2019203,2.793789,0.41953045,2.1873195,-3.0363648,0.8325517,0.4396296,3.4156253,0.35279924
75,0.70211506,1.5999471,1.0634674,0.35545266,1.6260113,-1.256898,0.85280806,0.50309956,3.5240564,0.37454706
76,0.94778097,1.596408,1.573714,0.29526597,1.565982,-1.6111032,0.8063121,0.54794925,3.8156402,0.32189947
77,1.4538805,0.8105704,1.0076478,0.4348765,0.8132057,-1.1082071,0.84656924,0.5098748,3.6374788,0.33114368
78,1.7952348,0.42331785,-1.5150938,0.32774857,0.43948823,1.3430455,0.84660804,0.46958634,3.85003,0.32103333
79,-1.2368406,3.276666,-0.9920321,0.40851483,3.3018076,0.7484065,0.84504443,0.40646246,3.6430635,0.3100905
80,0.8693747,1.306442,-0.46829927,0.3159649,1.2441853,0.37873825,0.84718627,0.49852204,4.2243853,0.27796498
81,2.3273714,-0.0904929,1.2487313,0.40851116,-0.112781815,-1.324244,0.83303946,0.5060929,3.7442079,0.32963058
82,-0.33324775,2.4134736,1.6199281,0.39619714,2.3571644,-1.5809975,0.8381208,0.53323346,3.2083127,0.36077434
83,3.1207726,-0.8412444,-0.8354918,0.273614,-0.9622519,0.67940754,0.8527787,0.42256054,3.231492,0.37470508
84,0.41458344,1.9539529,0.7733942,0.48269162,1.9506425,-0.9682784,0.8368848,0.52383053,3.225712,0.37751716
85,1.8596984,0.3460818,-0.30239815,0.34670693,0.21038358,0.16315117,0.8518883,0.45287684,3.1816697,0.39715484
86,-0.14675988,2.440614,-0.1928464,0.33373526,2.3783038,0.008797188,0.8171086,0.60122836,3.115231,0.3803537
87,2.9760787,-0.5810114,0.25243324,0.43963677,-0.48536974,-0.49871388,0.8444793,0.50464094,3.8050628,0.3145073
88,1.3635373,0.87411314,0.24777061,0.3720913,0.8431802,-0.4071497,0.81285965,0.55781347,3.6142554,0.33210945
89,0.096143186,2.4128711,-0.3951449,0.55096465,2.394605,0.120796375,0.8522576,0.45716697,3.493314,0.3554327
90,1.8166285,0.34308726,2.5504665,0.41157198,0.32889697,-2.6110425,0.82818455,0.51956725,4.1200056,0.3195293
91,3.180258,-0.8743533,-0.17615773,0.33588433,-0.88459224,0.06160126,0.8420313,0.4805455,3.7453501,0.3343948
92,2.1661136,0.2246643,0.8643721,0.39374712,0.14399125,-0.9817141,0.8488294,0.51086813,3.4535658,0.38168243
93,0.97221327,1.2855808,1.1587185,0.34597936,1.1794462,-1.2920514,0.8338786,0.55720437,3.204171,0.3697817
94,1.6032735,0.57365274,0.5432727,0.4389298,0.4573541,-0.7695232,0.8390439,0.41453835,3.5480626,0.32169753
95,2.2078302,0.1225268,-0.64086777,0.31700927,0.10216057,0.5522036,0.8474701,0.5063633,3.3123684,0.409366
96,2.0073533,-0.09885958,-1.703239,0.43684882,-0.075028546,1.4112097,0.83797675,0.36192623,4.1336884,0.25169513
97,0.23095341,2.2125318,0.7330162,0.30531827,2.1204975,-0.74067765,0.8461274,0.49033165,3.4981928,0.36225754
98,2.1309307,0.25440052,1.4613593,0.39842623,0.15488811,-1.6674575,0.8702826,0.4255192,3.367792,0.38108942
99,0.98736966,1.5704744,-0.6084577,0.44003004,1.6321821,0.28568792,0.840192,0.5471917,3.0018492,0.43606946
100,0.03070977,1.8102913,-0.65797377,0.31808764,1.8460189,0.69727063,0.85334975,0.3991263,3.2804759,0.35717973
101,0.711643,1.7294829,0.37837064,0.41468364,1.7118031,-0.517538,0.82210064,0.5220965,3.4554214,0.38154516
102,1.4608345,0.75420475,-1.0089935,0.4388665,0.6590614,0.83921194,0.8463872,0.4667013,3.5640738,0.33620328
103,0.6277305,1.8131323,-0.028655428,0.46356618,1.8759266,-0.10657479,0.84375775,0.5513814,3.5539343,0.34463188
104,0.71264374,1.8468314,0.85391754,0.38980186,1.7798667,-0.9883272,0.8140007,0.56939775,3.186362,0.41486922
105,3.471774,-1.0360783,-0.17365429,0.3891131,-1.0698601,0.040870134,0.83617103,0.47662944,3.8342369,0.3117002
106,1.7606416,0.49678177,1.1833841,0.32686833,0.50601995,-1.3768053,0.84217715,0.56193095,3.5200403,0.38483307
107,-0.42881033,2.8076394,-0.34567174,0.38267568,2.7262435,0.16414212,0.83678275,0.49212828,3.996956,0.31489074
108,0.55353445,1.9188756,-1.2126013,0.22928089,1.8775862,0.90544254,0.8449535,0.4272135,3.644483,0.27312464
109,2.1360445,0.1943375,2.347406,0.33719254,0.14338456,-2.3883827,0.8389379,0.46433246,3.3717148,0.40010318
110,0.74267226,1.5009791,0.7330963,0.4159123,1.4439287,-0.92719847,0.8479653,0.46906573,3.932538,0.31616715
111,0.6535211,1.6370825,1.718938,0.33821,1.4892977,-1.8948561,0.85308397,0.4603945,3.4863114,0.36234605
112,1.2935851,1.0496198,-1.9384634,0.34022176,1.0221244,1.8758981,0.8215112,0.540413,3.653421,0.35076723
113,-0.08471498,2.7103846,-1.2146336,0.28562015,2.4742205,1.1066132,0.8505429,0.4220304,3.839982,0.29198396
114,0.37062433,2.0053215,-0.9090536,0.40184566,1.9522804,0.73185056,0.8384688,0.45136815,3.4211218,0.3932491
115,1.9112716,0.09585639,-0.25361183,0.4756219,0.13000168,0.008626243,0.84049,0.46347803,3.959144,0.29292095
116,2.7620916,-1.0809077,-2.1285162,0.48232397,-1.0325999,1.8697671,0.5687459,0.52545255,5.1291175,0.18058471
117,0.6380362,1.680829,0.003521821,0.3877561,1.6289148,-0.046882384,0.8356901,0.5892939,3.2069023,0.4428014
118,2.182494,0.040661775,-0.22908577,0.29772645,0.041368257,0.18206804,0.8316124,0.48421544,3.5525777,0.35778478
119,0.6165061,1.8701372,0.8894757,0.32557425,1.8181535,-1.1478595,0.819395,0.49853882,3.4401436,0.3737265
120,1.8966094,0.40252608,1.0376699,0.44839486,0.32920867,-1.1513647,0.84447974,0.49036968,3.1724727,0.4210535
121,3.8247373,-1.5968583,-4.8254495,0.3264195,-1.59355,4.600417,0.8322625,0.44367322,3.603079,0.3425681
122,0.42769396,2.1901226,0.55015254,0.39902887,2.1547053,-0.7698275,0.8353203,0.5677612,3.0823283,0.41588372
123,0.41953227,2.0607781,-0.8176739,0.33638427,2.0334387,0.65494215,0.84307665,0.49561656,3.5075848,0.36970988
124,3.7097948,-1.680868,0.9879462,0.35843867,-1.6717695,-1.0950946,0.84324884,0.51738864,3.7754996,0.306022
125,1.9614607,0.4560702,1.0989068,0.30431905,0.4372353,-1.2161603,0.8335279,0.50970507,3.4036891,0.3887326
126,2.1805131,0.30135846,1.5427881,0.2817219,0.2089534,-1.4292631,0.8535124,0.5099635,3.39883,0.31804538
127,1.875087,0.714647,1.1410054,0.42055562,0.7191682,-1.475482,0.8153911,0.5512387,3.9786406,0.31222612
128,-0.25407562,2.555735,0.26100966,0.29163128,2.4320853,-0.334539,0.8318191,0.48080733,3.4041424,0.37502474
129,2.0320268,0.34587237,0.19243023,0.44021952,0.2914667,-0.3904566,0.84628016,0.4408973,3.2635326,0.40540937
130,1.8354261,0.43734223,-0.76291573,0.39683333,0.4053642,0.6493862,0.8489302,0.5447124,3.5634897,0.37593326
131,0.37896815,1.7894169,-0.093346186,0.42394418,1.7689222,-0.087699465,0.83682543,0.5163618,3.7159467,0.30732116
132,2.4164777,0.24745849,-1.952888,0.45193705,0.16336855,1.8364148,0.8515993,0.46426192,2.9809437,0.42907855
133,2.0229442,0.4744658,-1.0918368,0.30105725,0.3982886,0.89740497,0.8469116,0.5222639,2.9175224,0.44792542
134,2.7341588,-0.3891426,-1.0096537,0.53956455,-0.2981286,0.7384942,0.844953,0.54964,3.5857935,0.37094316
135,0.50118446,2.0849502,0.39383236,0.4708821,2.021561,-0.5518809,0.8287552,0.52974033,3.882748,0.26591393
136,3.2234583,-1.0411599,1.1391429,0.38094962,-1.084366,-1.2056693,0.820853,0.58024967,3.8092475,0.32285652
137,2.9677086,-0.47545895,2.0922937,0.36296448,-0.54914594,-2.0931609,0.8498825,0.52056587,2.9401798,0.4545615
138,3.381643,-1.0289236,-1.1190397,0.2618687,-1.024257,1.1260307,0.82536125,0.5767802,3.3981647,0.40729156
139,-1.0947056,3.13125,-0.350457,0.29929435,3.0697165,0.2590535,0.82587105,0.44630957,3.925226,0.2918774
140,0.9476757,1.4571939,-0.5405688,0.34855187,1.3769654,0.40969983,0.83598053,0.538206,3.6109216,0.3432093
141,1.9036269,0.5552049,-0.5287523,0.41058466,0.54445535,0.46262643,0.839254,0.49887496,3.383532,0.3588467
142,-0.68111074,3.331888,-2.1401563,0.37602776,3.4372282,1.9391094,0.8500333,0.49936283,3.2398453,0.40932998
143,1.3623595,0.51051915,-1.213769,0.54318154,0.59745425,0.9010808,0.8324618,0.40233272,3.9821854,0.24604605
144,0.809012,1.7720649,3.2921348,0.41758093,1.6258391,-3.431549,0.84778386,0.40057397,2.8111393,0.51637644
145,1.4938402,0.8265287,2.6164293,0.44291294,0.7920412,-2.7360168,0.8228061,0.5477635,3.6226122,0.35785598
146,-2.1483164,4.4495974,-1.2280828,0.39104187,4.510271,1.091435,0.8432047,0.51568115,3.5510511,0.34802097
147,3.4072409,-1.1764486,-4.884936,0.3063998,-1.158616,4.6775565,0.83538634,0.5757923,3.2766657,0.3300546
148,0.6973097,1.6695638,0.997546,0.35183737,1.5828046,-1.1600231,0.83045405,0.55413294,3.4593766,0.35145888
149,0.5804513,1.6538616,-0.08612014,0.40986857,1.6119517,-0.15936187,0.8378045,0.5165001,3.7359822,0.3244268
150,1.2115197,1.3491378,-0.1064305,0.5477352,1.2955929,-0.21085139,0.82734865,0.480565,3.5816343,0.31355953
151,-0.62093025,2.8472428,-0.027041811,0.3931081,2.8125079,-0.15025899,0.85466576,0.4945923,3.4225078,0.34310144
152,0.9590632,1.4337361,-3.0740604,0.35173967,1.4350239,2.8606873,0.8224205,0.50791526,3.6988049,0.34911877
153,2.214837,0.104561076,-0.28989193,0.41960803,0.043050047,0.07187909,0.8517569,0.41796547,3.4144616,0.39066866
154,3.4728012,-1.0278324,0.47773823,0.33935636,-1.1537491,-0.689195,0.825396,0.56930846,3.6695423,0.3366004
155,0.45578045,1.5448093,1.2847788,0.36538684,1.5476921,-1.3122644,0.8501295,0.43061695,3.5654745,0.36941898
156,1.2810091,0.63497263,-3.3550737,0.3712417,0.64421093,3.0714195,0.84250116,0.33813196,4.1924467,0.21734917
