,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,0.38554075,1.7733196,0.48705778,-0.008666756,1.7980229,-0.6395073,0.43050537,0.8431433,0.52994174,3.300143,0.32864612340927124
1,3.0580835,-0.5356376,0.8631707,1.817031,-0.5239845,-1.2220737,-1.7996289,0.85625273,0.28575557,3.0342774,0.14584913849830627
2,1.9863213,0.5747066,-0.39974546,-2.316568,0.561427,0.5363934,2.7128696,0.8641206,0.089994326,2.7969687,0.10930659621953964
3,-0.41372782,2.736789,-0.8324959,-0.122770146,2.844313,0.77217376,0.5592168,0.82770765,0.5978703,3.6470535,0.2954103648662567
4,0.97175556,1.4476175,2.3366382,-0.07612108,1.3475264,-2.500317,0.57759243,0.84760946,0.43608782,3.462644,0.30651944875717163
5,0.4323526,1.7617111,-4.2214613,0.2945417,1.9244798,3.8982117,0.11108972,0.8385874,0.46925402,3.5621932,0.32349857687950134
6,0.11443456,2.3634455,0.34511623,-1.9481428,2.151647,-0.3751302,2.149148,0.86135834,0.1571789,3.579229,0.1064561977982521
7,1.7350173,0.8131267,-1.4598243,-0.31657457,0.6121928,1.2593185,0.5443678,0.8562604,0.3556165,3.2029662,0.3168736398220062
8,1.2514744,1.2246028,0.86227757,-0.5932444,1.1553868,-0.9472961,0.9685631,0.83448917,0.4160614,3.4362023,0.2654670774936676
9,0.50260895,1.7522222,1.340887,1.3996133,1.7341573,-1.6703125,-1.297182,0.85515755,0.23381867,3.3056502,0.16663473844528198
10,2.1694539,0.0045885807,2.602273,3.5181992,0.006447719,-3.2816732,-3.5057964,0.8463827,0.27048996,2.7797413,0.03034530207514763
11,1.0960932,1.5523516,1.5989319,-1.2316635,1.3001354,-1.5037528,1.3569158,0.86009634,0.29565188,2.526735,0.2727676331996918
12,0.5878812,1.9200538,2.5194674,-0.34408212,1.879777,-2.595212,0.6420104,0.8400255,0.4588203,3.0188127,0.4072858393192291
13,2.385266,-0.10996543,0.94546527,-1.1600553,-0.120788984,-1.0174533,1.5331047,0.85470194,0.22072731,3.5024238,0.1707363873720169
14,3.3638444,-0.7916206,1.597085,-2.4530265,-0.7445814,-1.6614174,2.9825745,0.86596286,0.0962576,2.6304789,0.09645076841115952
15,0.43863514,1.9377546,1.6126904,1.0646769,1.8029567,-1.8858533,-0.76329106,0.8482846,0.37667865,3.191749,0.28048455715179443
16,0.5124914,1.8153547,0.834298,-1.3628299,1.5710341,-0.7026148,1.6984806,0.8588082,0.20546015,3.2761521,0.16795378923416138
17,2.3071196,0.030454809,0.00651275,1.4242964,-0.1313078,-0.28702292,-1.152168,0.8627753,0.26520666,3.0945609,0.2058304399251938
18,1.1526103,1.1717858,0.16148463,0.24967153,1.0614893,-0.39636162,0.19194171,0.85461307,0.4006263,3.428582,0.3627212941646576
19,1.3861051,1.0977167,0.89663666,0.32968035,0.99525857,-1.1426959,-0.030943591,0.83663636,0.47903207,3.433355,0.3454115688800812
20,3.0971231,-0.5051085,0.08264222,-1.4332644,-0.38415,0.06542196,1.7500651,0.8529626,0.2631796,2.869079,0.2391839623451233
21,2.7967722,-0.44139388,-0.7656679,0.4096936,-0.5624623,0.46840978,-0.27672786,0.8544968,0.33311772,3.4034762,0.31499651074409485
22,1.0585376,1.1932814,-1.8998908,3.3061545,1.1654695,1.3805174,-3.2443416,0.8363636,0.23114334,2.7068403,0.04584498703479767
23,1.4859095,1.3634957,0.41446373,-2.4583907,1.429538,-0.5268205,3.2546759,0.86459774,0.040046956,2.658672,0.09036553651094437
24,3.4354112,-1.1824703,-1.1585491,-1.1322765,-1.3901021,1.3360935,0.995388,0.8593767,0.20458804,3.4898863,0.1752249151468277
