,posterior_g1,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.8821356,0.5121464729309082,0.04248413071036339,7.0889177,2.0922284
1,1.8367426,-0.4914078414440155,0.07303058356046677,7.5014505,1.80021
2,1.9534224,0.44504314661026,0.05,6.799333,2.3058305
3,2.0346072,-0.30442455410957336,0.05,4.320714,2.126569
4,2.0062327,0.7923185229301453,0.05,5.059306,2.2603886
5,1.9591838,0.7497087121009827,0.05,6.1985497,2.8002203
6,1.8403318,0.47056159377098083,0.09301970154047012,7.5080914,1.6426396
7,1.8160598,-0.05030383542180061,0.10251516848802567,7.5168695,1.1079309
8,1.8821818,0.08064250648021698,0.046099953353405,7.256941,2.207694
9,1.8333659,0.44436323642730713,0.06095975264906883,7.5291853,1.3448054
10,1.8513539,-0.30026325583457947,0.003280330216512084,7.4094505,1.7805775
11,1.7577742,-0.19297322630882263,0.027598699554800987,7.5213304,0.86380076
12,1.9197623,0.36165615916252136,0.05,7.1876187,2.4851582
13,1.8122295,-0.006908813491463661,0.056344449520111084,7.532237,1.3932935
14,1.8175948,-0.060130443423986435,0.04600434750318527,7.5155597,1.2590424
15,1.924771,0.14767706394195557,0.05,6.692685,2.279667
16,1.8596854,-0.39826643466949463,0.02088218554854393,7.4937863,2.5414617
17,1.9829524,-0.45332756638526917,0.05,5.6437798,2.3014462
18,1.8179209,-0.6274794340133667,0.08325674384832382,7.511955,1.8254415
19,2.0024152,0.27508440613746643,0.05,5.209401,2.5242245
20,1.9404255,0.6158045530319214,0.05,6.7085953,2.1628363
21,1.843365,-0.36589741706848145,0.06847009062767029,7.451722,1.3151301
22,1.9376361,0.5327061414718628,0.0020100369583815336,6.404843,2.7739608
23,1.7727616,0.1269674152135849,0.07950826734304428,7.5353913,0.8072312
24,2.1470485,-0.6855519413948059,0.05,3.1641173,2.1758919
25,1.9878948,0.9570199847221375,0.05,5.4601173,2.400626
26,1.8169798,-0.18842381238937378,0.07016768306493759,7.510805,2.0080628
27,2.040164,0.46519720554351807,0.05,4.423715,2.2631943
28,1.7986485,0.09643680602312088,0.07360611110925674,7.5083575,0.9960997
29,1.8920306,0.020198123529553413,0.022012559697031975,7.484949,2.4034066
30,1.9315314,-0.11193472146987915,0.05,6.3469234,2.15641
31,1.7935507,-0.5730006098747253,0.10198444128036499,7.503805,1.4436893
32,1.9807311,0.8641847968101501,0.05,6.0388503,2.539706
33,1.8779657,0.011595835909247398,0.0464102104306221,7.493146,2.7954917
34,1.7842668,-0.6302005648612976,0.027145374566316605,7.5189548,1.1610088
35,1.7680238,-0.2508029043674469,0.02471165359020233,7.5148296,0.81141376
36,1.6979877,-0.6715061068534851,0.033842697739601135,7.5381804,0.52364695
37,1.8562212,0.00708447489887476,0.05826231837272644,7.4779806,2.2422953
38,1.9366567,-0.9602710008621216,0.05,5.9205723,2.5449157
39,1.8472577,-0.42124471068382263,0.05851202458143234,7.5135894,2.5403628
40,1.8547705,-0.22387024760246277,0.08100390434265137,7.4726715,2.9248867
41,1.7676474,-0.4396078884601593,0.03681446984410286,7.5020003,0.88509965
42,1.970834,0.014827708713710308,0.05,5.332227,2.0995708
43,1.9575396,-0.09305139631032944,0.05,6.0154986,2.352477
44,1.9163694,0.012941233813762665,0.0059536173939704895,7.068065,2.7264228
45,1.8353693,-0.5631517171859741,0.0530184842646122,7.491809,1.4720745
46,1.9080175,-0.11335763335227966,0.006010071840137243,7.130968,2.543955
47,1.8355134,-0.6594980955123901,0.06562976539134979,7.4776497,2.564016
48,2.0262623,0.46867501735687256,0.05,4.8343196,1.9864438
49,1.8379283,-0.31072625517845154,0.03239548206329346,7.499511,1.9211495
50,1.8757634,-0.35274559259414673,0.024481110274791718,7.4573984,1.7609822
51,1.66198,-0.4470217823982239,0.057900477200746536,7.5350513,0.7305422
52,1.6499761,-0.6062381863594055,0.08165822178125381,7.541011,0.8476891
53,1.8704702,0.0172147024422884,0.03204260393977165,7.4984255,2.722699
54,1.9400072,-0.5965009927749634,0.05,6.6513143,2.623244
55,1.8007176,-0.49633029103279114,0.044130757451057434,7.514098,1.6013156
56,1.9968603,0.7028562426567078,0.05,5.6108904,2.4958918
57,2.0527081,0.99,0.05,3.749232,2.2375844
58,1.9570041,-0.46398115158081055,0.05,6.3060036,2.7020035
59,1.9768828,0.4231441915035248,0.05,6.040982,2.7354586
60,2.10403,-0.8129836916923523,0.05,3.5997798,2.1263428
61,1.987053,0.21831390261650085,0.05,5.115615,2.8015501
62,1.8791573,0.2690271735191345,0.050184886902570724,7.435959,2.2327538
63,1.9334242,0.5981478095054626,0.05,6.8129,2.2719672
64,1.8241029,-0.5501052141189575,0.011709578335285187,7.5435586,1.489366
65,1.8426676,0.39800819754600525,0.027800457552075386,7.492121,1.4402138
66,1.9452875,-0.1877574920654297,0.05,6.2273684,2.5201952
67,1.8215243,-0.06089311093091965,0.008127065375447273,7.53603,0.9916202
68,2.078381,0.99,0.05,3.792831,2.009974
69,2.050187,0.99,0.05,4.1451507,1.935516
70,1.844372,-0.49248215556144714,0.06498992443084717,7.3595653,2.437975
71,2.1211483,0.12018647789955139,0.05,3.1090937,2.0349317
72,1.9195887,0.7579593658447266,0.05,7.124657,2.6373577
73,1.7415,-0.47377756237983704,0.08588362485170364,7.530853,1.1715941
74,1.8231546,-0.8155849575996399,0.03413883224129677,7.515636,1.5088549
75,1.8116392,-0.35664859414100647,0.052746523171663284,7.513891,0.9319682
76,1.8258628,-0.4762829840183258,0.059981781989336014,7.562397,1.2685543
77,1.9285004,0.34878411889076233,0.05,7.452466,2.3900414
78,1.7820657,-0.8181148171424866,0.05,7.548006,1.2395077
79,2.0374033,0.7529937028884888,0.05,4.1419573,2.0921545
80,1.9428574,0.15114004909992218,0.0004621694388333708,6.4805746,2.886325
81,1.8245157,-0.46301546692848206,0.06972387433052063,7.543775,1.7673862
82,1.7769127,0.355834037065506,0.047828927636146545,7.521153,0.90413624
83,1.9742564,0.08644694834947586,0.05,5.4676647,2.4092336
84,1.790765,-0.7008006572723389,0.05509331449866295,7.5161943,2.0089476
85,1.8864193,-0.5653433799743652,0.05,7.192031,2.6437223
86,1.9162953,-0.3843887150287628,0.018460121005773544,7.2830696,2.7281013
87,2.012797,0.5450491905212402,0.05,5.173509,2.2268248
88,1.8231803,-0.7822723984718323,0.0018415763042867184,7.499396,1.7891169
89,1.855197,-0.18381795287132263,0.07394466549158096,7.5139794,2.1007605
90,1.8197405,0.741951048374176,0.016419745981693268,7.493005,1.5495784
91,1.9727327,0.9302025437355042,0.05,6.256828,2.070565
92,1.7761372,-0.7048520445823669,0.06165126711130142,7.522407,1.193117
93,1.9408066,0.2579232156276703,0.05,7.4464693,2.7465062
94,1.950533,-0.5432119369506836,0.01317653153091669,5.6352396,2.5966842
95,1.9058152,0.5470492243766785,0.002709084888920188,7.0775204,2.5362248
96,1.9043924,-0.638757586479187,0.05080962926149368,6.575908,2.6590106
97,1.9806885,0.12004522234201431,0.05,5.2330494,2.400498
98,1.870836,0.38213467597961426,0.04515552520751953,7.4665127,2.9014022
99,1.8797626,0.6397128105163574,0.008941284380853176,7.4591374,2.6614323
100,1.9236435,0.5540260672569275,0.05,7.419453,2.2166665
101,1.9682574,-0.2930618226528168,0.05,5.4772882,2.4696844
102,1.8840638,0.20758159458637238,0.045510433614254,7.467396,2.7905836
103,1.9295464,0.5554146766662598,0.000790097052231431,6.632552,2.897856
104,1.8299694,0.24328461289405823,0.03636990860104561,7.576475,2.2187183
105,2.1666617,0.7360019087791443,0.05,2.8872538,1.9843181
106,1.9528285,0.3065298795700073,0.05,6.627336,2.3063378
107,1.8715761,0.31741711497306824,0.06794171035289764,7.4904776,2.5099926
108,1.8361989,-0.348456472158432,0.08077417314052582,7.5095186,1.712198
109,2.0777621,0.46251824498176575,0.05,3.7460022,2.1635342
110,1.9330269,0.6070480942726135,0.05,7.460072,2.564177
111,1.7180434,-0.8976044058799744,0.05,7.551941,0.70540583
112,2.0155497,-0.31022584438323975,0.05,5.258187,2.0823514
113,2.027408,-0.9374651908874512,0.05,4.8014507,2.662673
114,1.7262946,-0.7529603242874146,0.05043095350265503,7.522474,0.7707566
115,1.9694448,0.7603943943977356,0.05,5.850754,2.5834436
116,2.099106,0.4534596800804138,0.05,3.5055518,1.8712163
117,1.9359945,0.1978370100259781,0.05,6.5785623,2.7132304
118,1.8450108,0.2135944813489914,0.02058582194149494,7.502229,1.8969142
119,1.8725631,0.2070467621088028,0.019366711378097534,7.4976983,2.2336137
120,1.6744515,-0.7784569263458252,0.05,7.5461693,0.7202141
121,1.7560188,-0.11189761757850647,0.05,7.5341296,0.6912902
122,1.8230176,-0.3736554980278015,0.06173329800367355,7.498136,1.9611884
123,1.8022164,-0.6904312372207642,0.046734899282455444,7.5130525,1.1416044
124,1.7475393,-0.7149357199668884,0.07669483125209808,7.5146513,0.79492223
125,1.7582427,-0.8986278176307678,0.04045733064413071,7.481795,0.8735984
126,1.7599733,-0.7994657754898071,0.025701966136693954,7.5171123,1.1157488
127,1.8337007,-0.15741972625255585,0.0718836858868599,7.509442,1.9653099
128,1.779968,0.43931204080581665,0.03795051574707031,7.511896,1.1173743
129,1.9118503,0.4995994567871094,0.05,6.6247516,2.0940115
130,2.0000322,0.5405064821243286,0.05,5.610415,2.3691554
131,1.7860839,-0.061090193688869476,0.039782170206308365,7.51531,1.211409
132,1.9150662,-0.021442871540784836,0.008380493149161339,6.8980894,2.659283
133,1.812784,-0.618910551071167,0.05,7.5151095,1.1624451
134,1.8533323,-0.4203425347805023,0.05784359574317932,7.4735084,1.6549243
135,2.0821407,0.5934078097343445,0.05,3.6056292,2.0962608
136,1.940132,-0.15672282874584198,0.05,6.0867476,2.4777834
137,2.0772977,0.14833036065101624,0.05,3.8938718,2.1108665
138,1.7918565,-0.8342658281326294,0.04918234050273895,7.523674,0.8093555
139,1.9320751,-0.9163010716438293,0.05,6.954421,1.8930943
140,1.8277541,-0.12654301524162292,0.030052784830331802,7.5005474,1.777226
141,1.911209,-0.3211604654788971,0.05,7.418771,2.631095
142,2.0337927,0.04062926024198532,0.05,4.7037654,2.082839
143,1.8371081,-0.8138425350189209,0.02868127077817917,7.527545,1.429194
144,1.8443917,0.8477404117584229,0.009083694778382778,7.5168223,1.9722782
145,1.9760213,0.6810823678970337,0.05,5.8619475,2.4323485
146,1.7993251,-0.6241860389709473,0.035427629947662354,7.51159,1.0818167
147,1.8545115,-0.5998965501785278,0.030790556222200394,7.408214,2.2873573
148,1.804061,0.6912030577659607,0.06415639072656631,7.5397263,1.3737828
149,1.7669005,-0.8142129182815552,0.03888211026787758,7.5345383,0.8471598
150,1.9545838,0.5402106642723083,0.05,6.1879554,2.3961663
151,1.7633018,-0.6341955661773682,0.08607210218906403,7.486626,1.0369251
152,1.7851616,-0.6968463063240051,0.0980086624622345,7.5131016,1.2911668
153,1.9289423,0.07593268156051636,0.07061439752578735,6.242923,2.8448226
154,1.857992,-0.6947071552276611,0.01464497298002243,7.4891024,2.2298524
155,1.8186318,-0.46614140272140503,0.03860656917095184,7.515243,1.7881199
156,1.906158,0.6152979731559753,0.05,7.4031587,2.4782157
157,2.0823936,0.99,0.05,3.6834767,2.208413
158,1.9027823,0.8281664252281189,0.02395428903400898,7.437977,2.7648125
159,1.8433474,0.17997829616069794,0.039557356387376785,7.5271406,1.5987738
160,1.6541598,-0.41186949610710144,0.03909171745181084,7.537721,0.6232367
161,1.9213699,-0.6302769184112549,0.00606855982914567,6.6680646,2.8803833
162,1.8600359,-0.4009399712085724,0.07138737291097641,7.5033603,2.6834846
163,1.8460363,-0.3357502818107605,0.06849751621484756,7.484257,1.3959774
164,1.8826294,-0.30908963084220886,0.05818070098757744,7.4515734,2.6792853
165,1.8327041,-0.5718479752540588,0.023629026487469673,7.5147552,1.571898
166,1.9101806,0.1364857405424118,0.008721425198018551,7.097958,2.4770594
167,1.7747447,-0.55386883020401,0.02272862195968628,7.5366187,0.90195763
168,1.9179729,0.5907201170921326,0.05,6.725758,2.7117014
169,1.8797392,-0.0017283944180235267,0.06760252267122269,7.48828,2.8620636
170,1.6115826,-0.07740893214941025,0.04311758652329445,7.5208073,0.92315054
171,2.01285,0.5973870158195496,0.05,4.843533,2.431775
172,1.87769,0.0321023091673851,0.03237706422805786,7.475983,2.097667
173,1.6198534,0.022028129547834396,0.06941575556993484,7.5077724,1.7045494
174,1.8399683,0.10062467306852341,0.030047858133912086,7.524119,1.325815
175,1.9446732,0.7275458574295044,0.05,6.250393,2.4040742
176,1.856317,-0.2520086467266083,0.029732076451182365,7.51956,2.0893402
177,1.823203,0.4128025770187378,0.027700237929821014,7.5334196,1.190878
178,1.9398457,0.005123408045619726,0.05,7.1406145,2.5657606
179,1.9197737,0.0015015737153589725,0.05,7.1450505,2.7596762
180,1.9512455,-0.48705121874809265,0.05,6.4818306,2.3061886
181,1.9383277,-0.8446363210678101,0.05,6.082775,2.4614103
182,2.045033,0.9875678420066833,0.05,4.1540127,2.1926062
183,1.9668442,0.9522661566734314,0.05,6.0334477,2.5402453
184,1.9239851,-0.014408049173653126,0.005035769660025835,6.886584,2.6174483
185,2.0154436,0.6983868479728699,0.05,4.9306493,2.8625853
186,1.8034968,0.6491711735725403,0.04052739217877388,7.5327096,1.6781254
187,1.9802833,0.20266582071781158,0.05,5.871623,2.1521504
188,1.9697733,0.7568233609199524,0.05,5.7291713,2.3675823
189,1.9557087,0.16650649905204773,0.05,5.8346367,2.5462756
190,1.8951005,-0.4574063718318939,0.009390397928655148,7.312138,2.7866237
191,1.617173,-0.5780199766159058,0.06932902336120605,7.5254273,0.7542458
192,2.0220265,0.20554788410663605,0.05,4.8077416,2.393769
193,1.8539613,0.6610431671142578,0.019053220748901367,7.5173492,1.4758747
194,1.9245586,-0.010085394605994225,0.013105726800858974,7.190202,2.1658828
195,1.9753927,0.608424961566925,0.05,5.5778236,2.6100605
