,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.0886009,0.24418293,-0.07658131,0.17692788,0.06438626,0.5702884793281555,0.05,2.7068362,1.7452977
1,2.271819,-0.2805398,-0.08261204,0.33534613,-0.25381842,0.9822085499763489,0.05,4.283867,2.2021892
2,1.316736,0.953803,-0.03729643,0.25215983,0.944825,0.2769109308719635,0.05,2.417627,2.1325686
3,2.1936164,-0.018536776,0.043126605,0.122594394,0.0008679642,0.99,0.05,2.9599452,2.1562896
4,2.101391,0.18109134,-0.08269817,0.10713961,0.23391435,-0.5503873825073242,0.05,2.3283718,2.0547972
5,0.70323396,1.4596006,-0.16723081,0.37542903,1.4028103,0.4441587030887604,0.05,3.331656,1.827245
6,3.9787602,-1.7888157,-0.097094,0.15645048,-1.672068,-0.47471851110458374,0.05,2.4376988,2.255355
7,2.4555733,-0.20369253,-0.07027867,0.24037527,-0.107901044,0.7633277773857117,0.05,2.223357,2.3523993
8,1.0755991,1.0777814,0.04074105,0.031339474,1.1764122,0.7381898164749146,0.05,2.6687953,1.9750297
9,1.6821909,0.51015025,-0.14794502,0.34372061,0.35448185,0.99,0.05,3.3910477,1.9371358
10,1.4140307,0.7975628,-0.0040817605,0.19206122,0.68935794,0.667449414730072,0.05,2.9102569,1.7391455
11,0.6506792,1.5505205,0.079881854,0.21497113,1.5327474,0.9775745868682861,0.05,2.5381196,1.9647678
12,1.6490813,0.5803037,-0.12077569,0.16754007,0.6011102,-0.3260911703109741,0.05,2.6617343,2.4268079
13,1.1716475,1.1461644,0.08377478,-0.09481866,1.0336037,0.99,0.05,2.6774497,1.7688309
14,0.7383705,1.5282705,0.062121425,-0.024068804,1.420207,0.99,0.05,2.8104775,1.834275
15,1.5195503,0.8366966,0.04048152,0.16665605,0.7864779,0.8242006301879883,0.05,2.0159168,2.209085
16,0.9875166,1.4262531,0.04988989,-0.010237123,1.3750635,0.99,0.05,2.1527822,2.333538
17,1.3525206,0.8583724,-0.042371284,0.044846438,0.85434014,0.06454649567604065,0.05,2.8648667,1.9473146
18,3.5078685,-1.0951715,0.001696018,0.11562395,-1.2249814,0.363783061504364,0.05,2.0583513,1.8855476
19,1.6056348,0.55289215,0.088881075,-0.04439469,0.62982947,0.99,0.05,2.8249652,1.9828607
20,1.115028,0.9889871,-0.0012525631,0.15252885,0.80260897,0.99,0.05,4.3516407,1.9426321
21,1.8786818,0.32501897,0.1331582,-0.032394413,0.19140913,0.99,0.05,3.136917,1.8899593
22,0.5122195,1.7691234,0.017444309,0.05070083,1.5433769,0.99,0.05,3.2360737,1.7968799
23,0.4986382,1.7245146,-0.089312285,0.31856343,1.8784909,-0.04856063425540924,0.05,2.2428262,2.1855059
