,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.8232565,0.056271385,0.029993238,0.13560794,0.58138955,5.274339,0.19872381
1,2.2135222,0.044026114,0.048878457,0.77652526,0.37464833,3.6837435,0.29240242
2,2.1311076,0.10527505,-0.0010640004,0.8030889,0.28360403,3.528618,0.3138293
3,2.490117,0.016836101,-0.02589094,0.78546906,0.39592245,3.0588315,0.38803992
4,2.381044,-0.016663358,0.033984527,0.81879675,0.44420576,3.185652,0.37616372
5,2.4257655,0.00055659865,0.059273068,0.785912,0.39038512,2.9845867,0.4687713
6,1.9198831,0.045746513,-0.008749016,0.11783073,0.5256063,4.3554435,0.24066672
7,2.083451,0.022944737,-0.008126757,0.53735155,0.38369283,4.559921,0.24435322
8,2.17728,0.1004704,-0.015458916,0.7415486,0.3635605,3.6276422,0.3052619
9,2.5772417,0.10296775,0.030151835,0.71620953,0.64415216,3.3677363,0.3449131
10,1.9660637,0.037945565,0.023142086,0.40932646,0.5399011,4.2636814,0.25272492
11,2.499562,0.010379541,0.0049321824,0.74304575,0.5407124,3.2306995,0.34344572
12,2.3046105,0.027611176,-0.061762825,0.6701478,0.4369504,3.5597308,0.3122705
13,1.863333,0.02468471,0.014036679,0.43257752,0.50671303,4.6042986,0.24418418
14,2.2473319,0.06845905,0.019788831,0.65468514,0.48847798,4.038586,0.27194592
15,2.1950648,0.07669803,0.046635643,0.73734856,0.40120745,3.5987468,0.32675207
16,2.14033,0.10440893,0.008442029,0.7146409,0.4157934,3.6464481,0.29338652
17,2.2584963,0.025711479,0.04026379,0.75786334,0.41147423,3.8212528,0.32162967
18,2.2409873,0.06341535,0.05441588,0.74566853,0.3713694,3.6462657,0.31445274
19,2.5444412,-0.017603988,0.015187639,0.8210974,0.49406525,2.9404712,0.46229354
20,2.1970215,0.010690172,0.0014303379,0.6982594,0.4403198,3.4055421,0.3608075
21,2.4561296,0.060455896,-0.00021668876,0.7777738,0.46253565,3.0794723,0.4284331
22,2.1562324,0.08482375,0.022967266,0.71212953,0.39093125,3.4390028,0.34240624
23,2.2110825,0.017129475,0.006947025,0.69559264,0.4967192,3.1003625,0.39821756
24,2.1334183,-0.035362802,0.032425985,0.6849932,0.344657,3.475638,0.31577173
25,2.2562804,0.040700823,-0.04392272,0.7537746,0.40212125,3.7206428,0.2874052
26,1.9681879,0.07863815,0.074974716,0.6410099,0.34545684,3.5609448,0.33734128
27,1.998316,0.101608515,0.0819556,0.6379738,0.30125841,3.8417237,0.32609296
28,2.1877594,0.049563073,0.006110792,0.65841407,0.40261757,3.427161,0.3323945
