,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.0618389,0.025835006,0.008887259,0.8182970285415649,0.05730826407670975,4.6743546,0.28160065
1,1.9185215,0.08267131,0.094119206,0.6055752038955688,0.06442740559577942,3.896108,0.3793526
2,2.1830423,-0.0065659187,0.06878712,0.8699795603752136,0.05151383578777313,2.9720523,0.47131214
3,1.966424,0.016567132,0.04423042,0.6697487235069275,0.07996117323637009,4.66703,0.27280223
4,2.1043603,0.0076462054,0.08272613,0.8532832264900208,0.06722009181976318,3.8889117,0.3757905
5,2.1102183,-0.014132195,0.038916703,0.779641330242157,0.055102746933698654,4.124426,0.3427589
6,2.0550692,-0.007343046,0.08551709,0.699747622013092,0.06995567679405212,3.5132601,0.44406635
7,2.4551706,-0.02301873,0.0023014573,0.8648621439933777,0.07691698521375656,2.270457,0.7732447
8,1.9212339,0.043038726,0.062016513,0.5672801733016968,0.14272071421146393,4.3384147,0.39335236
9,2.0466821,0.046696033,0.07363127,0.8648860454559326,0.05,3.7553005,0.30857843
10,2.1363904,-0.010058527,0.0028265829,0.864126980304718,0.04861912131309509,3.8175328,0.34577146
11,2.1701434,0.040842123,-0.027344087,0.8059238195419312,0.05997473746538162,3.8274229,0.35386404
12,2.1876326,0.0066712517,0.06404798,0.8472667932510376,0.059999722987413406,3.3706183,0.39184868
13,2.1278887,-0.034147203,0.044358794,0.9423165321350098,0.06392370909452438,4.1670055,0.3104286
14,2.0707266,0.017813077,0.024371414,0.8984180688858032,0.03660305216908455,4.417144,0.26128548
15,2.0500107,0.09355317,0.11167076,0.775886595249176,0.040941301733255386,3.901443,0.37053645
16,1.9856442,0.019132564,0.038081933,0.6797335147857666,0.04134874418377876,4.5395875,0.2863937
17,2.085151,0.03675522,0.033901624,0.8392674922943115,0.031126463785767555,4.3469453,0.293964
18,1.8751338,0.02404467,0.041886292,0.5802091360092163,0.0904374048113823,4.8903627,0.25213376
19,2.2192,-0.0014760966,-0.017633785,0.861491858959198,0.06398928165435791,4.074949,0.33318976
20,1.96049,0.04751509,0.11077658,0.7219237685203552,0.04221326485276222,3.988753,0.3461455
21,2.0632439,-0.034293287,0.09594774,0.7951712012290955,0.03408438339829445,4.1579914,0.29097587
22,2.288082,0.002584933,0.0711816,0.7815322279930115,0.09131821990013123,2.397433,0.75560594
23,2.119518,-0.00012894163,0.11094976,0.7694118022918701,0.041700370609760284,3.4976308,0.40471652
24,2.0676227,-0.0014113268,0.026213622,0.7498757243156433,0.0620604045689106,4.1304297,0.32566524
25,2.0957563,-0.07116895,0.06159849,0.6590865850448608,0.04523755609989166,3.7766054,0.34561026
26,2.1980371,-0.05350717,0.041390736,0.8070891499519348,0.0480525940656662,3.3608358,0.41553012
27,2.1045873,0.026523674,0.070908226,0.8511452674865723,0.05496826022863388,4.1222086,0.33883473
28,2.2623246,-0.015487279,0.055372186,0.785814642906189,0.05131085216999054,2.9908876,0.44827232
29,2.1982875,0.01929335,0.043202344,0.7679832577705383,0.06489687412977219,3.198004,0.5079548
30,2.0802329,-0.039318915,0.041687038,0.7514081597328186,0.05246973782777786,3.921415,0.33214104
31,2.3199313,0.0025521994,0.019298853,0.7014084458351135,0.07457748055458069,2.9999719,0.5772774
32,2.131496,-0.05429552,0.07026464,0.795682966709137,0.06865152716636658,3.900147,0.35955617
33,2.141488,0.061325874,0.07971292,0.7341154217720032,0.054045941680669785,3.5349422,0.44304445
34,1.98633,0.04891441,0.09472056,0.7216140031814575,0.06571365892887115,3.9498563,0.37435576
35,1.9976395,0.0057429792,0.038535554,0.7107625603675842,0.04019394889473915,4.362177,0.27101395
36,2.064225,0.012292522,0.03134435,0.7715441584587097,0.058023080229759216,4.05733,0.3325894
37,2.1491208,-0.016121525,-0.009125545,0.8720434308052063,0.09323932230472565,3.741104,0.39754042
38,2.1237242,0.016904896,0.0015795823,0.8963690400123596,0.0701877549290657,4.3101063,0.26679543
39,2.1936667,0.02277104,-0.018185556,0.8796818852424622,0.061056073755025864,3.640912,0.39481187
40,1.9492425,0.07553948,0.14574979,0.6904233694076538,0.05616794526576996,3.8456097,0.38715288
41,2.0599945,0.01815224,0.059936814,0.7416821718215942,0.04619046673178673,4.3649635,0.30951005
42,1.918663,-0.0006712895,0.10358791,0.5978437066078186,0.06524025648832321,4.498543,0.2951586
43,2.2774653,-0.0013874046,0.051913746,0.8401148319244385,0.06804458796977997,3.2897363,0.44405502
44,2.1294346,0.022257684,0.03470195,0.8125296831130981,0.044357411563396454,3.5420532,0.3825688
45,2.1625056,-0.012302957,-0.016009115,0.7908570766448975,0.05652495101094246,3.9456267,0.35615513
46,2.4236522,-0.047807604,0.06417298,0.6727729439735413,0.06035611405968666,2.2287002,0.8177574
47,2.3350294,0.018120686,0.033072773,0.7621034979820251,0.06479086726903915,2.8516169,0.55649793
48,2.3459845,-0.01256451,0.020540474,0.7047343850135803,0.07306947559118271,2.5118124,0.646011
49,2.2235022,0.0042207856,0.053105127,0.7893667221069336,0.0519382581114769,3.3813217,0.44176787
50,2.221176,-0.061063696,-0.0108986,0.6750426888465881,0.0418400801718235,3.9422853,0.3743146
51,2.1386938,0.0120066805,0.01423802,0.7750716209411621,0.08387462794780731,3.6763742,0.43402445
52,2.110173,-0.0089550195,0.06676464,0.7814792990684509,0.045737363398075104,3.7972913,0.3605819
53,2.121677,0.021521058,-0.019188456,0.8173852562904358,0.06411470472812653,3.9525766,0.33381388
54,2.0995328,0.06457067,0.056240063,0.737639307975769,0.05272088199853897,3.7879689,0.37152818
55,2.1996431,0.013609614,0.014219163,0.8478990197181702,0.05999523028731346,3.8941529,0.37365922
56,2.0993044,0.0061029037,0.087569855,0.7357616424560547,0.06700455397367477,3.4797485,0.43102977
57,2.0600762,-0.0033268202,0.04909386,0.9337364435195923,0.04789096489548683,4.509583,0.26745653
58,2.3619404,0.031066597,0.09595526,0.8122265338897705,0.06053362414240837,2.286932,0.6919897
59,2.120505,-0.01142491,0.1139147,0.8640760779380798,0.020144522190093994,3.6586335,0.3666775
60,2.2849863,0.04890238,-0.03678851,0.7954210638999939,0.07312054187059402,3.1403816,0.49058288
61,2.168548,0.008815121,0.005454174,0.871325671672821,0.05035967752337456,4.3884487,0.2956194
