,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,0.16528311,1.9100977,0.7156286,0.32476243,2.0620797,-0.97989017,0.8813951015472412,0.062158722430467606,3.4607613,0.5144126
1,1.2979394,0.8631642,-0.59286463,0.33786142,1.0049182,0.58124506,0.753930389881134,0.04635147005319595,2.6954472,0.58528024
2,1.8006171,0.3782756,-0.26276308,0.3829749,0.28284305,-0.089889705,0.5838804841041565,0.0592268630862236,3.3430457,0.5077308
3,2.8428533,-0.89711034,-0.14201349,0.44181538,-0.8684211,-0.0616659,0.6069807410240173,0.14413608610630035,4.7945685,0.43195316
4,0.5224634,1.6786443,2.8585784,0.3072555,1.6867986,-2.9823463,0.8945668935775757,0.12919215857982635,3.2977915,0.63647014
5,1.8108575,0.49381456,0.7477371,0.33830276,0.55639917,-1.0336229,0.8830079436302185,0.0776720643043518,2.925082,0.52875453
6,0.71932364,1.494398,-2.8520963,0.45236874,1.5812165,2.4604537,0.9370605945587158,0.04179415851831436,4.0612626,0.33237386
7,-0.5301086,2.5800397,-1.5754551,0.33187798,2.8105202,1.3970649,0.7765339612960815,0.06416509300470352,3.1025417,0.56768256
8,2.3629944,-0.10306503,3.014667,0.36878467,-0.030756453,-3.315186,0.9394783973693848,0.11738462746143341,2.8742983,0.7030599
9,-0.6290275,2.7981956,-2.4972064,0.21386571,2.7777295,2.4848723,0.9400328993797302,0.049742355942726135,3.7299323,0.3995533
10,-0.100250624,2.3018284,-0.7769147,0.3992101,2.2883923,0.517501,0.941852867603302,0.11153531074523926,4.325409,0.38023183
11,2.3267415,-0.13701351,-0.89302224,0.34474602,-0.12572485,0.59126437,0.8179479837417603,0.07568609714508057,3.9599087,0.44264376
12,3.0408168,-0.79376084,-2.8531194,0.40801144,-0.7737739,2.5712469,0.9142112135887146,0.052149698138237,3.4790947,0.4368447
13,2.870773,-0.66811293,-0.14275923,0.37037644,-0.5685977,-0.10229046,0.95,0.05758599564433098,4.0220904,0.34594887
14,3.8594344,-1.4055568,0.35239407,0.33228126,-1.3911153,-0.50615,0.8722205758094788,0.13210614025592804,2.373942,0.8237619
15,1.2115694,1.0072012,-1.4878846,0.24530667,1.1341007,1.3833072,0.9411059617996216,0.06488532572984695,3.5910676,0.39168376
16,-0.39002723,2.5883586,0.4844825,0.19589888,2.5898173,-0.5216618,0.9189648628234863,0.12651772797107697,3.2796693,0.6340012
17,0.8623742,1.5159358,0.6850765,0.33095405,1.4444996,-1.0313073,0.9158676266670227,0.05010669305920601,3.4360833,0.4202439
18,2.895779,-0.76454085,0.14374919,0.35273752,-0.66968495,-0.40135255,0.8770803213119507,0.0627313107252121,3.6516232,0.43307844
19,0.023954514,2.021674,3.0752966,0.4094796,2.160048,-3.3549926,0.9390632510185242,0.09544400870800018,4.720295,0.29654306
20,2.5767696,-0.49247056,-1.7282468,0.22797331,-0.445528,1.6385034,0.8769487738609314,0.07114400714635849,4.7870793,0.31927985
21,3.0374324,-0.9646838,0.47072715,0.3431631,-0.80228865,-0.6081417,0.8528774976730347,0.04994979873299599,4.0113,0.35714513
