,posterior_g1,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.9220933,0.51500267,0.04198272526264191,4.605281,0.3704944849014282
1,1.752906,0.17067,0.05,6.332666,0.38530901074409485
2,1.9354094,0.48373267,0.07349620759487152,5.1553335,0.35765284299850464
3,1.7612,0.15208772,0.05,6.467896,0.3479806184768677
4,2.005464,0.7094762,0.05119261145591736,3.6222641,0.414095014333725
5,1.8983612,0.3915823,0.05,5.152637,0.3511509895324707
6,2.0643642,0.7822426,0.04856296628713608,3.9765537,0.35647687315940857
7,2.0264838,0.62802917,0.09611776471138,3.3968673,0.5790959000587463
8,1.8255025,0.21804613,0.04588193818926811,5.697023,0.3792262375354767
9,1.8829081,0.40005362,0.05933374911546707,5.454367,0.3363686501979828
10,1.765865,0.15257251,0.037823379039764404,6.5560503,0.3857063055038452
11,1.759466,0.11980751,0.05,7.0917497,0.33826348185539246
12,1.7366948,0.13072206,0.05,6.721526,0.3358890414237976
13,1.8548626,0.30048457,0.03578780218958855,5.9035487,0.3448069989681244
14,1.8120769,0.19846375,0.0555293895304203,6.053171,0.40267616510391235
15,1.785269,0.15023153,0.05,6.075571,0.36356687545776367
16,1.6995062,0.10600264,0.05,6.7700796,0.3656485080718994
17,2.0478332,0.8282924,0.06028079241514206,4.34897,0.33104798197746277
18,1.715143,0.08538455,0.05,7.376949,0.3823418617248535
19,1.7979115,0.16244334,0.035528961569070816,6.365059,0.40175163745880127
20,1.7785009,0.094615825,0.029315628111362457,6.4938526,0.4109598994255066
21,1.7717643,0.11779997,0.045045025646686554,6.607555,0.4162963330745697
22,1.891767,0.34146863,0.03202975541353226,4.6901193,0.40563100576400757
23,2.0770543,0.7480699,0.09690752625465393,4.0569234,0.4655301570892334
24,2.050708,0.84777963,0.02151525765657425,4.053138,0.3935440480709076
25,1.9386977,0.51729745,0.05506952479481697,3.7727516,0.49743109941482544
26,2.01659,0.6117796,0.05726124346256256,3.6392577,0.4342956840991974
27,1.9997095,0.7109815,0.03932424262166023,3.9910212,0.4301114082336426
28,2.140472,0.92620313,0.07193172723054886,4.029194,0.4078826904296875
29,1.7101381,0.119151786,0.05,6.624785,0.3634207844734192
30,1.9900562,0.64931697,0.05705269053578377,3.7399275,0.4088631272315979
31,1.9827709,0.60024685,0.06024874001741409,3.7863464,0.48327207565307617
32,2.0467234,0.84196067,0.07225731015205383,4.311375,0.38703253865242004
33,1.8153725,0.23407888,0.05,6.2928767,0.32121357321739197
34,1.8595724,0.33367166,0.03744348883628845,5.5709267,0.35696691274642944
35,1.9833952,0.5899703,0.0435158796608448,4.4472165,0.4294169545173645
36,1.9084588,0.42012596,0.06941139698028564,4.762091,0.5226004719734192
37,1.8880686,0.40575257,0.05,4.841046,0.31627127528190613
38,2.0648365,0.7943868,0.05128244683146477,3.710075,0.4280213415622711
39,1.8365952,0.27224562,0.037797655910253525,5.85566,0.31479716300964355
40,1.813626,0.21032716,0.051922138780355453,6.053828,0.39305374026298523
41,1.965925,0.64894027,0.04585257172584534,3.9760106,0.4373568594455719
42,2.1170034,0.79521286,0.05,3.8223808,0.401477575302124
43,1.7691028,0.11232687,0.04055073484778404,6.9127374,0.38856449723243713
44,1.8760502,0.42976213,0.05,5.2894936,0.3300970196723938
45,1.9399009,0.49313062,0.04560675099492073,3.8848567,0.4844784438610077
46,1.8177497,0.23220204,0.03583880141377449,6.5573215,0.36327335238456726
47,1.7856115,0.17786936,0.05,6.5489573,0.31851711869239807
48,1.9810059,0.68923074,0.03573167696595192,4.3925686,0.40090423822402954
49,1.8701025,0.36835796,0.03567434847354889,5.199261,0.3167615234851837
50,2.0255196,0.72797406,0.0502084456384182,4.2583323,0.2868887782096863
51,1.8702527,0.37595534,0.06698013097047806,5.2593365,0.37197959423065186
52,1.847696,0.3343366,0.05,5.768667,0.3026396334171295
53,1.9853065,0.6135674,0.033206142485141754,3.9974773,0.45388075709342957
54,1.8734777,0.29345867,0.045506421476602554,4.783741,0.4321350157260895
55,1.9398406,0.52239877,0.06759025901556015,4.6560855,0.44031065702438354
56,1.8178462,0.2171976,0.036709804087877274,6.622478,0.3343525528907776
57,1.785907,0.15025379,0.05,6.8043814,0.3610747158527374
58,1.988462,0.64237565,0.07685156166553497,3.7002904,0.4701630473136902
59,1.8800473,0.3768688,0.036193422973155975,4.9282336,0.3848947286605835
60,1.8518065,0.3169145,0.05,5.4942293,0.3235208988189697
61,1.8555331,0.33067024,0.05,6.1532598,0.3148597180843353
62,1.8114654,0.23179266,0.05,6.079969,0.29481443762779236
63,1.82084,0.21758382,0.04229758679866791,6.2477937,0.3532920181751251
64,1.864753,0.35189405,0.03730345517396927,5.6634526,0.32657524943351746
65,1.967555,0.6513251,0.055608008056879044,4.2358594,0.417728990316391
66,1.9084057,0.47258967,0.07757890969514847,5.2325625,0.3631477952003479
67,1.7400963,0.077591635,0.05,6.8377414,0.4169841706752777
68,2.0190396,0.77887833,0.0688740685582161,3.868895,0.4869908392429352
69,2.0962071,0.83958906,0.05,4.371276,0.3306574523448944
70,1.7738672,0.13616346,0.05,6.2517805,0.3433757722377777
71,1.9511645,0.5742386,0.07185083627700806,3.9133372,0.45882245898246765
72,1.7683997,0.14179274,0.05,6.1256013,0.37221357226371765
73,1.9810942,0.52047974,0.030323820188641548,3.7191339,0.43127378821372986
74,2.0489814,0.67742234,0.07201239466667175,3.5425034,0.4929458796977997
75,1.7736475,0.15942809,0.05,6.631979,0.37994879484176636
