,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,2.2869241,-0.056861356,-0.17177574,0.47222266,1.1089993,0.07404583692550659,3.5074248,0.51046413
1,2.0506077,-0.109718084,-0.1545067,0.3740978,0.889958,0.06185988336801529,3.5886261,0.5635425
2,2.2579634,-0.0694174,-0.07625197,0.2975146,1.026855,0.05,4.394958,0.3689638
3,2.1274447,-0.0663647,-0.17506735,0.20222062,0.8396671,0.07304210960865021,3.5613577,0.58145535
4,2.1481504,-0.03374284,-0.10503028,0.28824598,1.0124505,0.05,5.1625514,0.28097442
5,2.004135,0.0066291797,-0.21898733,0.41980788,0.68900067,0.0633845254778862,3.3343997,0.7615969
6,2.1799529,-0.024458352,-0.041419543,0.08762681,1.1079874,0.041970204561948776,4.48195,0.3509444
7,2.3451285,-0.016134618,-0.19423087,0.3204884,1.1747737,0.06694085150957108,3.8104172,0.4909817
8,2.32456,-0.104612894,-0.12570047,0.22562523,1.2316297,0.05,4.134723,0.25149873
9,2.26922,-0.16307943,-0.18320586,0.41872385,1.0843914,0.049531448632478714,3.8078215,0.44158235
10,2.3952458,-0.0529307,-0.23241554,0.36347646,1.1334878,0.05,3.5697105,0.36471486
11,2.4095318,-0.054602645,-0.1628209,0.40179878,1.2002527,0.05812128260731697,3.1228912,0.49867108
12,2.1262777,-0.070290305,-0.09651023,0.28507513,1.114338,0.05,4.4718795,0.28280562
13,2.2683678,-0.09621173,-0.061081544,0.2805634,1.1349566,0.05209503322839737,4.167003,0.4079683
14,2.1192315,-0.12084014,-0.24272987,0.29226086,0.7749805,0.09040118753910065,3.4624248,0.6506295
15,2.0785227,-0.04777132,-0.11055533,0.35588673,1.0138259,0.07631386816501617,3.9754233,0.5162619
16,2.2550519,-0.024241319,-0.10544498,0.11678368,1.1436976,0.05,4.06892,0.31987193
17,2.166822,-0.1026626,-0.08869703,0.4061817,1.2369293,0.06502615660429001,4.5778623,0.35835877
18,2.21832,-0.032352194,-0.08067029,0.22260733,1.1815301,0.054537270218133926,4.781221,0.3110148
19,2.1903672,0.012647838,-0.11713798,0.25663966,1.1470262,0.05,4.5074224,0.30701473
20,2.029226,-0.037710797,-0.171577,0.29709932,0.875919,0.06824522465467453,3.7916245,0.5753745
21,2.306064,-0.06279877,-0.091820344,0.17347239,1.1652955,0.07099184393882751,4.7211585,0.34032995
22,2.1309514,-0.056428168,-0.065948784,0.1767505,1.0965704,0.05363840609788895,4.69036,0.34654433
23,2.2279634,-0.022229936,-0.10795353,0.27752665,1.1509778,0.05,4.8864927,0.2514367
24,2.0818934,-0.09332782,-0.04626524,0.32784837,0.95793724,0.06571889668703079,4.2787204,0.43133757
25,2.11839,-0.08894559,0.0053875,0.12854443,0.9484978,0.05,4.234206,0.39375433
26,2.2382596,-0.019094437,-0.20352478,0.39938766,1.369509,0.05,5.1902523,0.25477648
27,2.184766,-0.09150206,-0.18267088,0.37263408,1.0911286,0.0480412133038044,4.5971475,0.32184088
28,2.3736172,-0.17264959,-0.17610626,0.40582985,1.2926322,0.058707814663648605,3.990717,0.35787648
29,1.905543,-0.10654279,-0.20253623,0.3008214,0.32577637,0.05,5.6203356,0.44423625
30,2.0593472,-0.029915081,-0.098796554,0.2633325,1.0292593,0.054394204169511795,4.4550076,0.36387432
31,2.213925,-0.097740375,-0.049075264,0.29225436,1.0923213,0.058519866317510605,4.174481,0.38152143
32,2.4830031,-0.03501728,-0.098916076,0.32777455,0.99652994,0.10637901723384857,2.140677,1.2405165
33,2.3055847,-0.046982236,-0.20287897,0.27204633,1.2398794,0.05,4.1120496,0.35122225
34,2.2971609,-0.062077437,-0.100498974,0.18997204,1.155569,0.05,4.277516,0.3057006
35,2.194312,-0.16699198,-0.14238963,0.34169897,0.95292336,0.057288769632577896,4.2217927,0.47136867
36,1.8707718,-0.12698412,-0.116169274,0.37608927,0.4102201,0.04491361975669861,5.744263,0.41821226
37,1.9631264,-0.018932454,-0.10383959,0.24832636,0.79212576,0.05182742699980736,4.008666,0.5093801
38,2.2173371,-0.11895454,-0.06616174,0.16482893,1.1217858,0.05,4.534131,0.33157143
39,2.4386795,-0.14374375,-0.14665441,0.25676653,1.0706471,0.09797787666320801,3.750539,0.4750351
40,1.9125226,-0.05690795,-0.1080823,0.37707716,0.6964753,0.06041688099503517,3.9709244,0.57993025
41,2.2854207,-0.115284964,-0.17429997,0.27858162,1.1081748,0.04521331191062927,4.060849,0.37705958
42,2.238589,-0.031830393,-0.09413527,0.16661415,1.1387525,0.08611945807933807,3.94186,0.45162943
43,2.255634,-0.050373256,-0.13164707,0.33892468,1.1336191,0.05966045707464218,3.4108255,0.521713
44,2.372564,-0.10473344,-0.19817358,0.37145478,1.1980981,0.06510324776172638,3.7516227,0.4369282
45,2.3256793,-0.07112976,-0.23309904,0.41448063,1.1329935,0.056414633989334106,3.9042938,0.44081855
46,2.4586952,-0.1491421,-0.23363909,0.44795385,1.0424026,0.10262253880500793,2.8871548,0.8142908
47,2.0080225,-0.1116814,-0.19293602,0.28048468,0.6515952,0.04377945512533188,4.0543003,0.55522156
48,2.1541812,-0.034541473,-0.07380224,0.34930962,1.0340173,0.05675239488482475,4.2615967,0.372221
49,2.0431166,0.0051272,-0.09861986,0.26423424,1.0680635,0.09802359342575073,3.6802247,0.5388307
50,2.0034318,-0.042221744,-0.250505,0.25913107,0.67705864,0.02840995229780674,4.7602,0.41069567
51,2.2832687,-0.07485651,-0.16667807,0.25901565,1.1617109,0.05,4.6261296,0.31371802
52,2.1811414,-0.10914579,-0.19587693,0.42601672,1.008324,0.06182105094194412,4.060276,0.41645536
53,2.1301408,-0.11355842,-0.15443894,0.3804837,1.070408,0.039672594517469406,4.3776174,0.34972605
54,2.1175272,0.01999705,-0.12898195,0.2777607,1.090443,0.0628553256392479,3.6248355,0.5019837
55,2.1052065,-0.034400396,-0.05476403,0.247519,1.0745809,0.02884376421570778,4.21052,0.40270242
56,1.9454437,-0.031240644,-0.07850951,0.26364174,0.8581698,0.05699286237359047,5.00478,0.42737067
57,2.3107114,-0.0533243,-0.2280627,0.48333287,1.1715916,0.042824093252420425,3.6116517,0.39134368
58,2.3208427,-0.058916,-0.25395826,0.32817945,1.0517263,0.05428515374660492,3.8282778,0.44174376
59,2.2815068,-0.10518352,-0.11699128,0.28519344,1.0555006,0.08730506896972656,3.599694,0.5313072
60,2.1146708,-0.0668337,-0.08240252,0.17243701,0.9081492,0.05015554651618004,3.8738735,0.4183012
61,2.0424538,-0.09594055,-0.1554261,0.43941396,0.85396117,0.0741308256983757,3.436883,0.5808893
62,2.2456884,-0.067484654,-0.15009266,0.26493195,1.2018778,0.0544876903295517,4.3819256,0.3385475
63,2.0547295,-0.06193597,-0.055865206,0.30014366,0.93679494,0.09769989550113678,4.2892504,0.43073007
64,2.125826,-0.0033430525,-0.15044668,0.21075705,1.0563527,0.06036736071109772,4.8047533,0.3634466
65,2.403386,-0.078941986,-0.18844618,0.4259225,1.2451603,0.02182909846305847,3.6905863,0.3898535
66,2.3204124,-0.079447754,-0.11475078,0.23685212,1.2188188,0.06116725876927376,4.3263445,0.36954272
67,2.2924025,-0.015726015,-0.11215978,0.20270437,1.1398729,0.06139742210507393,3.652455,0.5152395
68,2.3418732,-0.08453626,-0.19376151,0.37644953,1.0534058,0.05,3.720398,0.39527303
69,2.2474098,-0.14277555,-0.17664586,0.42023766,1.0556375,0.05,4.2085295,0.33604714
70,2.0122771,-0.027737958,-0.14564553,0.32225198,0.7519569,0.08677701652050018,3.158862,0.89447224
71,2.1910236,-0.03807662,-0.17020892,0.3421173,1.0773572,0.05,4.3013186,0.2611505
72,2.2886584,-0.102775685,-0.0091837,0.23389073,1.1506943,0.08887534588575363,3.4345078,0.49995643
73,2.4095187,-0.06254376,-0.120651476,0.2246069,1.1829574,0.06674450635910034,2.9000604,0.6021817
74,2.1595724,-0.12286215,0.0074871946,0.30323467,1.0300486,0.05,4.4941335,0.34459352
75,2.3243783,-0.1267756,-0.18257676,0.3528314,0.9815722,0.05820125713944435,3.7364578,0.5245884
76,2.1779897,-0.12450457,-0.26120687,0.33524096,0.9426792,0.05543138086795807,4.068069,0.41823563
77,2.1445873,-0.06282625,-0.15163158,0.36577174,0.9874941,0.046732593327760696,4.1587343,0.364118
78,2.1762652,-0.023133775,-0.11276094,0.3431352,1.0892725,0.05303310602903366,4.5188355,0.3335619
79,2.294247,-0.02314348,-0.040897537,0.14894308,1.0838817,0.05,3.5526927,0.36509976
80,2.219169,-0.045011897,-0.18766613,0.3272499,1.172488,0.05,4.8616,0.28919125
