,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.40710583,1.0254191,3.9852254,0.46334913,2.8049216,0.88602364,0.8030676,1.0325012
1,0.49196914,0.97152966,6.155585,0.8135387,2.299808,1.0962417,0.9186964,1.0751779
2,0.40785283,1.0543088,3.4432588,0.7029445,2.5547712,1.2069197,0.94227564,1.1633215
3,0.45533523,0.9858632,5.7111983,0.44811198,2.3049574,1.0992867,0.8524532,1.1149721
4,0.35947222,1.0783397,3.8085766,0.74597114,2.6020045,1.1146823,0.9232367,1.2067443
5,0.48425722,1.0019928,4.5478983,0.41068658,2.863274,0.9009985,0.7023499,1.103027
6,0.36994833,1.0626374,5.3800297,0.540621,2.59185,1.1165577,0.8285785,0.95830035
7,0.5264739,1.0030158,3.763039,0.7488664,2.7582862,1.0938169,0.956027,0.90973705
8,0.4452502,1.047957,3.47008,0.5839467,2.4528542,0.8368753,1.2065421,1.2283434
9,0.4183859,1.0421464,5.9023294,0.3261814,2.636198,0.94405365,0.98590153,0.90475583
10,0.36175606,1.0366883,4.03234,0.31109715,2.5645008,1.1872854,1.1370494,1.188931
11,0.55532545,0.9360941,4.2813163,0.4454973,2.7362552,0.66175413,1.0591112,1.2676392
12,0.45206672,0.9955474,3.9726083,0.33129278,2.2875435,1.0270966,1.1717014,1.2821031
13,0.34760424,1.0595428,4.5615845,0.3245835,2.5175195,0.8858519,1.1370302,1.1587734
14,0.3371345,1.0787492,3.764324,0.760526,2.6756396,0.95225644,1.0240597,1.1362239
15,0.4639606,1.0215964,4.1126676,0.61635214,2.7229412,1.0295222,0.85569835,1.1268337
16,0.47795796,1.0019171,7.144404,0.22665417,2.5795584,0.9060919,0.96793246,1.112633
17,0.33613518,1.0841908,4.1131067,0.6293311,2.8408675,0.94429225,0.865253,1.0827076
18,0.39632815,1.0336224,4.8157063,0.6343219,2.5493054,0.89211744,0.96405315,1.0431285
19,0.5125305,0.9574598,3.5502303,0.36909714,2.8667622,0.81412554,0.88382345,1.0993344
20,0.44304842,1.0303019,4.1510987,0.6728251,2.639238,1.0517832,1.0076643,1.1349176
