,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.6853404,0.78945047,5.771895,0.30085656,2.9639888,0.9507459,0.90338784,1.0158381
1,0.7316929,0.7887957,6.0911984,0.36365753,2.8946805,1.0422007,1.0382205,1.0405753
2,0.68776655,0.80537736,6.158709,0.33674192,2.6360197,0.9364268,1.1825669,1.1055441
3,0.6810026,0.7739422,7.2580075,0.23130946,2.7885234,0.915299,1.0314096,1.1733928
4,0.8422207,0.80206156,7.442731,0.20246936,2.4667053,1.0429354,1.0034152,1.080749
5,0.6198714,0.7642031,2.65939,0.9659486,3.256753,0.9902932,0.78771913,1.0754704
6,0.66620505,0.8091875,6.937784,0.3168822,2.735254,0.93503916,1.0893891,1.2319361
7,0.695607,0.8292421,5.8004584,0.41970956,2.6427362,1.1104028,1.1287645,1.1996679
8,0.6913977,0.7849346,3.7415454,0.8326089,3.028886,0.986761,1.0720251,1.116914
9,0.59482664,0.7799701,3.2153742,0.86222017,2.9184136,1.0261163,1.0649682,1.1635528
10,0.6538675,0.7879504,6.964896,0.25695884,2.7753446,0.95986164,1.0438621,1.1249801
11,0.6491352,0.7908337,3.6369731,0.8257955,2.9397106,0.8899249,1.0382024,1.1988895
12,0.72251517,0.7899318,5.7187815,0.38590342,2.793713,0.9533121,0.9411617,1.2049795
13,0.6679299,0.77792156,6.7432055,0.1970087,2.683096,1.0364113,0.9805705,1.1736116
14,0.6916069,0.8452943,5.703576,0.26799342,2.4046397,1.030564,1.058333,1.2576258
15,0.6898263,0.7877865,5.3298845,0.40780562,2.9812787,0.9157912,1.0258744,1.13727
16,0.738341,0.7931559,7.831579,0.22665738,2.5850956,0.94500184,1.061987,1.1660498
17,0.68716043,0.834557,5.638975,0.2834095,2.4302762,1.0319526,1.1439534,1.0610088
18,0.6821933,0.7698648,7.364389,0.1500965,2.6950042,1.0204856,0.9652694,1.0815905
19,0.8014063,0.7711002,3.1246908,0.83038604,2.9477756,1.0878438,1.0729613,1.231637
20,0.6581764,0.803202,7.3204556,0.35103276,2.8030076,1.0539223,1.1376135,1.0210835
21,0.7128724,0.79032236,6.3222885,0.31358027,2.7742054,1.0914922,1.1110296,1.0240777
22,0.6939823,0.81305885,6.921104,0.20050588,2.4280531,1.1458983,1.0224402,1.185347
23,0.73903465,0.7966242,3.4969785,0.77422875,3.0766168,1.0046165,1.2589753,0.95657754
24,0.61421585,0.8067142,6.994765,0.23879582,2.7175467,1.035915,0.97476393,1.2276263
25,0.68866384,0.8155647,5.2098303,0.33303338,2.476794,1.0428987,1.1722152,1.0700839
26,0.7632052,0.8108424,6.8539047,0.24072811,2.5434809,1.1132753,0.9806519,1.1122806
27,0.6199017,0.8104578,4.6270623,0.736056,2.8364165,0.9522134,1.0935116,1.1427983
