,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.7753471,0.47493502,-0.16162975,0.35187766,0.53069305,-0.039178442,0.1614774614572525,2.1404354572296143,1.11935
1,3.2123523,-1.0494214,-0.013210861,0.19760223,-1.1774541,0.523564,0.1389601081609726,2.3013341426849365,1.0968925
2,0.87358767,1.4036434,-0.19893482,0.3744986,1.433964,-0.77965355,0.1262088567018509,2.105269432067871,1.1196107
3,1.1536621,1.0667088,-0.006551047,0.17044318,1.0055044,0.10621831,0.20298999547958374,2.2898077964782715,1.1107893
4,2.870688,-0.6214462,-0.092316985,0.21274203,-0.79693174,-0.25348863,0.12126832455396652,2.1248788833618164,1.0258383
5,1.8366026,0.3973632,-0.07143841,0.1836609,0.4576247,0.8006494,0.05726627632975578,2.171839475631714,1.1214865
6,1.1655653,1.1864797,-0.12092672,0.21961993,1.1181893,-0.14026107,0.21736453473567963,2.191993236541748,1.1310544
7,0.25193238,1.9125792,-0.20778461,0.35196543,1.8732102,0.75429285,0.17062121629714966,2.6417157649993896,1.1056697
8,1.0115504,1.2787181,-0.18291591,0.3453567,1.2232046,0.14040244,0.18336628377437592,2.241621494293213,1.0372403
9,2.0110252,0.17558883,-0.117685005,0.34163857,0.27292594,0.047728024,0.13224662840366364,2.080033302307129,1.0829775
10,2.7227,-0.540327,-0.13101222,0.26798925,-0.60107857,0.5064943,0.18894466757774353,2.3518407344818115,1.1165382
11,2.9923966,-0.9492856,-0.069560274,0.22615544,-0.92995936,0.5331874,0.16309140622615814,2.6127405166625977,1.1112082
12,2.0635247,0.15980484,-0.11992169,0.18184976,0.16829313,0.699379,0.11725801229476929,2.423422336578369,1.0786127
13,1.9632697,0.26123646,-0.09428124,0.35692477,0.31454432,0.5554888,0.12834647297859192,2.0892107486724854,1.1121471
14,-0.19763969,2.3082418,-0.14406265,0.2760681,2.3118298,0.7944306,0.11695918440818787,2.7959492206573486,1.0562449
15,1.1265843,1.0213871,-0.12367326,0.2699951,1.1131011,0.66620606,0.1361818015575409,2.2921199798583984,1.1047992
16,3.0666928,-0.7279225,-0.07972982,0.20278634,-0.7641572,0.33379138,0.1348871886730194,2.0407907962799072,1.1020796
17,1.78526,0.29139733,-0.01879579,0.2564266,0.36136264,0.4586164,0.15624792873859406,2.1912665367126465,1.1152258
18,2.4249954,-0.15674578,-0.13550755,0.362913,-0.12290788,0.5128491,0.14877848327159882,2.1964921951293945,1.0881362
19,1.6349921,0.52704966,-0.08732053,0.16657262,0.49081647,0.35243404,0.19770009815692902,2.5860538482666016,1.1179061
20,0.43650422,1.8247923,-0.08849011,0.26275715,1.8371794,0.67442244,0.12646901607513428,2.090571165084839,1.1132143
21,3.8134558,-1.5795611,-0.059853785,0.20879005,-1.7325435,0.61014426,0.12700937688350677,2.19338059425354,1.0868698
22,1.8897593,0.21463694,-0.122799695,0.255053,0.20922667,0.657257,0.139460489153862,2.7093722820281982,1.0533147
23,1.6097525,0.74701834,-0.13068844,0.32491973,0.7504418,-0.55436194,0.11577852815389633,2.0574393272399902,1.1156633
24,1.225378,1.0159823,-0.20102869,0.3428056,0.9920202,0.043302912,0.2211880087852478,2.3834242820739746,1.0973933
25,2.417551,-0.1754921,-0.010534846,0.17709248,-0.068873204,-0.39156458,0.14353209733963013,2.0,1.1107081
26,2.2133045,-0.042732507,-0.07148758,0.27559128,-0.02818689,0.40940654,0.13737592101097107,2.0487608909606934,1.1240693
27,1.4598832,0.85594606,-0.13417707,0.21024972,0.8282963,-0.4785169,0.13748008012771606,2.07497501373291,1.13307
28,0.5324789,1.7058434,-0.19231804,0.29603252,1.7066789,0.37731308,0.19025607407093048,2.40964937210083,1.1213039
29,1.6948547,0.3959962,-0.041088436,0.1991266,0.4236702,0.73781705,0.12815791368484497,2.371720314025879,1.0894951
30,2.637958,-0.3451749,-0.02471898,0.21456493,-0.39898407,0.28734493,0.15160715579986572,2.171328067779541,1.0637238
31,2.3850615,-0.014932496,-0.10360498,0.22685966,-0.0013107937,-0.7853566,0.09723085910081863,2.0148868560791016,1.0870205
32,2.8770008,-0.60652775,-0.0983449,0.22046259,-0.6226482,0.2682686,0.12832868099212646,2.141016721725464,1.1246669
33,1.4191786,0.7660521,-0.06462645,0.16553189,0.79584515,-0.6816959,0.14423541724681854,2.3693952560424805,1.0830908
34,-1.6236937,3.8063273,-0.122185394,0.27091262,3.70954,0.8469529,0.07916685938835144,2.4030439853668213,1.0596626
35,1.7931817,0.5641516,-0.11366333,0.20145151,0.5178801,-0.672343,0.12190306186676025,2.054644823074341,1.1038145
36,1.8171719,0.54321766,-0.14310488,0.21895152,0.5098213,0.09969362,0.17102329432964325,2.1538162231445312,1.0721997
37,0.8180009,1.3088712,-0.19321312,0.43045706,1.3326378,0.573327,0.17722630500793457,2.4894073009490967,1.0874896
38,2.128595,0.13248298,-0.14934994,0.21260442,0.07395246,-0.45987612,0.18182644248008728,2.4214587211608887,1.1136781
39,4.109984,-1.819449,-0.0082860645,0.11045654,-2.0349896,0.9056058,0.02982020191848278,2.1676025390625,0.94677484
40,-0.3200881,2.587136,-0.082217,0.19155744,2.5122476,0.6756096,0.11732949316501617,2.068356513977051,1.131043
41,-0.9217963,3.1921623,-0.095948674,0.20905586,3.2213912,0.4140147,0.1612694412469864,2.2709884643554688,1.1364914
42,1.0450758,1.3880553,-0.14024046,0.28398135,1.2358193,-0.6011481,0.10787858814001083,2.0,1.0316825
43,3.2625065,-1.21269,-0.094911076,0.27751726,-1.2553763,0.3217396,0.18281175196170807,2.795823812484741,1.0448277
44,2.3933237,-0.27998188,-0.22684644,0.43661582,-0.21646151,0.28180292,0.2061278373003006,2.466195821762085,1.0534942
45,2.006113,0.14447525,-0.15468945,0.36133054,0.18678817,0.613977,0.15672051906585693,2.447885274887085,1.025003
46,2.4849172,-0.26154745,-0.15822548,0.34158206,-0.22099628,0.66053694,0.14972257614135742,2.1897213459014893,1.1298792
47,0.111744635,2.0589914,-0.1720694,0.2737984,2.0223324,0.39905834,0.17795850336551666,2.5370123386383057,1.0916533
48,0.5201956,1.6613635,-0.08700647,0.28140825,1.5449083,0.4920898,0.16203565895557404,2.4545907974243164,1.0836601
49,0.71242446,1.4180206,-0.13968922,0.3109172,1.4984881,0.006254764,0.2058023065328598,2.455735206604004,1.0307091
50,2.3208697,-0.14549044,-0.12057582,0.24235056,-0.3193024,0.77479035,0.0960579514503479,2.396139144897461,1.1150837
51,2.6608968,-0.4159781,-0.17968926,0.33090642,-0.49973282,0.38290307,0.14093980193138123,2.2716050148010254,1.0445641
52,-0.45666355,2.7215068,-0.032259345,0.3259496,2.7655718,0.5904405,0.10099387913942337,2.0,1.1239829
53,0.70873785,1.5986433,-0.1246851,0.27839813,1.6365477,0.7387087,0.08454276621341705,2.0155410766601562,1.0886422
54,2.885754,-0.6987848,-0.026480114,0.050953813,-0.68914586,0.020232355,0.1635657101869583,2.238720417022705,1.0469286
55,1.0589297,1.0861031,-0.12490542,0.24804169,1.1640825,-0.10523399,0.21481503546237946,2.295083999633789,1.1224673
56,1.131075,1.2754285,-0.020240333,0.17665248,1.3036739,0.019978024,0.18379680812358856,2.0,1.1085643
57,1.7203819,0.4519381,-0.010508743,0.22204576,0.4863138,0.1450307,0.13684174418449402,2.15204119682312,1.0763593
58,3.1062906,-0.8441164,-0.06641344,0.23555952,-0.9081848,0.39350775,0.1281878799200058,2.2652876377105713,1.0713745
59,0.2705932,2.0486898,-0.00466599,0.12372454,1.9184468,-0.57990533,0.07414311170578003,2.1438660621643066,1.0148213
60,1.1176801,1.3130597,-0.022748267,0.145945,1.2967633,-0.8520436,0.09751712530851364,2.0,1.0912291
61,-0.27754647,2.4859104,-0.105690375,0.29695174,2.5560274,-0.80776244,0.11417504400014877,2.3324313163757324,1.0763512
62,-0.14433016,2.2695646,-0.06950059,0.18983279,2.1770425,0.71586525,0.12610530853271484,2.5245234966278076,1.0830346
63,2.439933,-0.33600515,-0.12166991,0.27119765,-0.34233087,0.6612906,0.18526148796081543,2.553701639175415,1.1016655
64,2.5444849,-0.496509,-0.09572149,0.27624035,-0.41597027,0.5815517,0.13771654665470123,2.4660146236419678,0.98506546
65,1.3682125,0.90567434,-0.08064387,0.23080646,0.93617874,0.070131116,0.1193593442440033,2.043015241622925,1.125341
66,0.14213854,2.1356187,-0.11021588,0.28542292,2.1937838,0.66146517,0.14128811657428741,2.0097625255584717,1.1385783
67,1.0462823,1.1969382,-0.03616782,0.18999471,1.227407,0.66024137,0.13660766184329987,2.1519687175750732,1.0579406
68,4.0744414,-1.6809183,-0.11679599,0.16095938,-1.7750828,0.34743682,0.11239629238843918,2.0,1.052145
69,1.6933535,0.50003266,-0.064117424,0.260495,0.53634614,-0.5095071,0.14137354493141174,2.131309747695923,1.0912255
70,2.9486465,-0.6834262,-0.044218007,0.16238426,-0.7742742,-0.5553204,0.1431206315755844,2.257323980331421,1.0851536
71,-0.7121238,3.083967,-0.14599714,0.27933648,3.0070167,0.2955185,0.18891040980815887,2.0694704055786133,1.1126407
72,1.438802,0.83969706,-0.092721075,0.273628,0.7900656,-0.40307844,0.12433541566133499,2.1305792331695557,0.96130705
73,1.4551659,0.6907239,-0.043594863,0.24309912,0.6788107,0.8371656,0.06820297241210938,2.1870229244232178,1.0929679
74,-1.9069577,4.3314915,-0.08441887,0.23714024,4.272478,0.37858576,0.16429027915000916,2.0,1.0906178
75,2.1025312,0.07401512,-0.17582123,0.35446477,0.20875126,0.694057,0.12996812164783478,2.1076877117156982,1.0797333
76,-1.3050601,3.4409153,-0.18136413,0.44969723,3.465076,0.4552717,0.18915128707885742,2.3834259510040283,1.1232952
77,1.1799855,1.0762888,-0.086203,0.22752811,0.96169496,0.05289087,0.17914293706417084,2.403977394104004,1.0948124
78,1.073477,1.2593956,-0.18789887,0.31411177,1.2497414,-0.8647113,0.10155684500932693,2.1041386127471924,1.1258736
79,-0.2761416,2.5807307,-0.008360927,0.12241211,2.526411,-0.7757462,0.060061242431402206,2.066927671432495,1.1067569
80,1.3051423,0.92167383,-0.09172737,0.24677543,0.94284624,0.5965993,0.14802001416683197,2.264218330383301,1.0685686
81,2.365104,-0.2108283,-0.24152374,0.3396563,-0.15054435,0.47300747,0.20263183116912842,2.4156410694122314,1.1211358
82,1.3307877,0.9064906,-0.115668245,0.32718587,0.94166106,-0.7187949,0.12481743842363358,2.27305006980896,1.1211576
83,-0.57080495,3.1152923,-0.060057826,0.15344703,2.9854054,-0.6889918,0.1783255934715271,2.0,1.0597974
84,1.7943379,0.2799011,-0.10930136,0.38938195,0.43359613,-0.2766009,0.12268105894327164,2.2728846073150635,0.96821296
85,1.5865682,0.7224855,-0.083158866,0.17907181,0.7305441,-0.45853308,0.09478990733623505,2.0144290924072266,1.1356388
86,1.5375738,0.6551064,-0.3179388,0.41179335,0.7606641,0.3471117,0.22761888802051544,2.288522958755493,1.1241899
87,1.4990425,0.62447137,-0.18579121,0.25236538,0.7031399,0.55213207,0.15836197137832642,2.54683518409729,1.0509557
88,1.9177073,0.2688892,-0.119202964,0.25272167,0.21632996,0.49292392,0.1658303141593933,2.4088966846466064,1.0911664
89,0.8443054,1.367394,-0.04890393,0.18428704,1.36248,-0.1633614,0.2115039825439453,2.2706217765808105,1.1127682
90,2.326558,-0.020679565,-0.07833703,0.23492676,-0.025980616,-0.4932006,0.1599809229373932,2.1294283866882324,1.129086
91,1.320084,0.9527471,-0.12113101,0.21858215,0.9139128,-0.7085524,0.12135220319032669,2.260279655456543,1.1256121
92,2.6006584,-0.19649762,-0.18943909,0.3864759,-0.19714785,0.6401738,0.1676761955022812,2.003711462020874,1.1013839
93,1.084748,1.1928821,-0.081132345,0.24847762,1.142633,0.40292773,0.12205686420202255,2.1730785369873047,1.0977986
94,3.1196811,-0.8277566,-0.108899996,0.21638244,-0.8551359,0.7595482,0.10381102561950684,2.0468456745147705,1.1069496
95,1.2514672,0.9472801,-0.01663491,0.17015651,0.9787099,-0.23924576,0.15122675895690918,2.1747219562530518,1.125363
96,2.541762,-0.40739885,0.0038817718,0.1396716,-0.39219117,0.47530094,0.14895616471767426,2.481649875640869,1.0779002
97,1.5167943,0.77835184,-0.2221229,0.37044498,0.89896494,-0.7544255,0.08416859060525894,2.0,1.0025432
98,2.9354987,-0.6052477,-0.023624025,0.19573092,-0.7716722,0.0717496,0.1540154367685318,2.090216875076294,1.0511614
99,0.41165888,1.80229,-0.03930169,0.25832996,1.7744493,-0.53112775,0.1410439908504486,2.2755234241485596,1.0554808
100,3.0791998,-0.9253521,-0.12230972,0.40079284,-0.88216347,-0.571256,0.1437109410762787,2.099493980407715,1.1227909
101,2.2758713,-0.014504694,-0.065919824,0.12464867,-0.0012688534,-0.39021665,0.19388531148433685,2.0752835273742676,1.1361299
102,0.07422173,2.255896,-0.10122788,0.20576875,2.1535518,-0.8406246,0.08923915773630142,2.258636713027954,1.0971438
103,1.1566063,1.2033656,-0.13428599,0.27563977,1.1180484,0.1329747,0.12801417708396912,2.1417200565338135,1.1000048
104,3.4877825,-1.1741872,-0.16139129,0.315677,-1.2294018,0.047484644,0.12729792296886444,2.101196765899658,1.129055
105,1.6208276,0.5381042,-0.13251802,0.3389412,0.6713591,-0.44181573,0.1591006964445114,2.2477800846099854,1.100745
106,0.141069,2.171148,-0.10859829,0.28075886,2.1090877,-0.5647921,0.1413361132144928,2.2470598220825195,1.1021563
107,3.5649314,-1.2546127,-0.11426806,0.30326304,-1.2491938,-0.21224749,0.13493432104587555,2.0689926147460938,1.1241285
108,0.9937474,1.2458465,-0.16270292,0.26955074,1.2732942,-0.012198363,0.19202743470668793,2.141432285308838,1.0918654
109,1.327504,1.0768622,-0.10280819,0.25349656,0.99515826,-0.8186083,0.09681784361600876,2.116257667541504,1.0190911
110,-0.3674799,2.5352292,-0.03331322,0.20230605,2.5014968,0.70468634,0.14342334866523743,2.3542299270629883,1.1016142
111,1.9470009,0.36239165,-0.09552305,0.23504344,0.44674686,-0.4356665,0.09011396765708923,2.0,1.1076193
112,2.0873213,0.16317186,-0.037968438,0.17581709,0.20009914,0.37028277,0.13644719123840332,2.195136785507202,1.0661129
113,0.7139284,1.4257433,-0.119653866,0.34689686,1.5099288,0.7736993,0.1124374121427536,2.497974395751953,1.027935
114,2.0264647,0.22995365,-0.093184724,0.22005334,0.2827992,-0.03552111,0.19353388249874115,2.215581178665161,1.1118959
115,1.4057221,0.80139506,-0.18022811,0.3110922,0.8353577,0.6802562,0.13045696914196014,2.3474273681640625,1.1153798
116,1.7221429,0.34410596,-0.04734078,0.16590439,0.43926415,0.23421346,0.1922423243522644,2.3779070377349854,1.0474232
117,1.2294343,0.8976516,-0.07528644,0.17839023,0.9625108,0.5948153,0.15120607614517212,2.230565071105957,1.1173733
118,1.0097215,1.3370495,-0.1381569,0.2522381,1.3696698,0.46753192,0.115772545337677,2.0069713592529297,1.1177802
119,1.3179603,0.9217468,-0.13844572,0.19680457,0.93324786,-0.5919845,0.16060397028923035,2.5027647018432617,1.0765834
120,0.21674101,2.0595255,-0.024237737,0.19615948,1.9914106,-0.7180374,0.11124662309885025,2.0601184368133545,1.1118534
121,1.2974892,0.8756027,-0.09430515,0.2839934,0.89104533,-0.6300947,0.14351925253868103,2.33831524848938,1.1171166
122,0.6783628,1.4624434,-0.15632358,0.2658469,1.473399,0.4411912,0.2011805921792984,2.4942281246185303,1.1216148
123,2.8926785,-0.5861336,-0.10497101,0.29927427,-0.6093287,-0.63969815,0.11590155959129333,2.1606855392456055,1.089149
124,1.7269114,0.45592323,-0.08320293,0.16093776,0.50595427,0.44556275,0.19761811196804047,2.4780807495117188,1.0620588
125,3.2400312,-0.80432147,-0.102837406,0.170002,-0.8854617,0.84008855,0.0446302630007267,2.03588604927063,1.1150401
126,1.3529291,0.90149146,-0.13362716,0.25036016,0.8757831,-0.45170382,0.20022140443325043,2.4398508071899414,1.0667177
127,1.5743856,0.60390013,-0.08451833,0.31308466,0.66380143,0.5693139,0.1367407888174057,2.150538921356201,1.0887046
128,1.0931201,1.1709633,-0.087014034,0.25811213,1.2920235,-0.39222166,0.1129823699593544,2.0,1.132269
129,1.9517205,0.35257155,-0.16987553,0.30555847,0.32650194,-0.5715655,0.1608058363199234,2.31864070892334,1.1206342
130,2.1723254,0.11871685,-0.05023107,0.15932718,0.098610096,0.56418437,0.10590647906064987,2.025836706161499,1.0828242
131,0.2840487,2.0661774,-0.18064776,0.34085956,2.0109165,-0.6449341,0.1660061925649643,2.0441930294036865,1.1383328
132,0.825746,1.4494172,-0.17784159,0.19050522,1.4333951,0.45248386,0.18537691235542297,2.4151525497436523,1.1089858
133,2.0107067,0.3134474,-0.18883991,0.3037223,0.38702005,0.6851454,0.12602552771568298,2.0025219917297363,1.1377413
134,1.3288577,0.84202665,-0.07641298,0.15776937,0.9367168,0.0693269,0.17230720818042755,2.2287216186523438,1.0739298
135,-0.41805235,2.6840525,-0.15843065,0.27975604,2.6715295,-0.24080424,0.17570734024047852,2.1435372829437256,1.1330218
136,0.57651013,1.7173885,-0.08971681,0.14060153,1.6061366,-0.26499104,0.19103755056858063,2.276571035385132,1.128439
137,2.1513274,0.100127324,-0.20735614,0.37548858,0.08488879,-0.026786203,0.1793508678674698,2.267305850982666,1.106488
138,2.832799,-0.61054003,-0.0805092,0.195518,-0.5113877,0.33453178,0.13954485952854156,2.2212138175964355,1.1080543
139,1.3161987,0.7411928,-0.082967326,0.34697422,0.7982477,0.54998094,0.14589473605155945,2.248800754547119,1.0735507
140,2.7836645,-0.48641822,-0.15221934,0.2907622,-0.4895345,-0.68805796,0.11031505465507507,2.108603000640869,1.1357229
141,1.5790889,0.67741096,-0.21319574,0.31321827,0.6708289,0.40863538,0.19392529129981995,2.4015543460845947,1.11524
142,0.1422844,2.152591,-0.25411817,0.38120338,2.1452103,-0.4541969,0.19486095011234283,2.2876226902008057,1.0411353
143,2.287938,-0.08865528,-0.11034787,0.28783187,-0.12119327,-0.677493,0.13026337325572968,2.4028539657592773,1.0755541
