,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,-0.6791992,2.8513753,-1.33675,0.345869,2.7625906,1.1791363,-0.17631882,0.2043171525001526,2.4873409271240234,1.0720263
1,2.757473,-0.55560845,0.82521796,0.44098142,-0.57251936,-0.9965127,-0.30031553,0.1805090457201004,2.3068861961364746,1.11812
2,4.177363,-1.9477165,-0.8014261,0.28138277,-1.8454715,0.57160336,0.189794,0.21812841296195984,2.2362120151519775,1.1211884
3,1.0389131,1.0435355,-0.5953449,0.36311254,1.192323,0.46989202,0.61517036,0.16487398743629456,2.3089828491210938,1.015296
4,3.9570856,-1.7093602,-0.20820439,0.3238714,-1.6413057,-0.14181496,0.73176366,0.14132776856422424,2.1819303035736084,1.1225998
5,3.945893,-1.7605728,1.337009,0.31435645,-1.6037412,-1.6469309,0.824907,0.10434441268444061,2.225754499435425,1.0684834
6,0.7150407,1.4619818,-0.91790026,0.0696345,1.465863,0.88600683,0.5731149,0.20668357610702515,2.3901472091674805,1.1031969
7,1.9002326,0.25551414,-2.1564553,0.33039036,0.32249454,1.9992852,0.43372428,0.21096575260162354,2.3765337467193604,1.1217794
8,0.9527528,1.1725035,-0.47912908,0.19415341,1.2125845,0.3396973,0.6857826,0.172048419713974,2.5664682388305664,1.1072576
9,3.0508957,-0.64671004,-1.3494769,0.3593599,-0.5897918,1.0132345,-0.57393914,0.17033524811267853,2.00777268409729,1.1079365
10,0.8380522,1.495132,-2.522055,0.43205124,1.497255,2.1485155,0.13314149,0.20490671694278717,2.0807297229766846,1.1354218
11,2.6495197,-0.44540992,-1.4849684,0.14755328,-0.37390015,1.4619894,0.8674425,0.07632828503847122,2.236330509185791,1.1246399
12,1.5538782,0.713826,-1.4798576,0.38210142,0.7023707,1.2283642,-0.101766005,0.20794975757598877,2.0580344200134277,1.1325095
13,2.6081362,-0.2435004,3.3847528,0.39479858,-0.27019393,-3.6902568,-0.6444437,0.16226856410503387,2.199514865875244,1.0477524
14,2.035913,0.013531288,1.8069506,0.40504417,0.20738177,-1.9686353,0.67481047,0.13486869633197784,2.383289098739624,0.96254057
15,-0.5403176,2.664171,0.2915465,0.04444996,2.7424018,-0.27700952,0.05148561,0.19938591122627258,2.2562785148620605,1.1024251
16,0.5207495,1.4787613,-0.044161372,0.25998998,1.6388361,0.038606588,0.16611585,0.017565812915563583,2.2729878425598145,0.8550823
17,-0.29760802,2.4765518,-0.6393421,0.3423856,2.48973,0.451175,0.5792957,0.1916285902261734,2.439073085784912,1.1208597
18,3.708646,-1.2945341,-1.3064276,0.27410066,-1.3225113,1.0997077,-0.74270004,0.14489230513572693,2.1078526973724365,1.1315484
19,3.8677073,-1.601281,-1.2565771,0.3682828,-1.6879438,0.9546645,0.7330043,0.17178875207901,2.4421966075897217,1.08747
20,2.304057,-0.25630426,0.7952453,0.29818508,-0.105899855,-0.85513616,0.6796502,0.09344043582677841,2.103703498840332,0.977348
21,2.7119079,-0.5850501,-0.57886773,0.3431757,-0.43499556,0.29425192,0.49450532,0.175134539604187,2.544368267059326,1.0409856
22,3.033275,-0.8772935,-1.477591,0.34661716,-0.90189016,1.3139068,0.6736602,0.1671629101037979,2.5585086345672607,1.0440891
23,2.9991922,-0.6722565,1.3912416,0.22485399,-0.61303014,-1.4703634,-0.74849963,0.12678676843643188,2.010237216949463,1.1079245
24,0.7472837,1.6398013,-0.88301134,0.34335792,1.6226447,0.7771305,0.54046863,0.15964658558368683,2.0,1.0939324
25,3.4778852,-1.200003,-0.85086524,0.41721648,-1.1615905,0.550198,0.41660395,0.19428561627864838,2.221284866333008,1.1010123
26,2.0878603,0.12394801,-0.95423764,0.15058513,0.14265727,0.81132644,0.42512637,0.16365672647953033,2.0087673664093018,1.0554811
27,1.1156044,0.97679025,2.4092786,0.33597165,1.0855703,-2.4105136,-0.46008402,0.04287749156355858,2.0028603076934814,1.1066308
28,1.8316642,0.48826575,2.3570647,0.40144435,0.5442031,-2.655803,-0.7326822,0.1215573400259018,2.1746954917907715,1.0483195
29,0.23976168,1.8501071,2.1113536,0.31861264,2.0541036,-2.1215096,-0.030268118,0.013301110826432705,2.0376834869384766,0.9934783
30,1.2741538,1.0649557,-1.2911707,0.31864727,1.0548189,1.1130494,-0.69206536,0.16062311828136444,2.1632888317108154,1.0853932
31,1.5765733,0.67041,4.177447,0.23239692,0.68030447,-4.254853,0.38043723,0.12043161690235138,2.100860834121704,1.1106069
32,0.65762335,1.5428808,-1.7114761,0.3292781,1.589429,1.4966013,0.83167297,0.11651644855737686,2.5490520000457764,1.1054511
33,1.7477909,0.5028784,-0.1686406,0.28660604,0.5658434,-0.0424803,0.1505712,0.17678552865982056,2.2578721046447754,1.1180657
34,1.1582407,1.0564225,-0.260024,0.2622507,1.0116777,0.065277904,0.123091735,0.22358736395835876,2.516510486602783,1.1190875
35,1.5678356,0.7046927,-0.92585343,0.21220253,0.62064785,0.76846087,0.5619174,0.1719176471233368,2.488699436187744,1.0366455
36,2.6471965,-0.43232477,3.127979,0.21492043,-0.30833566,-3.2886205,0.57224,0.15422797203063965,2.157522201538086,1.0729667
37,0.83427554,1.3501533,0.20611441,0.26687413,1.3753383,-0.47145975,0.5249111,0.19032235443592072,2.565908908843994,0.9689946
38,0.031887632,1.984311,1.413729,0.43559456,2.2648664,-1.5823805,0.57822067,0.07757481932640076,2.0778920650482178,0.89165425
39,0.22833887,2.072813,-0.5676066,0.43759397,2.0185928,0.3740854,-0.53113157,0.1509174406528473,2.128925323486328,1.1076562
40,0.9078845,1.1904767,-1.1357447,0.26985672,1.2370019,1.1445726,0.32038736,0.05570778623223305,2.1169116497039795,1.0083226
41,1.0077057,1.0410564,2.0527964,0.3223784,1.1992437,-2.2314322,0.6066011,0.1555616855621338,2.5893783569335938,1.0477024
42,1.5486248,0.5537153,-0.66016424,0.28512126,0.81924665,0.4168696,0.47921678,0.11211028695106506,2.1896488666534424,1.0892063
43,0.5212411,1.705502,-1.1533705,0.2805649,1.7053552,0.86661583,0.059356097,0.219721257686615,2.408005952835083,1.0888934
44,1.6288259,0.556476,0.5773542,0.39123493,0.57888967,-0.8017232,0.1764518,0.24164782464504242,2.426298141479492,1.1143786
45,1.1058342,1.0473512,-3.3734803,0.30499256,1.1103901,3.1503959,0.53331816,0.20051808655261993,2.541858434677124,0.9978021
46,1.9280745,0.29253227,1.0724657,0.3215285,0.30395314,-1.2443124,-0.6504764,0.18790985643863678,2.3477261066436768,1.1009485
47,1.5990552,0.51205945,-1.2055762,0.4203147,0.5810351,0.8618347,0.84354985,0.11385527998209,2.666442632675171,0.99392205
48,1.5190518,0.8055556,-0.8309861,0.18895394,0.71612334,0.83763206,0.042122073,0.1617017686367035,2.101085901260376,1.0821238
49,-1.4578592,3.619333,1.2768483,0.42707124,3.7666333,-1.6337241,0.55841136,0.1741979569196701,2.371321201324463,0.99283904
50,1.8369359,0.3390908,0.5744511,0.36105502,0.44661075,-0.7135594,0.16460864,0.16297829151153564,2.0283913612365723,1.129472
51,3.2292714,-0.90633506,1.454308,0.25774768,-0.86621076,-1.5535965,-0.81950223,0.10931578278541565,2.0410666465759277,1.1132362
52,-0.7234433,2.886264,-0.46168622,0.22433482,2.8326056,0.2165585,0.7036408,0.16546086966991425,2.788754940032959,0.9745344
53,2.083339,0.0767362,1.6167576,0.34431615,0.13824372,-1.8712465,0.7504992,0.13853305578231812,2.4154608249664307,1.0614688
