,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.26540393,1.1117553,7.0209746,0.117414854,2.6011312,0.8939326,0.79912406,1.0204417
1,0.2542684,1.1503911,9.466637,0.061997104,2.6775758,0.8026913,0.9106967,0.9418212
2,0.78531355,0.67751294,6.801994,0.3469598,2.758825,0.7453113,0.9491907,1.1551571
3,0.08434893,1.1846329,5.1044497,0.27506244,2.717546,1.012917,0.87623626,0.8006696
4,-0.8201297,0.70178306,8.302902,0.48694396,2.8828166,0.89826834,0.8157144,0.8870437
5,-0.4203666,1.1039821,9.903769,0.69851196,2.7346683,0.9100341,0.9055143,0.9363966
6,-0.35630128,1.1587698,13.567535,0.6108351,2.7310061,0.820241,0.89729077,0.881095
7,-0.545506,0.9823114,8.915821,0.691865,2.8408635,0.989523,0.79942524,0.907762
8,-0.03614705,1.095161,4.0084815,0.12759508,2.5539274,0.91560686,0.83545375,0.9633479
9,0.014539724,1.2014947,13.090914,0.26200694,2.7073002,0.7268654,0.8602161,0.96867454
10,-0.17099768,1.2070374,10.024372,0.253325,2.64165,0.8387996,0.975313,0.90773344
11,0.3599991,1.1440719,10.961816,0.6437593,2.8061044,0.7017358,0.82831967,0.996811
12,0.64010376,0.90407896,14.566941,0.6893076,2.7535384,0.84991246,0.84241045,1.1045055
13,-0.61462384,0.9404145,7.7158904,0.9388636,2.6471448,0.9334951,0.92292196,1.0334783
14,-0.63333565,0.9628959,8.934123,0.6378865,2.6509287,0.91775286,0.9142312,0.827386
15,-0.18564668,1.151996,10.208597,0.7661778,2.62978,0.9008673,0.83544886,0.9029877
16,-0.032855146,1.2399107,7.6263785,0.6957908,2.7831914,0.9843856,0.7885385,0.8638189
17,-0.64385307,0.9483039,10.405344,0.1532062,2.7985985,0.9579368,0.82720286,0.89209473
18,0.49535874,1.00355,7.534727,0.4064635,2.785865,0.95157593,0.8714135,0.8619939
19,0.65083754,0.7488338,2.0771987,0.091745526,2.6870248,1.0212694,0.80269843,1.0081097
20,0.40338904,1.0507402,7.9724684,0.74182874,2.6377015,0.96984905,0.93250483,0.9423437
21,0.27009162,1.1689836,14.334965,0.12348482,2.6672723,0.87717605,0.9450407,0.778017
22,-0.02693668,1.2648535,7.9555974,0.5111449,2.626239,0.9700368,0.83860546,0.69025165
23,0.0100869145,1.1575571,6.767189,0.88611,2.691317,0.8502042,0.81696403,0.8547551
24,-0.6607989,0.94983125,10.070289,0.9137121,2.7977898,0.90555346,0.88112164,0.896821
25,-0.47445998,1.0613189,7.689138,0.6998907,2.76866,0.85780406,0.8405309,0.8241043
26,0.63109607,0.8984657,4.050439,0.51865643,2.9559486,0.80595726,0.7228583,0.76313794
27,0.65254396,0.9155772,14.314452,0.5363294,2.7959285,0.82882863,0.828904,0.9900236
28,-0.73115724,0.8038338,11.172011,0.06482174,2.5873532,0.8757026,0.77735007,0.99409777
29,-0.4058717,1.1245413,9.7835455,0.95798844,2.8337913,0.8556548,0.9129529,0.80388033
30,0.16802013,1.1729767,14.334359,0.88894445,2.6310585,0.8860175,0.821439,0.9165357
31,0.56628555,0.94002455,2.977368,0.88890195,2.7167957,0.9423087,1.0107856,0.91752744
32,-0.3215378,1.1789764,13.056545,0.80263364,2.7894106,0.80402434,0.8459142,0.88091105
33,0.071522094,1.1947166,9.359516,0.72654265,2.5399444,0.9042575,0.81976,0.9371401
34,-0.73539984,0.8152668,10.731725,0.51161253,2.651645,0.8258116,0.74349093,1.1270541
35,0.44167393,1.0402223,9.959336,0.12328072,2.704623,0.9295612,0.7701464,0.9582662
36,0.053709615,1.2039614,8.1502,0.113512084,2.6931472,0.8706079,0.9020011,0.90308833
37,0.047899503,1.2069002,5.742551,0.18459831,2.709085,0.7612944,0.9412589,0.9271011
38,0.48800546,1.0264155,14.243261,0.2857693,2.725918,0.7423263,0.9315813,0.8093688
39,0.8005388,0.62126565,12.186635,0.43288192,2.633487,0.8329723,0.9261536,0.96141
40,-0.5489643,1.0149435,8.480503,0.7009211,2.7435408,0.86129194,0.84205717,0.87633705
41,-0.56823146,1.0415432,11.688161,0.3640311,2.8045566,0.8844735,0.86528546,0.81786263
42,-0.6743622,0.9138296,14.347019,0.5208026,2.6361666,0.91125304,0.723589,0.9083418
43,0.040755756,1.1707183,8.975186,0.056035515,2.8464465,0.87356967,0.89566296,0.76562524
44,-0.30348969,1.2263438,11.732446,0.7583192,2.9261587,0.85394865,0.9208089,0.7832668
45,-0.27830258,1.1695917,12.481026,0.32221007,2.8740654,0.84394395,0.78217286,0.957278
46,0.21713483,1.152154,5.216899,0.8241332,2.6247027,1.0730743,0.8186098,0.90782243
47,0.31146666,1.1369988,11.883745,0.1405128,2.9037874,0.8225097,0.8055241,0.8510912
48,-0.85102147,0.6282069,2.2248118,0.27749854,2.9881687,0.94429874,0.81847703,0.79502505
49,0.0024289694,1.2328662,5.99778,0.9272765,2.6538954,0.8692337,0.7691329,0.9213254
50,-0.498365,1.0598758,10.635618,0.32314092,2.7710602,0.80120695,0.8155127,0.895254
51,-0.6765191,0.8363049,3.1849837,0.043427538,2.8681593,0.8164471,0.905825,0.87356114
52,0.09455813,1.112322,4.424997,0.15251638,2.6752148,0.83901817,0.9313483,0.95519686
53,-0.7968022,0.7515439,13.244969,0.47226986,2.761523,0.9908977,0.87431365,0.8306373
54,-0.5397562,1.044841,12.081228,0.067991294,2.761694,0.87952447,0.88753855,0.79764533
55,0.1528538,1.2317977,8.473367,0.84370023,2.774962,0.8610391,0.8513953,0.9065929
56,0.16574016,1.167203,5.2798676,0.10789937,2.6590097,0.8118005,0.8866339,0.9135376
57,-0.008665983,1.1870655,2.8556898,0.29200038,2.776876,0.8429883,0.9217258,0.8665238
58,-0.13033086,1.1778907,14.436738,0.62286717,2.7341661,0.89343965,0.8010022,0.9981185
59,0.2823317,1.1185939,3.7130942,0.329767,2.6898081,0.814292,0.91619366,0.8608948
60,-0.67941445,0.93680197,10.068587,0.90623045,2.6954043,0.92448467,0.851549,0.9052832
61,0.08794568,1.2286696,10.403665,0.17407535,2.5658286,0.8363703,1.0021856,1.0564929
62,-0.75097924,0.6799337,3.5818274,0.008504274,2.8471627,0.9530721,0.7750419,0.77289885
63,-0.33461905,1.1367048,6.7154555,0.830824,2.7004824,0.85938394,0.8181393,1.0843662
64,0.23592408,1.1451097,4.125403,0.545041,2.7948363,0.856574,0.7982175,0.8323223
65,-0.18510765,1.1637886,4.039347,0.63599133,2.8537667,0.9635823,0.8766354,0.77640826
66,-0.41885126,1.0545334,7.2069016,0.026482632,2.6889381,0.84365267,0.84384394,0.90007293
67,-0.5991116,0.9512357,2.103939,0.3283139,2.8410847,0.9308408,0.9637676,0.82917464
68,-0.303744,1.1013377,3.164291,0.65875584,2.7419724,0.86496466,1.0230484,0.8960983
69,-0.47119427,1.0927539,12.7547865,0.36081547,2.9044678,0.74479735,1.0056758,0.90703326
70,-0.1414486,1.1903969,9.4273205,0.54579204,2.7100472,0.86079514,0.83033115,0.7317541
71,0.0797281,1.2600628,10.141014,0.6196943,2.7893846,0.8224126,0.8209599,0.88502735
72,-0.32513076,1.1376524,5.9180307,0.67589587,2.7520275,0.89928883,0.86745805,0.8006441
73,-0.55029505,1.0058947,11.261078,0.13766472,2.6481137,0.87523836,0.8767424,0.915409
74,0.75233114,0.72341746,6.1850243,0.15669745,2.7141097,0.87371486,0.7949747,0.93287224
75,-0.58395857,0.9687758,2.768994,0.2294926,2.7184978,0.8796731,1.042209,0.8399378
76,-0.5971454,0.95091903,8.579056,0.16545585,2.7048273,0.9135607,0.94955707,0.9687195
77,0.113030806,1.1751271,3.8323264,0.6832609,2.5678246,0.9799406,0.948651,0.9473384
78,-0.41811964,1.1335233,4.334659,0.9780872,2.6473892,0.8283874,0.8550027,0.95256937
79,-0.62176615,0.94844705,4.0188794,0.77690345,2.7101,0.94058836,0.92342746,0.86301416
80,-0.09742058,1.1569041,3.842064,0.87544525,2.820514,0.81776166,0.9459268,0.9312861
81,-0.3777266,1.1195784,10.068291,0.7597866,2.5876343,0.8125104,0.8021487,1.0022184
82,-0.072886646,1.2168388,6.7718964,0.39755937,2.742064,0.82165575,0.9605577,0.9082279
83,0.44915336,1.0160048,8.465727,0.07968988,2.6137602,1.0235296,0.8367201,0.8615691
84,-0.642361,0.91519076,10.33046,0.4589916,2.7281854,0.8319185,0.9139871,0.7509764
85,-0.44726044,1.0586339,2.498302,0.29792592,2.894671,0.93902534,0.8970663,0.84811044
86,0.7489214,0.77605367,12.664244,0.9423661,2.5548644,0.8912223,0.8131455,0.9045319
87,0.7016399,0.7520727,2.105141,0.28185338,3.0720184,0.9067833,0.86815184,0.7348581
88,-0.2503656,1.1834685,5.8582993,0.41161916,2.7833126,0.8409948,0.77930593,0.9013705
89,-0.31833467,1.1410347,6.028588,0.7635931,2.5711918,0.9804517,0.86988705,0.84180135
90,-0.045661,1.2031673,6.312926,0.43697953,2.7322319,0.8334037,0.78973883,0.9181375
91,0.5053918,1.0136203,9.194162,0.944069,2.8358903,0.98087835,0.8296389,0.8370976
92,0.14307362,1.159383,7.608953,0.2174678,2.6882458,0.9264798,0.77164066,0.8622008
93,-0.24344015,1.1951336,14.367989,0.90144044,2.5912805,0.91623455,0.8549163,0.9211674
94,0.11459388,1.2413849,8.231032,0.5990749,2.7859864,0.8750655,0.84958607,0.89421433
95,0.5632998,0.9683663,8.29703,0.124737576,2.6056712,0.8442802,0.9420908,0.8891909
96,0.38006526,1.1162432,12.862255,0.5094081,2.7091787,0.90389967,0.8636558,0.8480087
97,0.40131775,1.0458698,2.236794,0.30149192,2.6751795,0.8614316,0.8124243,0.8796825
98,0.6165615,0.9002612,14.420766,0.3099821,2.656042,0.7565183,0.78504485,1.1138377
99,0.47978657,1.0593026,5.780164,0.70201975,2.7652066,0.887612,0.95636415,0.83074325
100,0.7347435,0.78896534,11.976275,0.6093949,2.480375,0.8842217,0.8835866,1.0860419
101,-0.70918906,0.84757024,9.610287,0.36827087,2.7735493,0.8397055,0.987464,0.69689584
102,0.44348988,1.0524192,8.873542,0.24206637,2.7498975,0.9510813,0.76595837,1.0295001
103,-0.525872,0.9301285,3.093281,0.073093235,2.8543544,0.76829785,0.75707746,0.8081874
104,0.32358012,1.0976938,4.0480194,0.67440015,3.0108645,0.8485402,0.72943544,0.8073063
