,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
0,0.6799225,0.9791499,2.0334232,0.049817864
1,0.7175244,0.7606292,2.2027202,0.07033631
2,0.60764664,0.8784571,2.0603635,0.06963601
3,0.5354522,0.9394379,2.3806386,0.06959157
4,0.6197222,0.9037415,2.1029396,0.06511696
5,0.60094476,0.85425264,2.1314664,0.0842384
6,0.60767716,0.89332074,2.1288893,0.068595655
7,0.67114425,0.9197376,2.5494773,0.049911384
8,0.75837994,0.8517437,2.227066,0.06496798
9,0.67459714,0.845939,1.9217904,0.06604445
10,0.6344262,0.7874611,2.2500234,0.06707816
11,0.69972986,0.8812744,2.2941422,0.07115944
12,0.6290544,0.77185744,1.8340735,0.06632832
13,0.80133355,0.79884595,2.29183,0.06465717
14,0.74535036,0.92396265,2.2133508,0.056042016
15,0.61401904,0.8473225,2.348241,0.07036524
16,0.62913966,0.7770681,2.091716,0.049429905
17,0.7210354,0.75835985,1.8302591,0.075148866
18,0.5149535,0.8269423,2.1373374,0.06340197
19,0.7282057,0.86814064,2.1389432,0.06718873
20,0.6115883,0.825058,2.1370955,0.06885198
21,0.6734105,0.8293849,2.187313,0.067340165
22,0.55934525,0.8494213,1.7224958,0.05561008
23,0.61178666,0.90073156,2.13521,0.07263969
24,0.73039275,0.8984084,2.114274,0.055792328
25,0.72845227,0.7863471,2.119971,0.06746349
26,0.5954472,0.83969396,2.1267047,0.06479264
27,0.6243025,0.8854657,2.348948,0.06525108
28,0.60451794,0.86045223,1.7759299,0.082167536
29,0.6498745,0.8627429,2.031303,0.06422279
30,0.5968813,0.8305811,1.9912748,0.07211554
31,0.60855937,0.81641465,2.0406654,0.07787695
32,0.74798393,0.8440296,1.876556,0.08383139
33,0.6584526,0.8151814,2.18267,0.06849753
34,0.69804627,0.907324,2.3644507,0.058032118
35,0.7448667,0.85204226,1.949047,0.06793244
36,0.6585573,0.8153385,1.9700747,0.06795709
37,0.6699733,0.8751735,2.1739426,0.07275381
38,0.6611876,0.8500229,2.2562306,0.07317943
39,0.56504714,0.8566564,2.2060752,0.08119538
40,0.6157562,1.0090374,2.071707,0.06374978
41,0.65693957,0.8968558,1.9123368,0.059387285
42,0.70094484,0.8124178,2.1711953,0.055907145
43,0.6116965,0.8186818,2.0044677,0.074812345
44,0.68136,0.8747221,2.1493702,0.05907364
45,0.7100311,0.76319885,2.0020201,0.057721045
46,0.58549523,0.91520226,2.1823986,0.08736522
47,0.63210016,0.9797723,2.3656943,0.073918946
48,0.71402353,0.9221806,2.2145562,0.06640077
49,0.60143554,0.8140338,1.9537483,0.05217738
50,0.6104797,0.7316105,1.9788623,0.063661195
51,0.6403121,0.8878853,1.9171518,0.060573507
52,0.65260535,0.84268427,1.7381493,0.0805767
53,0.6168119,0.84817594,2.2163372,0.06414744
54,0.5987271,0.98324084,2.0632703,0.073672496
55,0.5863176,1.0037912,2.4868133,0.07035892
56,0.6802068,0.90942067,2.2769606,0.05842267
57,0.6722211,0.88058704,1.8909614,0.054781977
58,0.68215454,0.8544413,2.384663,0.055627972
59,0.7383014,0.8269626,2.3702211,0.044217486
60,0.6300255,0.9390587,2.6070075,0.06113971
61,0.7372313,0.7847311,1.940413,0.060159802
62,0.6096492,0.87975395,2.1631057,0.06742088
63,0.56265277,0.8914229,1.8633802,0.0724096
64,0.7033901,0.8141739,2.0964713,0.0718419
65,0.7584097,0.8658691,2.3264334,0.04746094
66,0.6634405,0.8973543,2.184767,0.07525638
67,0.51736647,0.93373877,2.1008036,0.07086853
68,0.6177218,1.0227942,2.2956722,0.051475495
69,0.6727574,0.83553934,2.219251,0.07167156
70,0.60673606,0.77915215,1.9649311,0.071481384
71,0.6804079,0.8385282,2.0494888,0.042493198
72,0.6740032,0.82386404,2.0832655,0.08714316
73,0.6655354,0.8567381,2.2586286,0.074072
74,0.7021649,0.7590376,2.1586246,0.06823188
75,0.6495023,0.93755394,1.8944731,0.070260674
76,0.70555717,0.90434396,2.1830368,0.07028051
77,0.6979847,0.8620745,2.1028666,0.06429417
78,0.66671044,0.7970466,1.9999317,0.07133412
79,0.70821846,0.843889,1.9001235,0.08336652
80,0.61432713,0.8600955,2.1998029,0.049896814
81,0.7237842,0.8992208,2.0318253,0.061971966
82,0.59801745,0.899843,1.8041044,0.062260833
83,0.6248072,0.8104579,2.0027933,0.07493018
84,0.57066107,0.93079835,2.0309346,0.058498736
85,0.62508184,0.93034303,2.0215364,0.053314533
86,0.7237885,0.74815446,1.9980856,0.06133679
87,0.6113354,0.9238298,2.26052,0.06158428
88,0.56717193,0.91525584,2.0193002,0.061357208
89,0.6460697,0.93049943,2.01938,0.068729006
90,0.71360904,0.8502797,2.0237267,0.056967217
91,0.70550776,0.82308936,2.3723862,0.07197212
92,0.6580784,0.88372654,2.0217128,0.0631784
93,0.73292303,0.8220307,2.036839,0.07682546
94,0.74485946,0.8523412,2.1258645,0.069965355
95,0.6710332,0.80877125,2.0837755,0.069887795
96,0.65588105,0.866168,1.8367889,0.06833972
97,0.6047579,0.882556,1.9827261,0.07929127
98,0.74238384,0.84692127,2.1708157,0.06267882
99,0.63035214,0.8557262,2.0467615,0.06170201
100,0.7089029,0.8555062,2.0494072,0.06645286
101,0.66943043,0.8692894,1.9349797,0.06801257
102,0.7807908,0.86719954,1.919517,0.06450061
103,0.5457357,0.9172362,2.035423,0.059860222
104,0.67367315,0.89962935,2.3755784,0.06430144
105,0.5742094,0.8405833,2.3501441,0.061009195
106,0.70693666,0.8430924,2.245528,0.0640594
107,0.73923236,0.85839635,2.2416685,0.06251793
108,0.6505818,0.77175564,2.058027,0.060965236
109,0.7185685,0.90294635,2.3823805,0.068006545
110,0.5383335,0.8175527,1.9469342,0.071709186
111,0.5953037,0.80024767,2.0508325,0.077161804
112,0.5814174,0.85427946,2.0095053,0.07838206
113,0.7045837,0.92966646,2.3112948,0.06277766
114,0.6019399,0.8223622,1.8083177,0.050384726
115,0.6142505,0.9529568,2.0003076,0.07207338
116,0.68221515,0.86325866,2.1799133,0.06934335
117,0.674127,0.8915114,2.0919209,0.059951328
118,0.719102,0.8216549,2.1352825,0.065730006
119,0.71872103,0.8877257,2.1184406,0.07606101
120,0.6516958,0.8595603,2.1249444,0.069794856
121,0.5015594,0.83931935,2.2097752,0.060359247
122,0.6023064,0.8295143,2.0190184,0.059853837
123,0.70340496,0.8732234,2.0926266,0.06615489
124,0.6964397,0.848222,1.9405361,0.06416236
125,0.7105887,0.8098505,1.8673007,0.070202954
126,0.68776953,0.8400976,2.0807927,0.069793954
127,0.5717872,0.97055537,2.2050498,0.06539475
128,0.6723194,0.91305816,2.0355458,0.07064293
129,0.60835785,0.83221185,2.0612242,0.065346815
130,0.534396,0.8979648,2.2114427,0.061378587
131,0.58915114,0.8634151,1.7628651,0.075428955
132,0.7171737,0.87383115,1.9781812,0.06132369
133,0.6753773,0.8427455,1.6442786,0.06768859
134,0.70816106,0.9210381,2.4370074,0.07118043
135,0.61985266,0.88794935,2.2400906,0.08813223
136,0.8352781,0.7735532,1.8533545,0.06694836
137,0.66298294,0.8608661,2.0918994,0.06728737
138,0.677962,0.90757734,2.208477,0.06353322
139,0.5680145,0.82252413,2.0496886,0.0811086
140,0.62091225,0.8532225,2.0372343,0.060148854
141,0.62496233,0.8131526,1.9129521,0.05629718
142,0.7114174,0.88194376,2.1863136,0.07271691
143,0.626039,0.844394,1.9976726,0.067370534
144,0.5997838,0.90875876,1.9703255,0.057348
145,0.68270504,0.8134444,1.8638221,0.06567989
146,0.56524086,0.8770404,1.9114031,0.0728412
147,0.6484029,0.8368688,2.2579274,0.07253165
148,0.63758904,0.9300967,2.0616612,0.062824704
149,0.6867832,0.82034284,2.1671197,0.07123028
150,0.6497368,0.8638532,2.2463875,0.07646567
151,0.58464706,0.7960825,1.9085215,0.051558338
152,0.5357381,0.88916475,2.0802011,0.0701364
153,0.7231419,0.83631575,2.2499428,0.06463344
154,0.63131094,0.8679448,2.3055866,0.05766134
155,0.6520244,0.8537908,2.0603433,0.099691965
156,0.6519376,0.88764346,1.77886,0.07615028
157,0.70918894,0.76362044,2.232806,0.06710418
158,0.6902617,0.8132579,2.154322,0.090088695
159,0.61703277,0.867029,2.1484873,0.05752052
160,0.7008869,0.88353026,1.783263,0.069218665
161,0.65707785,0.8755888,2.1600504,0.07526299
162,0.70837873,0.9287969,2.209429,0.06233509
163,0.78841156,0.848082,2.3334036,0.08296849
164,0.6853755,0.8987722,2.013401,0.068373464
165,0.6412162,0.8269855,2.3344278,0.06123768
166,0.7251063,0.8988901,2.1001742,0.057007547
167,0.81583744,0.8212658,2.267738,0.076570675
168,0.7457596,0.8714153,1.8973776,0.060298115
169,0.53489447,0.880461,2.1485255,0.06534781
170,0.67414427,0.87062776,2.3751643,0.07962395
171,0.65931755,0.8375259,1.8920585,0.063214906
172,0.680696,0.8808884,2.16397,0.067227095
173,0.74859065,0.8376977,2.1323647,0.04686594
174,0.7012661,0.91668063,2.2686458,0.06437922
175,0.59254664,0.83661896,2.4492881,0.06570266
176,0.5899951,0.8532213,1.9656817,0.07271053
177,0.5781648,0.9060525,2.2763276,0.0675031
178,0.6382771,0.8116718,2.2424488,0.06603866
179,0.6628355,0.8563941,2.3415124,0.056364093
180,0.49374083,0.83445793,1.9034476,0.06729963
181,0.7363742,0.84309214,2.2530696,0.04767356
182,0.73132014,0.84795654,2.0981364,0.053143602
183,0.6499482,0.9514822,2.2264957,0.0683076
184,0.7128423,0.8281339,2.2267017,0.067022406
185,0.8210481,0.86947304,2.3541338,0.060765307
186,0.7057725,0.75692743,2.2087073,0.072669804
187,0.7988067,0.904991,2.2436786,0.06029302
188,0.61113596,0.85626674,2.0016809,0.062900074
189,0.599645,0.8056757,1.960727,0.07490841
190,0.63018143,0.91556436,2.3193007,0.056052484
