,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
0,0.39217687,0.9340571,-0.31738943,2.6623993,-0.21301277,0.26596516,2.6909273
1,0.2636533,0.7878541,2.1315553,-0.054111823,-0.1713882,0.28160664,0.010364473
2,0.50297964,0.8123116,1.6768513,0.47270858,-0.17755415,0.26383644,0.41810802
3,0.50375205,1.07798,1.6787025,0.63291013,-0.24854863,0.3388749,0.68553257
4,0.39932463,0.8168745,2.3317046,-0.07151898,-0.15289178,0.23707597,-0.099896654
5,0.46680775,0.9262772,0.23416638,2.103948,-0.21045785,0.2816475,2.0714395
6,0.15148073,0.8866894,2.1325893,-0.0077632745,-0.23435411,0.29756925,-0.034468275
7,0.45324007,0.97464335,2.3840973,-0.19680275,-0.2181651,0.28454992,-0.20202212
8,0.41734198,0.84192914,2.1691399,-0.032200612,-0.18514143,0.29384947,-0.06793651
9,0.2981966,0.93955183,0.99219143,1.2108921,-0.1974654,0.2644655,1.1243962
10,0.4535834,0.94256,2.2634046,-0.124862574,-0.2252389,0.25372812,-0.155111
11,0.60566354,0.92997664,1.3779713,0.7056927,-0.22416355,0.2829892,0.6610103
12,0.23348187,0.82573414,0.4939333,1.6032522,-0.18263742,0.29679257,1.6267887
13,0.5363339,0.95737267,-0.31575724,2.4710054,-0.1906212,0.26006648,2.5115194
14,0.4898607,0.927422,-0.56276625,2.6181154,-0.20635274,0.30526653,2.4904544
15,0.36168417,0.8770336,1.6621175,0.50627804,-0.19822128,0.28195062,0.47502363
16,0.5141656,0.8111504,3.2229004,-1.0847957,-0.21656242,0.24131152,-1.2187732
17,0.11357215,0.80873096,0.7397679,1.3201302,-0.17779583,0.31349733,1.3788003
18,0.053962853,0.936465,-0.31556118,2.5153491,-0.23015939,0.27469057,2.4583075
19,0.08375566,0.8175311,1.065791,1.0433766,-0.13488019,0.22598387,0.9505239
20,0.06696425,0.8802898,2.3547888,-0.35271314,-0.20229083,0.3070706,-0.29746938
21,0.5255996,0.9284093,1.9221768,0.29467523,-0.22440864,0.28782222,0.28723264
22,0.49776533,0.8102244,1.6738244,0.44515043,-0.1481556,0.24054912,0.48433203
23,0.30250508,0.8530193,-0.66269857,2.692372,-0.19726598,0.3221162,2.6870391
24,0.24237688,0.9192147,0.5880057,1.4807807,-0.18879442,0.27064806,1.497563
25,0.18218929,0.8408095,-1.2643045,3.5027637,-0.19852819,0.24906568,3.4737256
26,0.4820165,0.9295442,1.2467995,1.0141491,-0.19071008,0.23665313,0.93257
27,0.29664186,0.88268435,3.187061,-1.1539484,-0.18987864,0.23331891,-1.299791
28,0.34216762,0.8992125,1.9221693,0.023105266,-0.17584935,0.26030877,-0.09668052
29,0.331003,0.8152801,1.9250813,0.3018524,-0.17571956,0.2751708,0.21943642
30,0.27461085,0.8339152,0.12601377,2.11032,-0.22112168,0.264197,2.062075
31,0.31518984,0.8572012,1.2815489,0.9419476,-0.18182528,0.22557302,0.9363142
32,0.24432977,0.8782793,1.7678503,0.38277736,-0.17399417,0.18820748,0.34174708
33,0.54750353,0.91572315,0.10345581,2.0204167,-0.20519805,0.26812693,1.9814456
34,0.51497006,0.8950055,2.320974,-0.09322665,-0.19839199,0.29608142,-0.059745777
35,0.22638185,0.8590673,2.9307609,-0.7705035,-0.16868725,0.2852853,-0.8932835
36,0.3276526,1.0117221,1.3101147,0.961145,-0.19460674,0.26787195,0.9556926
37,0.57754743,1.0053126,0.616022,1.773088,-0.24602774,0.29679257,1.6841259
38,0.42047143,0.7827926,1.7206659,0.30603325,-0.160414,0.24275756,0.3408434
39,0.0072197947,0.81432855,2.0289845,-0.06476848,-0.18864888,0.24666706,-0.06548049
40,0.412188,0.834937,2.5402637,-0.28597865,-0.14604957,0.22305027,-0.25859007
41,0.6697913,0.97161305,2.2113376,0.059113376,-0.2133645,0.29043156,0.16440459
42,0.34031525,0.9233334,-0.010311845,2.1620715,-0.18715069,0.22324423,2.0985327
43,0.07840775,0.87747496,2.487181,-0.3034453,-0.2383653,0.27687833,-0.33579352
44,0.22557919,0.9426119,1.9213408,0.1474581,-0.22304524,0.31555325,0.14681165
45,0.47817373,0.9606012,0.79276675,1.4364824,-0.21135786,0.2747251,1.4618783
46,0.3098928,0.936786,0.78735065,1.2415878,-0.2116283,0.26440766,1.1292083
47,0.064013794,0.85756445,3.4960387,-1.5108947,-0.18150744,0.31224793,-1.4476773
48,0.30911618,0.8268358,-0.26023465,2.5468864,-0.24829349,0.29650483,2.4024174
49,0.68092304,0.9441213,0.44837406,1.7226741,-0.19288664,0.25124148,1.6282293
50,0.12021127,0.8894827,1.47156,0.6499171,-0.1890753,0.19528843,0.5531089
51,0.6463804,1.0669446,1.5758809,0.77926576,-0.23848607,0.29325143,0.7808254
52,0.057556387,0.7811415,3.0513587,-1.0741236,-0.22987738,0.27613318,-0.9367904
53,0.42699865,0.944973,1.0318922,0.96833116,-0.20933814,0.26470134,1.025946
54,0.30406493,0.95403534,2.1749735,0.008413968,-0.20532829,0.28240114,0.03917124
55,0.34795544,0.91713494,1.6797183,0.4868149,-0.18570113,0.25572962,0.5282565
56,0.65933573,0.91448134,3.464166,-1.2506673,-0.22508146,0.3176882,-1.30921
57,0.020702306,0.6790011,0.19547205,1.7538385,-0.18104921,0.20847872,1.6844542
58,0.23289227,0.8974612,2.7949593,-0.81184435,-0.21628082,0.30017045,-0.90122396
59,0.2981704,0.9709704,0.41724238,1.784448,-0.19873339,0.21080348,1.7090555
60,0.080264285,0.7848795,3.0158308,-0.8053171,-0.22675264,0.27305445,-0.8707247
61,0.22497845,0.84749746,2.3655283,-0.060395997,-0.20793055,0.27651006,-0.027641304
62,0.35436687,0.8270245,-0.68587905,2.8116343,-0.2399053,0.26640785,2.8747091
63,0.36024114,0.8529867,-0.19403274,2.07561,-0.21631323,0.23736009,2.0899713
64,0.47444957,0.93975556,0.48821938,1.6318389,-0.17513962,0.254127,1.6848434
65,0.06357931,0.9177559,2.6739395,-0.56824523,-0.19890139,0.23112938,-0.5614345
66,0.25090873,0.88039446,2.4081302,-0.4048319,-0.15198591,0.25716618,-0.4925365
67,0.38866407,0.86332,-1.1307105,3.1637642,-0.19793184,0.2386802,3.2599258
68,0.16908358,0.84680104,1.8772895,0.36137754,-0.19916582,0.22965814,0.17443846
69,0.6607854,0.8821782,2.982666,-0.6192229,-0.24804667,0.3302034,-0.6205727
70,0.4203331,0.91783243,1.4178737,0.761989,-0.18535152,0.23109879,0.7281602
71,0.19992672,0.8412871,2.9171004,-0.7450419,-0.2495009,0.29750085,-0.66800016
72,0.7479795,0.9654239,-0.31757084,2.5238514,-0.19202065,0.29374835,2.428191
73,0.071270466,0.91388845,0.71941,1.3224224,-0.1650437,0.21456711,1.2737116
74,0.5316646,0.8761718,2.1165287,0.13186848,-0.19223817,0.2510379,0.1315352
75,0.35226107,0.8679309,0.4440145,1.6575248,-0.2351106,0.32547235,1.5423745
76,0.12086065,1.0006721,1.9549172,0.076094665,-0.17037834,0.2374874,0.077509984
77,0.41611803,0.9108757,0.9940764,1.1153619,-0.17980935,0.19880365,1.0268545
78,0.25856623,0.85460186,0.45134246,1.7000637,-0.27005714,0.27050442,1.6770394
79,0.23093207,0.8091427,2.4858923,-0.27683342,-0.17910783,0.2401179,-0.1861978
80,0.37055042,0.7849858,2.307141,-0.16208091,-0.1627851,0.24550045,-0.20739262
81,0.28804666,0.8556835,3.2349696,-1.274332,-0.16318236,0.24761666,-1.3328724
82,0.4907372,1.0253612,1.9678738,0.09467293,-0.20842305,0.33534327,-0.046472806
83,0.4070705,0.88496333,0.5425628,1.5644417,-0.1868605,0.27262747,1.5492679
84,0.18893924,0.8463677,0.98901063,1.1182933,-0.24325682,0.25495183,1.1461521
85,0.3744566,0.8673532,1.9901426,0.19049129,-0.18794355,0.28631496,0.16153173
86,0.30085176,0.90838444,1.5212369,0.5579241,-0.19410354,0.27075982,0.50406134
