,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
0,0.4276067,0.82924616,3.245898,-1.0321283,-0.08789689,0.28612906,-0.98793066,-0.10693092
1,0.55811334,0.8582586,4.6285048,-2.4555345,-2.3541007,0.2263058,-2.4023013,2.480673
2,0.17349955,0.84967947,0.7629911,1.1630121,0.08045397,0.32497874,1.141557,-0.2548887
3,0.3107575,0.82348305,1.9776219,0.13278544,1.9095984,0.26472634,0.15690285,-2.0889835
4,0.40885827,0.97745395,2.2705271,0.0627792,-3.1815114,0.31329095,0.07950977,2.7652874
5,0.5150226,0.8801274,3.2106571,-1.0312445,-0.020545565,0.28994244,-1.0405296,-0.09465722
6,0.5285915,0.75988835,0.51398635,1.646091,-0.10630019,0.2749538,1.6400641,-0.011782455
7,0.42910326,0.89459944,2.263852,0.010681338,-0.62529814,0.2601549,0.03274384,0.42102307
8,0.4704543,0.9323549,0.6449349,1.5001782,-1.155964,0.2531711,1.4992876,1.0473839
9,0.4519219,0.8145807,0.8557905,1.2509527,-0.35811308,0.29211062,1.2500405,0.22257295
10,0.41797864,0.7661618,1.5086019,0.6243693,-0.028349336,0.26485616,0.63901114,-0.056690138
11,0.46993896,0.78489304,0.39089045,1.7770164,0.46518266,0.2519204,1.7818695,-0.65665954
12,0.13053493,0.7971304,1.8882476,-0.02834673,1.5959806,0.28605065,-0.00032752616,-1.7406873
13,0.42474222,0.8373155,-0.27381727,2.3965325,1.7034063,0.30896863,2.3969054,-1.966143
14,0.38756487,0.7837514,0.5746098,1.2739916,-0.3188096,0.33120686,1.2690458,0.10764542
15,0.61945945,0.7735348,3.8338382,-1.7574509,-2.1897323,0.29359174,-1.7380383,2.023028
16,0.62653226,0.8439292,1.1248281,1.0374422,-1.1950072,0.270913,1.0150079,0.9577863
17,0.5655152,0.9282392,2.1112895,-0.20134333,0.37878153,0.25099188,-0.21292447,-0.52552915
18,0.57694453,0.75814605,4.4857507,-2.1428022,-1.5390402,0.25066024,-2.0955174,1.421998
19,0.4954553,0.88948303,-0.8134065,2.8041792,0.011465212,0.30284494,2.7612104,-0.12737821
20,0.5081626,0.9408827,3.0259168,-0.834219,-0.2293286,0.2886168,-0.8167271,-0.007066761
21,0.46896565,0.9474521,1.1306788,1.0472054,0.637575,0.2497697,1.0123572,-0.7300538
22,0.5143336,0.830733,2.0091379,0.09082505,1.2637148,0.2898097,0.08378385,-1.4403777
23,0.38131675,0.85707736,2.7543106,-0.6328906,-1.6938806,0.27407843,-0.6562173,1.5305457
24,0.60581195,0.8065142,1.654313,0.44346422,-1.7362858,0.302193,0.41589645,1.548497
25,0.40853575,0.82666594,1.9015894,0.06461132,-1.315436,0.20026912,0.05445747,1.2083491
26,0.62706256,0.90907145,0.17461237,1.8300291,0.18628168,0.28706464,1.8171012,-0.41629145
27,0.5479094,0.93039286,-2.036463,4.0214705,-0.42062098,0.2388098,3.9789443,0.23798695
28,0.3543143,0.81318563,0.6845281,1.5034052,-1.4629167,0.26656112,1.5061024,1.3575646
29,0.35254353,0.85622525,2.3664947,-0.18483071,-0.27788705,0.29864943,-0.20049787,0.14132111
30,0.59403443,0.87071455,0.8662384,1.4874557,-0.57873267,0.24894863,1.4886516,0.4439379
31,0.6084034,0.7945449,0.49778372,1.7459692,-2.0592148,0.26126483,1.7276479,1.9395703
32,0.33214667,0.7765072,1.246821,0.7142545,0.75361186,0.31707844,0.71408814,-0.9861684
33,0.5325292,0.8814507,1.6801478,0.49700332,-1.1449989,0.28425592,0.48738492,0.85092145
34,0.39707854,0.92984855,0.73527884,1.4771218,-0.63244087,0.30395594,1.4901537,0.467132
35,0.53028065,0.89859277,2.1129906,-0.24352407,-0.51505566,0.33704796,-0.22765885,0.31726974
36,0.5005435,0.81585205,2.1842082,-0.25487015,0.27120784,0.31230587,-0.27359033,-0.46203244
37,0.3769879,0.91223514,4.4037523,-2.3778188,1.7271439,0.27258435,-2.3937266,-1.8903034
38,0.632925,0.8978241,0.68847686,1.636226,-1.3494993,0.232582,1.6356364,1.2557553
39,0.52276456,0.7781307,1.0535043,1.0249013,0.11958657,0.28607664,1.0206589,-0.26735565
40,0.41138604,0.8560891,2.0930185,-0.323157,-0.88054013,0.27458203,-0.32044113,0.65721345
41,0.6712396,0.8959298,3.5039163,-1.5975046,0.50146073,0.30589375,-1.6501697,-0.6698484
42,0.38131857,0.8127224,0.04273835,2.0190573,-0.055540532,0.26678693,2.0070548,-0.13163057
43,0.60574955,0.860859,2.9583995,-0.8318437,0.058380235,0.2401194,-0.8461191,-0.17588352
44,0.4793445,0.78939164,1.5715029,0.5095383,2.5664988,0.23289508,0.52838206,-2.6814845
45,0.3769614,0.83813447,2.247448,-0.082628556,-0.4370299,0.28367203,-0.100276284,0.31157672
46,0.5829679,0.8964671,0.21875058,2.0812194,-1.2724608,0.2734781,2.0660126,1.1140715
47,0.546009,0.7807807,1.854639,0.108760186,2.0408976,0.22995563,0.07477024,-2.2373831
48,0.40955862,0.79328984,3.50846,-1.3419245,0.9246101,0.32615212,-1.3987951,-1.1844492
49,0.46563107,0.8465953,3.9981403,-1.7890937,-0.68078774,0.302446,-1.7665782,0.54668266
50,0.6106864,0.9213264,0.25501648,2.0461402,-0.7656121,0.2889733,2.0479326,0.63292426
51,0.50580025,0.8432397,1.6978296,0.37086815,1.8582517,0.3351665,0.35468858,-1.8492724
52,0.39508003,0.94247705,-1.0975815,3.1807926,-1.8134705,0.27960175,3.1582243,1.7259657
53,0.28854463,0.8610254,0.65513873,1.493155,1.2441797,0.29406515,1.5101318,-1.4990617
54,0.6403178,0.8562566,-0.7032202,2.8653917,-2.3544493,0.25583637,2.8336928,2.3085332
55,0.5302013,0.8515536,2.2705495,-0.21548308,-1.2851671,0.29252636,-0.23276514,1.2146142
56,0.4949839,0.89919764,1.8741456,0.42942604,-2.0672772,0.28398263,0.44165275,2.084524
57,0.43636376,0.7975313,1.915986,0.22351953,-0.12501486,0.24312344,0.24985544,-0.095028535
58,0.37820813,0.9210115,3.713267,-1.6151392,0.068986826,0.27073014,-1.6485238,-0.2979036
59,0.6268428,0.85633826,2.0075686,0.06437768,0.9148644,0.27959394,0.058933485,-1.0954527
60,0.48730728,0.86450887,2.7239172,-0.5394558,-1.2740238,0.30605233,-0.53314483,1.0092307
