,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
0,-0.046527483,0.47713766,2.8365934,-0.69134146,2.1352434,-0.4576513,-0.8200606,-2.0601857,0.71043134
1,0.4660256,0.39872926,0.43401986,1.7773619,0.5269117,-0.08184918,1.5715026,-0.65128326,0.28101355
2,0.5212188,0.42594263,1.7578332,0.4353138,-1.6015034,0.048182372,0.40835515,1.4623619,0.22526388
3,0.10790918,0.45822644,2.4326875,-0.26243186,-1.2374886,-0.18215749,-0.2076958,1.0404474,0.4308866
4,0.4752746,0.40751866,1.0883993,1.0722353,0.86455387,0.023154203,0.97711587,-0.93179286,0.27671632
5,-0.47261506,0.40135098,2.0383265,0.20630173,-0.39308178,-0.6331777,0.21280588,0.40280226,0.7618379
6,0.0012558885,0.43931958,-0.82361746,3.0328324,3.060743,-0.39591485,2.9733212,-3.1199965,0.68660957
7,-0.3815204,0.42322513,1.6736718,0.49752378,-1.6174133,-0.20712595,0.5416134,1.5822006,0.55540854
8,-0.24315973,0.43248734,1.3607627,0.81045234,-1.829755,0.35123292,0.82441735,1.6816218,-0.0639321
9,0.42921445,0.4318534,2.249022,-0.05025404,-2.2347846,0.12939179,-0.03589439,1.9545444,0.17065437
10,0.783477,0.32549822,3.467967,-1.2816833,-2.5443,0.096988365,-1.3170744,2.423973,0.26741534
11,0.58132684,0.39304373,0.11425087,2.0422978,-2.4482415,-0.30017164,2.176026,2.3335104,0.5055469
12,-0.48543283,0.42325005,1.5898187,0.59738696,0.81517506,0.034778643,0.63003254,-0.9981795,0.23214006
13,0.510359,0.4092272,1.3764333,0.80532265,2.6892726,0.00089504354,0.9254215,-2.9381225,0.34748608
14,-0.06278675,0.4259417,1.7691085,0.41799608,-1.0887761,-0.04805936,0.42179164,0.89911246,0.34577492
15,0.266382,0.43184036,2.3060997,-0.11472022,0.22359297,0.38759923,-0.05608016,-0.42884874,-0.12782264
16,0.7103993,0.310284,-0.13488299,2.3855689,-0.4569881,-0.19145429,2.3100698,0.3393135,0.41903237
17,-0.47396877,0.36669496,0.16596462,2.0469587,-2.2384086,-0.26287806,2.0683393,2.2581062,0.41105613
18,-0.6383718,0.37674826,3.7067714,-1.4636518,1.497241,-0.13698806,-1.4885793,-1.717569,0.4385899
19,0.2336973,0.47747484,0.60594606,1.5589522,0.58521235,-0.29413298,1.5326619,-0.7530255,0.6640594
20,-0.34929627,0.4147009,1.4695691,0.72375685,-0.12375616,-0.49800456,0.7363384,0.07702664,0.7084087
21,-0.63959754,0.31631875,1.6145135,0.5561239,-3.3589258,-0.034817863,0.64815843,3.2647948,0.27611077
22,-0.3525644,0.43612474,0.11553006,2.0799158,1.9035072,0.27370235,2.0229506,-2.0681105,-0.0034119727
23,-0.6841467,0.34906903,3.087849,-0.90080684,-0.77476233,-0.043385677,-1.0408077,0.72370964,0.27228963
24,-0.016810015,0.44993746,3.2806635,-1.1279728,0.3189222,-0.023031555,-1.2232196,-0.3853213,0.20337105
25,0.19026625,0.45982614,1.4685333,0.71336883,-3.0173206,0.4636435,0.70281845,2.7239075,-0.17892244
