,posterior_phi,posterior_sigma,posterior_g1
0,-0.79183775,0.40561768,1.8408567
1,-0.7652827,0.42031467,1.8710006
2,-0.771058,0.4128285,1.6598499
3,-0.77177113,0.40476555,1.9484015
4,-0.7145091,0.4439525,1.7753273
5,-0.69279045,0.4394891,1.873936
6,-0.8189402,0.39120883,1.8912396
7,-0.6001531,0.48141328,1.8667243
8,-0.77503556,0.43184757,1.8682346
9,-0.719517,0.3947903,1.9793339
10,-0.8165895,0.3969114,1.8400503
11,-0.7744922,0.4283489,1.8276651
12,-0.88299626,0.35869613,1.8851217
13,-0.6928006,0.4455955,1.8151677
14,-0.73667383,0.4373562,1.8212565
15,-0.79641867,0.37426722,1.8466591
16,-0.75700635,0.37921172,1.8173926
17,-0.736943,0.43503425,1.7908823
18,-0.7404974,0.40731525,1.7848412
19,-0.72617894,0.4441188,1.8709044
20,-0.77975166,0.4062769,1.9241401
21,-0.6569261,0.46443892,1.7863216
22,-0.7981306,0.41207987,1.8685434
23,-0.7818176,0.40580723,1.8932868
24,-0.7692962,0.37578797,1.7905179
25,-0.77218413,0.4312195,1.8476849
26,-0.7683708,0.4206279,1.6295123
27,-0.6511258,0.44295397,1.950119
28,-0.71389955,0.41301528,1.8013562
29,-0.8461757,0.34481242,1.7576337
30,-0.7541772,0.40761957,1.7975783
31,-0.80155015,0.39675623,1.7862242
32,-0.79910135,0.37632376,1.7059578
33,-0.8674039,0.37359855,1.7683866
34,-0.7989249,0.3805286,1.8880551
35,-0.6549742,0.4823293,1.8171847
36,-0.64821094,0.45416555,1.8419126
37,-0.8572499,0.3605475,1.9350628
38,-0.8351947,0.3538243,2.047964
39,-0.6831043,0.46426526,1.7431659
40,-0.8645006,0.3812263,1.7882997
41,-0.75224626,0.41718215,1.6972795
42,-0.72540647,0.43715522,1.9609907
43,-0.81836885,0.38656732,1.8135455
44,-0.7709474,0.35916626,1.8927678
45,-0.76819545,0.42057824,1.9499547
46,-0.7456711,0.40689147,1.8527871
47,-0.816648,0.34627762,1.843661
48,-0.7375795,0.42348063,1.9233177
49,-0.61594695,0.50622576,1.9224707
50,-0.7885812,0.37881485,1.903116
51,-0.8319003,0.40673867,1.811635
52,-0.6813542,0.42517197,1.8963032
53,-0.77585787,0.40845793,1.8272603
