,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,-0.89955425,0.26906884,2.229811,-0.10387335,-0.17303072,0.40088448
1,-0.5129955,0.3834118,2.0775864,-0.0065933643,-0.17517,0.3128182
2,-0.7760683,0.32560667,2.229737,-0.012483789,-0.19406681,0.3741568
3,-0.8045202,0.28911975,2.0062544,0.07166795,-0.13902354,0.31370285
4,-0.60631484,0.3585505,2.2070978,0.013842268,-0.16177692,0.33276483
5,-0.5807942,0.41496003,2.0873656,-0.01534056,-0.16527471,0.313178
6,-0.5861123,0.36249,2.1562235,0.019976718,-0.23175788,0.47813714
7,-0.77015924,0.3407348,2.2158253,0.06256378,-0.08434419,0.23432714
8,-0.76671207,0.26978487,1.8083168,0.079996474,-0.18240677,0.3355193
9,-0.7759831,0.28299114,2.1384273,-0.019175101,-0.22741757,0.36156413
10,-0.58355135,0.38656843,1.999766,0.082652435,-0.05419352,0.25278568
11,-0.49451923,0.40556908,2.2818308,-0.05224586,-0.16231576,0.33790582
12,-0.7456558,0.30722338,2.1586254,-0.033139117,-0.20155576,0.39925346
13,-0.69881785,0.3132774,2.305216,-0.032746345,-0.24869329,0.33095503
14,-0.85206324,0.25678334,2.267063,-0.030590886,-0.24268347,0.44686347
15,-0.714266,0.32571718,2.1763318,0.020664547,-0.13815689,0.2716318
16,-0.6298116,0.30739376,1.94344,0.069223635,-0.15521665,0.3003427
17,-0.5921645,0.35013235,1.9294006,0.015007851,-0.24080907,0.41030356
18,-0.7219886,0.3380182,2.0368674,0.017239166,-0.19305289,0.33671132
19,-0.5919914,0.33023858,2.0051405,-0.003656011,-0.22455172,0.3708543
20,-0.75560087,0.3121463,2.2557876,0.0067602256,-0.18574102,0.28823105
21,-0.77842844,0.2658335,2.0590723,0.080044106,-0.16115054,0.3647864
22,-0.7388944,0.31710383,2.183328,-0.06731889,-0.104610614,0.2571276
23,-0.68721443,0.3291514,2.3385131,-0.07085215,-0.15942922,0.30443433
24,-0.7710767,0.33069175,2.1771486,-0.041611932,-0.15842888,0.3054929
25,-0.69544923,0.34576777,2.5399222,-0.16339025,-0.23335579,0.40140796
26,-0.84315515,0.2521762,2.3057148,-0.031402063,-0.24427883,0.4114964
27,-0.6522513,0.36460027,2.3537707,-0.153433,-0.17328349,0.3924917
28,-0.77689576,0.27207997,2.3907118,-0.08049045,-0.15092918,0.32130525
29,-0.8675765,0.26700976,2.2756941,-0.06335709,-0.103198454,0.27606964
30,-0.7748476,0.26747185,2.2545922,-0.083748356,-0.11319572,0.30517185
31,-0.6396357,0.37410122,2.0189488,0.052635886,-0.12978794,0.30303878
32,-0.6166537,0.3657154,2.1652079,-0.08509145,-0.21120484,0.39094225
33,-0.70758283,0.3375017,2.1841865,0.046302147,-0.18106955,0.34140065
34,-0.58565164,0.38373098,2.1798768,-0.09036656,-0.13341081,0.24019279
35,-0.7969092,0.28071287,2.1984608,-0.033607,-0.24988332,0.3910297
36,-0.99,0.24167882,2.4744012,-0.104375966,-0.19605076,0.38304967
37,-0.61108476,0.35180712,2.1101546,-0.02688039,-0.13874336,0.29146788
38,-0.57012904,0.38822308,2.095935,0.022710757,-0.11196226,0.23766506
39,-0.78805566,0.27357656,2.0899396,0.0363923,-0.13226758,0.29804435
40,-0.7452767,0.305615,2.3740637,-0.0788076,-0.17121322,0.35170814
41,-0.7815069,0.31822115,1.9500649,0.14932822,-0.15798181,0.34022412
42,-0.74327713,0.2631417,1.857542,0.028489448,-0.16761771,0.32122797
43,-0.77430403,0.2874624,2.344846,-0.042675734,-0.17572437,0.31836587
44,-0.55308753,0.36706483,2.160606,-0.008529939,-0.12625466,0.31209525
45,-0.69480443,0.3227769,2.0181692,0.063402094,-0.20058095,0.3325181
46,-0.6232273,0.3803941,2.111382,-0.113529615,-0.0921088,0.2989766
47,-0.5527994,0.384531,2.0929914,-0.0066425637,-0.15400785,0.3484339
48,-0.6846276,0.31957832,2.125899,-0.079113595,-0.09303325,0.31279403
49,-0.884132,0.2720406,2.1269834,0.033135828,-0.16388668,0.3364483
50,-0.6966123,0.323486,2.3425314,-0.118661165,-0.18839476,0.37049097
51,-0.6441803,0.35416543,2.1497288,-0.029667538,-0.075784594,0.17487638
52,-0.7167454,0.33041713,2.2853541,-0.087385654,-0.19239624,0.36893913
53,-0.58200717,0.3801857,1.9958631,0.04848275,-0.13288467,0.30846536
54,-0.7932824,0.2860647,2.2753017,-0.11456569,-0.10525642,0.20083229
55,-0.87587047,0.287318,2.2631924,-0.029922929,-0.07980698,0.29425958
56,-0.7515351,0.3135511,2.0198448,0.11400705,-0.10605475,0.1722506
57,-0.77491796,0.295832,1.9402754,0.059183244,-0.17064774,0.38068166
58,-0.6756117,0.32041386,2.1468468,0.00084435625,-0.17610428,0.315582
59,-0.7633876,0.32932308,2.1333406,-0.029222287,-0.11684901,0.28541645
60,-0.7867993,0.292128,2.1808033,0.00783943,-0.0674972,0.206778
61,-0.9043344,0.2879224,2.3084066,-0.065056846,-0.093503326,0.25530392
62,-0.8973798,0.24047111,2.1707926,-0.061426863,-0.07167338,0.2949989
63,-0.788388,0.2836437,2.2202034,-0.01972441,-0.1425895,0.23844784
64,-0.86222017,0.27548936,2.3190107,-0.080016375,-0.15536793,0.35834485
65,-0.69921064,0.29516616,2.4190333,-0.12800719,-0.1329417,0.2822074
66,-0.8210868,0.2953958,2.2511718,0.0045898934,-0.09250818,0.20762563
