,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.9696703,-0.6355319,-0.16107705,0.286172,-0.54142106,0.8403907,0.4792483,3.2958305,0.37737757
1,0.8273378,1.5297483,-0.2302612,0.24395628,1.503085,0.8489223,0.46881625,3.7252972,0.32149342
2,1.4004532,0.8719004,-0.21329063,0.36689487,0.9421178,0.83238524,0.53042454,3.9857292,0.30305704
3,1.441121,0.8481704,-0.15762042,0.27432466,0.9762234,0.84888595,0.48145965,3.680326,0.34786922
4,1.6836408,0.7129803,-0.17931007,0.2950179,0.73511755,0.8192874,0.52816534,3.6693227,0.37474385
5,0.86349124,1.1708195,-0.121663444,0.28095624,1.3921988,0.84882176,0.40136674,3.6054242,0.33459514
6,0.10816185,2.1834462,-0.0681904,0.2467089,2.166519,0.8215428,0.5478497,3.7795036,0.3119305
7,1.4898665,0.55668795,-0.09282657,0.18759365,0.7125137,0.85698617,0.33131525,3.5592434,0.3399465
8,0.88238233,1.3519701,-0.18577081,0.22221833,1.4202764,0.84250027,0.45331734,3.7518094,0.31108823
9,2.9624991,-0.57039446,-0.17222953,0.22598872,-0.44141564,0.8381965,0.54270905,3.4521575,0.35846296
10,2.9540362,-0.6857598,-0.13068773,0.35929587,-0.8033199,0.8479352,0.43075776,3.226521,0.40372851
11,1.4378879,1.0071604,-0.26516774,0.30174223,1.1063086,0.8494931,0.475595,3.8199995,0.3192549
12,2.8165426,-0.4134053,-0.14172222,0.3556865,-0.3935774,0.83479154,0.510526,3.3779569,0.38672724
13,1.2536196,1.2124636,-0.16754806,0.38303939,1.3009131,0.85009015,0.5032815,3.4244118,0.3783941
14,-0.48232257,2.6515307,-0.16426319,0.17804082,2.7763019,0.84016603,0.41496655,3.306146,0.346299
15,2.7295573,-0.21614344,-0.23407978,0.300948,-0.09634526,0.8341955,0.560704,3.6704679,0.3090984
16,0.9300631,1.2485788,-0.10399879,0.25042453,1.294614,0.8284917,0.5241298,4.0268555,0.2946625
17,2.5591464,-0.30501315,-0.15115598,0.20262764,-0.25426057,0.8052901,0.55581,3.8117142,0.29165792
18,0.40852755,1.6540371,-0.17771986,0.3401579,1.7468114,0.8473834,0.4700123,3.732765,0.3093158
19,2.8217843,-0.6053174,-0.20446527,0.29662773,-0.7000108,0.84568393,0.38915485,3.5896952,0.38880563
20,1.3936265,1.1146882,-0.15517358,0.24393956,1.1769528,0.83455247,0.5105365,3.1347234,0.38947025
21,0.46737748,1.8011804,-0.16687448,0.32680783,1.8118097,0.8295731,0.5307422,3.3899388,0.37781808
22,1.6391747,0.6379787,-0.12819584,0.33329192,0.706847,0.83023417,0.55901444,3.6383061,0.32147232
23,2.4375072,-0.30514643,-0.19597588,0.20975864,-0.22801682,0.8386722,0.4717107,3.2620714,0.39828143
24,1.7854095,0.48066214,-0.1957918,0.34022728,0.5313745,0.8195101,0.5443138,3.384198,0.3852285
25,2.1156313,0.51358265,-0.17412369,0.3167165,0.5630038,0.83912426,0.5284426,3.6237085,0.32944524
26,0.014049085,2.1534805,-0.1370974,0.29146585,2.2823331,0.8436488,0.57695353,3.173394,0.37556565
27,1.6721013,0.54409146,-0.13981904,0.31939486,0.5377321,0.8550709,0.43800926,3.39809,0.3610834
28,0.40011522,1.8345754,-0.080542155,0.39646116,2.0078387,0.8536839,0.42216647,3.6194513,0.34876993
29,2.6640854,-0.08273368,-0.20146164,0.28811407,-0.04871317,0.8482183,0.45152134,3.0409486,0.46120453
30,0.17168717,2.1257641,-0.14050695,0.24819894,2.143957,0.852268,0.55324006,3.8455672,0.3325093
31,1.387094,0.88788277,-0.1708868,0.35504746,0.9708574,0.83564395,0.5778847,3.401476,0.38875148
32,0.65660006,1.8885391,-0.16359146,0.23913753,1.847924,0.7935363,0.59826225,3.9411666,0.28323665
33,3.3757415,-1.0745986,-0.23554534,0.29839012,-0.8076029,0.8411723,0.4681134,3.6116946,0.2961366
34,3.0248754,-0.43282926,-0.1926944,0.32028884,-0.4519683,0.82285833,0.5746888,3.904801,0.29132152
35,2.7716007,-0.52495104,-0.20128176,0.26630932,-0.50893265,0.8316279,0.570854,3.7645426,0.28761226
36,1.9700052,0.34745288,-0.12719809,0.26788992,0.4456757,0.8466637,0.5641594,3.8648534,0.32739624
37,-0.02629093,2.0671823,-0.08128213,0.2813878,2.1345534,0.8465184,0.5650223,4.0801783,0.28202403
38,3.1777582,-0.743547,-0.13727893,0.30055323,-0.65857977,0.84010136,0.54032844,3.4273393,0.38681453
39,-0.28381836,2.443158,-0.24117702,0.33734584,2.5295973,0.84062195,0.45022014,3.1178925,0.4301731
40,1.9020579,0.25665215,-0.17804405,0.2537577,0.42540836,0.8448051,0.4039151,3.3030858,0.34746528
41,2.6041296,-0.2660636,-0.2166311,0.37721437,-0.25581542,0.8437417,0.52836865,3.5953782,0.348029
42,3.9407527,-1.6269059,-0.12717259,0.15020916,-1.5744103,0.8225791,0.52287006,3.3279378,0.3885458
43,1.1352282,1.004212,-0.21161185,0.3487277,1.0402057,0.8143759,0.5456289,3.518296,0.3238789
44,2.6223142,-0.23289621,-0.17901091,0.3461454,-0.4125755,0.85212857,0.35764268,3.3007677,0.36064494
45,1.1824716,1.0683652,-0.1977935,0.33387196,1.0322685,0.8466081,0.44268933,3.5187888,0.34156027
46,1.0824071,1.1849074,-0.20200863,0.31077656,1.3270743,0.84185153,0.5109402,3.3553991,0.3735213
