,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.9695146,0.33993316,-1.1151146,-1.665236,0.30793625,1.261486,1.6416848,-0.620922863483429,0.14664770662784576,3.225016,1.0624535
1,2.6722076,-0.21082833,-0.8149386,-3.0810788,-0.23226613,1.3249329,2.7749822,-0.8003279566764832,0.3311728537082672,3.1179714,0.3476189
2,0.89630735,1.3326628,0.5880889,-1.3055207,1.5268546,-0.58383447,1.672875,0.5603452920913696,0.05,2.7069254,1.4025928
3,-1.4159832,3.582294,-0.5523646,2.934848,3.4691231,-0.06967247,-2.8176205,0.9179528951644897,0.18934644758701324,5.080855,1.0267053
4,2.5705945,-0.2570915,1.0908668,-0.029415356,-0.1198603,-1.1565183,0.24513282,0.07115347683429718,0.05,2.3307421,2.223229
5,0.62968415,1.5217984,-1.233585,1.1187253,1.731333,0.97606796,-0.9221084,0.8868615627288818,0.05,2.7249205,1.7601047
6,0.28610224,1.893467,1.2289009,1.4998517,2.0382776,-1.6496489,-1.1104734,-0.10874520987272263,0.05,2.792611,1.7895725
7,1.7343651,0.6462919,-1.0233554,-1.1430843,0.7123933,1.1611451,1.3588624,0.2731902003288269,0.05,2.1565773,1.9753021
8,1.3553644,0.91942215,1.5674096,-0.4401108,1.0733936,-1.7268986,0.7642555,0.8324066400527954,0.05,2.7731698,2.486586
9,2.5681283,-0.18321358,1.3419415,-0.84213835,-0.24315706,-1.3917098,0.9607711,0.5630555152893066,0.05,2.537603,1.9792463
10,2.562585,-0.11773288,1.5958434,-3.4525766,-0.11154737,-1.2698865,3.3086536,-0.934531569480896,0.11558052152395248,3.3246844,0.08333999
11,2.6353598,-0.4941076,-0.22579908,2.7568772,-0.508453,-0.2693796,-2.4281654,0.8922762870788574,0.17494221031665802,4.2282877,1.8560283
12,0.46173298,1.9423172,2.4861338,-0.81276155,1.7744018,-2.3221467,0.759103,0.7913386225700378,0.05,2.5299675,1.8980227
13,1.3584676,0.9331761,-0.9289736,-0.787074,0.8901593,0.89774555,0.99443954,-0.2195223867893219,0.05,2.8069897,2.1989067
14,1.2987365,1.0156974,-0.78809327,-3.5704718,0.9914261,1.344868,3.2167468,-0.8322990536689758,0.2322302609682083,3.276112,0.07973856
15,1.161578,1.0051333,0.55147517,-2.0052662,1.0600111,-0.16375844,1.9846096,0.8329214453697205,0.216409832239151,4.589721,1.3738542
16,-0.134785,2.3948588,-1.1657487,2.1109166,2.7780218,0.5122058,-1.4759188,0.9776109457015991,0.009930594824254513,2.1679978,1.314539
17,1.5120027,0.82182693,1.6333311,-0.91676056,0.76395917,-1.5790027,0.9897688,-0.015921957790851593,0.05,2.7487395,1.9133729
18,2.7342396,-0.4266137,-1.4178964,1.390812,-0.40852675,1.1497122,-1.1770685,0.99,0.05,2.300681,1.8490074
19,2.1542697,0.26762256,-0.9041689,1.510444,0.12300893,0.6934726,-1.2817843,0.99,0.05,2.352766,1.8725605
20,1.3243479,0.84395766,-0.3349574,-0.38673982,0.9946734,0.1908201,0.7355158,0.99,0.05,2.9515178,1.9644891
21,1.3478326,0.7922585,1.3313434,2.3710465,0.8786769,-1.9739999,-1.7075893,0.9196100234985352,0.13043291866779327,3.2578504,2.4230254
22,1.2384781,0.7917359,0.9884774,3.0618372,0.90760523,-1.5079359,-2.4774075,0.9203054308891296,0.13953649997711182,3.9199092,2.038626
23,-0.36413765,2.7959783,1.5301496,-0.5790006,2.6538057,-1.3866715,0.6291007,0.741452693939209,0.05,2.2072616,2.0095007
24,-1.5289747,3.4988961,-1.3273069,-0.30971748,3.4900327,1.5997171,0.39754015,0.4364294409751892,0.05,3.901401,1.6295444
25,2.2895548,-0.048338298,-0.8127674,-1.8552711,0.10789149,1.1817845,1.8113711,0.7099977731704712,0.19435246288776398,2.964095,0.9320869
26,1.3946778,0.82959586,-0.11696064,-1.1433531,0.9146794,0.09898447,1.1350838,0.648948073387146,0.0028493183199316263,3.4462395,0.9327214
27,2.601125,-0.35884818,-0.7081904,0.50923336,-0.4715717,0.67896426,-0.1839857,-0.4841448664665222,0.05,2.5804656,1.9330115
