,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.3692267,-0.047614712,-0.16739815,0.30207118,0.8317046,0.48815235,3.8165948,0.33140737
1,2.2391758,0.01533436,-0.1238479,0.27643746,0.84239495,0.37913892,3.705355,0.32359296
2,1.9695394,-0.11224183,-0.19822562,0.27922407,0.31394055,0.6099182,4.178292,0.3122253
3,2.4000869,-0.0839397,-0.22804148,0.20409696,0.81860024,0.35448053,3.134069,0.38530374
4,2.2383335,-0.06340147,-0.14635849,0.224945,0.78210694,0.47305226,3.7781308,0.3283319
5,2.4407187,-0.10854254,-0.20208235,0.24570444,0.83953565,0.41548628,4.0006723,0.29237986
6,2.2212543,0.0045749713,-0.0917051,0.16004387,0.83866054,0.35701138,3.8599062,0.34874073
7,2.362068,-0.055909883,-0.110600844,0.22656113,0.8389289,0.41013986,3.8578253,0.32678276
8,1.9835747,-0.09109713,-0.2117202,0.3876292,0.64492965,0.45027977,5.485389,0.20620656
9,1.8632582,-0.11112949,-0.19077092,0.3917989,0.26940405,0.5855282,5.569365,0.22382955
10,2.4251988,-0.10195764,-0.14244324,0.28630623,0.82932764,0.47046092,3.9979334,0.3397282
11,1.9156593,-0.08589982,-0.10124719,0.25916347,0.4889066,0.56149894,5.977311,0.20274308
12,1.9175708,0.0013426928,-0.17053017,0.3721909,0.5341639,0.48604894,5.064197,0.25238717
13,2.057836,-0.09945617,-0.21334489,0.25973576,0.62396353,0.43856987,4.0295277,0.33789068
14,2.1153991,-0.078610085,-0.09459665,0.22526677,0.7898979,0.3172416,3.9660602,0.32743374
15,2.2228816,-0.00022824838,-0.12999111,0.28047138,0.8454478,0.4043464,3.76962,0.31535164
16,2.0196111,-0.09277049,-0.1536841,0.31705853,0.7822181,0.42385897,4.424651,0.3012633
17,2.0367756,0.06130117,-0.12377552,0.19886874,0.8055849,0.3432195,3.4520237,0.3700021
18,2.1350386,-0.12649599,-0.074390136,0.34715188,0.82651424,0.41583237,4.9983068,0.22934939
19,2.1795633,-0.103856765,-0.2840433,0.43860522,0.819089,0.4267796,4.517863,0.25531602
20,2.06178,-0.09333096,-0.22479276,0.27710113,0.6320418,0.4217227,4.3424153,0.2789259
21,2.1893728,-0.042603485,-0.09510947,0.23940718,0.84705174,0.40333086,3.8087902,0.32370812
22,2.1821134,-0.084706396,-0.18030885,0.2910326,0.8120104,0.4156552,3.9135227,0.3384429
23,2.021657,-0.056858398,-0.19075006,0.20676737,0.51741964,0.4711225,4.723364,0.253897
