,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,0.6778661,1.2355472,-0.47635025,0.31009665,1.2481579,0.28000927,0.6343042,0.4021074,4.3525734,0.31441274
1,0.7693298,1.4914795,-0.31995565,0.45189905,1.44247,0.04757395,0.8172741,0.42921564,4.175905,0.31717208
2,2.3472404,-0.333689,2.8348548,0.3161971,-0.43273064,-3.1110542,0.4278864,0.5117116,4.322998,0.29946795
3,3.687665,-1.4172823,3.285467,0.3283412,-1.2828002,-3.5240943,0.8458586,0.43329263,4.1609187,0.30614704
4,-0.62882984,2.771324,-0.07611926,0.20280449,2.7214122,-0.14849366,0.73205405,0.35256034,3.231776,0.4185538
5,2.3054383,-0.07248733,0.6357675,0.22191913,0.00890607,-0.84634507,0.8002727,0.35285097,3.8055322,0.32613006
6,2.37612,-0.4601808,-0.9756261,0.23190774,-0.4020148,0.81460106,0.4203679,0.5880931,5.013815,0.23419805
7,0.07052941,1.8110073,1.3746101,0.21301295,1.8470931,-1.6071115,0.26616952,0.66081035,4.9828773,0.22287169
8,2.9215465,-1.1327372,3.3863282,0.30145812,-0.9377218,-3.6321537,0.1844091,0.6557001,5.1132755,0.24512222
9,3.6804783,-1.5648669,-3.269281,0.2715769,-1.5442368,3.0544868,0.8231812,0.35338405,4.052486,0.33384067
10,0.5795168,1.4145274,0.7322453,0.19370997,1.4917603,-0.7511625,0.74768305,0.38097176,4.348426,0.2966737
11,1.9647545,0.3029194,-1.4984828,0.33302388,0.3495836,1.3397563,0.83476377,0.48754764,3.5746531,0.35101324
12,2.0570424,0.45481429,0.5788008,0.34623846,0.44792295,-0.84978485,0.8478168,0.40012628,3.6439972,0.3436864
13,0.85518897,1.107835,2.1905901,0.32751113,1.1501049,-2.4005954,0.7824422,0.32086575,4.0277014,0.33186367
14,0.08285654,1.8758314,-1.0243838,0.31273925,1.9540943,0.7383963,0.38463685,0.5542575,4.5468826,0.26242083
15,1.3974712,0.54120445,-2.0835845,0.30803972,0.5514359,1.9097887,0.54924184,0.49080327,4.94765,0.2682983
16,1.9197292,0.33658886,-2.7973812,0.27614588,0.42272592,2.729326,0.8440741,0.49044663,4.198198,0.25668046
17,-0.8039962,2.907179,0.42730775,0.40616181,2.6763484,-0.64085853,0.39174244,0.46853507,4.142923,0.30374077
18,0.059130497,1.9264764,0.32977414,0.36208174,1.9660012,-0.57067955,0.69263333,0.41167998,4.9366784,0.24687745
19,3.0486903,-1.1523874,-0.35622597,0.3807711,-1.3006513,0.17199749,0.060764126,0.48021194,4.5448813,0.26494274
20,1.0282577,0.9735918,-0.77791756,0.19830622,1.1329954,0.720291,0.78139275,0.42362207,3.5730772,0.36397746
21,2.4727204,-0.17559847,0.58801925,0.2598733,-0.16189642,-0.83413035,0.84869754,0.41346842,3.2219925,0.4201835
22,2.4334865,-0.320894,1.2353381,0.35039422,-0.49599493,-1.4919541,0.48870787,0.3735348,4.3929505,0.29404286
23,0.85223055,1.2789236,-0.84660935,0.3596861,1.3490994,0.7695322,0.83105445,0.45186698,3.8883865,0.32093778
24,1.6986651,0.5252012,0.30410862,0.33199176,0.5376735,-0.50689733,0.8458765,0.42997792,3.617971,0.3756554
25,0.92645913,1.0638009,-1.1940427,0.2983403,1.0330807,1.1268091,0.7667999,0.43711126,4.6960883,0.25906765
26,2.7805767,-0.6092941,-0.1419697,0.31054953,-0.4993722,-0.02878329,0.84752667,0.3796913,3.975598,0.3039376
27,1.4628382,0.41426274,1.3632184,0.28138784,0.4953371,-1.4030689,0.5691596,0.36344042,4.5388966,0.28651908
28,0.19679482,1.7933823,0.341078,0.34287208,1.8033314,-0.45168418,0.83373463,0.32497355,4.4208345,0.29320562
29,2.5492933,-0.59128034,1.6742382,0.34432673,-0.49212077,-1.8947544,0.7456974,0.3923792,4.33567,0.28248474
30,2.4303572,-0.22044788,0.3771354,0.32825887,-0.30622113,-0.4898743,0.84259546,0.34576827,3.7352884,0.34552386
31,-0.12291407,2.3538923,-0.07032046,0.19910306,2.412253,-0.20023216,0.78653854,0.39669082,3.9958715,0.27640042
32,2.8839798,-0.8898655,-1.0119117,0.23933306,-0.8697258,0.8368506,0.67623854,0.34587267,4.560094,0.2490055
33,3.036495,-0.9504642,-1.5180229,0.37184852,-1.0524336,1.2771188,0.69982487,0.4153915,3.7204776,0.3830284
34,2.1358337,-0.020092448,-0.47804418,0.373426,0.060002387,0.22275479,0.7518987,0.39406228,3.4343374,0.392626
35,2.126297,0.09344039,-1.3262357,0.28580314,0.11791793,1.1900132,0.828173,0.47626054,4.3212423,0.30829737
36,0.40520114,1.594624,1.0684028,0.26673788,1.6986811,-1.2799935,0.7504674,0.3305586,4.211105,0.29985562
37,1.0042528,1.0385298,0.6488382,0.2822448,0.87414855,-0.8696829,0.5256365,0.4618724,4.663434,0.25467482
38,0.17233922,1.745804,2.143361,0.29921964,1.7964287,-2.186162,0.7926269,0.26132384,4.364332,0.30048773
39,1.1134574,1.0458364,0.84379613,0.4719751,1.0427381,-0.9751119,0.84634763,0.37484613,4.6248345,0.26679438
40,1.4661827,0.47555503,2.3708189,0.46811262,0.51118004,-2.6435068,0.78883576,0.3651962,5.1086435,0.25483924
41,2.7893796,-0.8007497,-2.1014802,0.3077755,-0.66192305,1.7185816,0.5100816,0.39086518,3.7907577,0.37831762
42,1.7624999,0.34668115,-0.93024844,0.25875717,0.42649433,0.9114049,0.84316844,0.36560902,3.6627138,0.37501228
43,3.6352122,-1.3359854,1.2924409,0.2812788,-1.2635533,-1.4824327,0.85443085,0.40208584,3.3654547,0.37601015
44,1.8230922,0.042485338,0.9789852,0.24541712,0.053081833,-1.1278125,0.34888196,0.48381954,5.2502236,0.25156924
45,0.11504619,2.061349,0.90575576,0.27485585,2.02815,-0.8162566,0.75268805,0.46842894,3.625518,0.330289
46,2.343667,-0.19902982,-0.85774434,0.33858812,-0.20635088,0.56196505,0.74409574,0.5086227,3.7103984,0.36221007
47,1.7627115,0.3524725,0.5554997,0.39469445,0.43847504,-0.7959532,0.84345204,0.3143884,3.735509,0.33340436
48,1.8570517,0.42240426,-0.34234124,0.13071722,0.40689206,0.26670745,0.85236967,0.4205253,3.487129,0.35757083
49,0.5458433,1.636106,1.2343888,0.26421693,1.4490849,-1.3781297,0.65324295,0.3978668,4.2640896,0.28920484
50,1.4433126,0.6347102,1.9596963,0.35960892,0.6929769,-2.2571092,0.6578575,0.48920447,4.006715,0.31135723
51,3.9871619,-1.684862,2.150337,0.30942342,-1.8088633,-2.477227,0.730781,0.41332433,3.3385146,0.3911758
52,1.2576042,0.7236177,-2.4776866,0.35384336,0.7526569,2.2968957,0.75986147,0.39052236,4.8875504,0.25215012
53,-0.06332873,2.1965997,-0.26397905,0.38026497,2.1707196,-0.12149046,0.71446854,0.36632472,4.139249,0.31672356
54,2.7717142,-0.5726524,-0.12208563,0.43485776,-0.52733064,-0.19039734,0.8116407,0.41197282,4.5494227,0.2626427
55,2.101231,0.05963051,-0.83670485,0.27122015,0.021200558,0.61467224,0.7846266,0.36657238,4.2938886,0.27511537
56,0.21320586,1.8976957,1.2658279,0.3519565,1.9161124,-1.5241725,0.74342924,0.47512892,4.3615108,0.28603512
57,0.4297389,1.6547834,1.8336847,0.27755913,1.5446045,-2.1333823,0.545083,0.40161267,4.794479,0.25912675
58,0.9291047,1.0411686,0.2284469,0.40797535,1.0529398,-0.42353672,0.72780824,0.43535265,4.914811,0.26846784
