,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.6143116,0.07388047,0.09430868,0.09317089,0.027202196419239044,7.1958866,0.46699676
1,2.1670887,0.039135914,0.04340719,1.1248804,0.05,3.774596,0.2874436
2,2.2138784,0.09160212,-0.08883798,0.9471369,0.05,3.8117056,0.3444543
3,1.9854811,0.040164817,-0.0334494,0.6190928,0.02776152454316616,4.2704325,0.36882478
4,2.0578,0.041948665,0.09754629,0.99412674,0.039755694568157196,4.1439066,0.33194554
5,2.1958404,0.035896834,-0.011012415,1.1239219,0.0598096065223217,3.8861873,0.3949119
6,2.1612096,-0.0065782242,-0.0013056048,0.98587424,0.04763861745595932,4.4013886,0.342759
7,2.1308167,0.013613429,0.003093374,0.9340956,0.04471389949321747,4.05595,0.37901002
8,2.1222317,0.037228715,0.017123751,0.96930695,0.028836814686655998,4.1871133,0.32842746
9,2.3054008,-0.0011250491,-0.044950206,1.1638757,0.016343044117093086,3.9507284,0.3162949
10,1.9939044,0.045150287,-0.042387042,0.58090705,0.07419103384017944,4.027922,0.486687
11,1.9437112,0.06169945,0.075279936,0.5790377,0.07450289279222488,3.6945918,0.5185613
12,1.9133726,0.043376893,0.013848467,0.59849393,0.10082220286130905,4.450087,0.46451885
13,2.129943,0.039116453,0.003084425,0.9455154,0.051956746727228165,3.9782465,0.33352843
14,2.2126987,-0.023968728,-0.019924043,0.8706239,0.1154889389872551,4.0181313,0.46407405
15,2.0772688,0.05361003,0.0085844565,0.91438365,0.027683481574058533,4.2090063,0.31211257
16,2.1189764,0.02587853,-0.020056797,0.94509023,0.05,4.6524067,0.25978553
17,2.0542696,0.0603708,-0.04996991,0.79499304,0.05038662254810333,3.8399925,0.44271746
18,1.9302866,0.07653593,0.05951507,0.58759123,0.0394468754529953,3.9007452,0.48063943
19,2.305159,0.015955307,-0.014882363,1.1698968,0.05,4.1101227,0.29526237
20,2.0948412,0.035598654,0.105695955,1.0393794,0.05,4.436836,0.24900992
21,2.3830392,0.018404387,0.011432539,1.1346763,0.06579814851284027,3.4452455,0.45203492
22,2.4466403,-0.064031996,-0.026854677,1.1540176,0.07140558212995529,3.0876043,0.52553654
23,2.1570425,0.056633107,-0.014376813,1.0251961,0.07755958288908005,4.256373,0.35355198
24,2.1720445,0.07597988,-0.011130961,1.0511192,0.05,4.0555162,0.294949
25,2.3223915,-0.034958906,-0.05783668,1.1848154,0.03747599199414253,3.9222662,0.33702236
26,2.108732,0.09545843,0.027541777,0.9840846,0.05866679921746254,4.222126,0.3757944
27,1.9399518,0.052613083,0.07683555,0.6345362,0.06027865782380104,3.2943058,0.4951891
