,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,1.2828491,1.0957501,0.01724187,0.088372946,0.8717316,1.2294961,0.05,3.815242,0.39476246
1,0.87537336,1.2896767,-0.15820484,0.29526317,1.242199,1.0503044,0.040033482015132904,4.1429815,0.40078562
2,0.7361588,1.1695238,-0.058059834,0.3243276,1.403869,0.7803611,0.05491766706109047,3.0847752,0.62821805
3,2.0743337,-0.089797966,-0.110674374,0.25276262,0.14952299,0.7398569,0.03481180965900421,3.0971265,0.6122824
4,3.318183,-0.85906386,-0.13472676,0.23387982,-1.0912579,1.1256518,0.04653181880712509,2.8626838,0.5896133
5,1.080952,1.2175225,-0.3054521,0.4302749,1.4033499,1.2232659,0.036078616976737976,3.3046842,0.52164054
6,1.5573345,0.71075356,-0.066744424,0.10865811,0.69917506,1.1457145,0.04298033565282822,4.829448,0.33536047
7,1.7364334,0.32108304,-0.2854361,0.50432724,0.6043776,0.93250954,0.05,3.464619,0.409462
8,0.5195988,1.7137337,-0.12707417,0.25534162,1.6743491,1.1821107,0.06913260370492935,4.2707033,0.4012473
9,2.4980795,-0.5307309,-0.12255931,0.29347676,-0.41014215,0.9233731,0.050879981368780136,3.9494107,0.4161968
10,2.1225107,0.072066106,-0.10765001,0.25355467,-0.0044926237,1.0349137,0.00399029953405261,4.322305,0.36258972
11,3.9326742,-1.778555,-0.13235171,0.36035988,-1.7548254,1.1414781,0.05,4.9206533,0.3153166
12,1.7926267,0.40959537,-0.11014955,0.28593636,0.5370501,1.1340898,0.04666997864842415,3.8094742,0.4245947
13,1.8173774,0.22518869,-0.14159106,0.3116092,0.46656755,1.0291717,0.05,3.8077183,0.4232815
14,1.9741149,0.14839108,-0.1214966,0.33816487,0.28235036,1.1200893,0.03938129544258118,3.956411,0.37593353
15,1.395852,0.8312779,-0.15382841,0.3742743,0.9063243,1.1757196,0.06343962997198105,4.2078924,0.366368
16,0.76030165,1.4527414,-0.034617033,0.23868999,1.3697666,1.0697057,0.06405036151409149,3.7122457,0.48302037
17,2.1427746,0.1726261,-0.18803293,0.25989613,0.19046836,1.2118632,0.05759720876812935,4.0243807,0.37517768
18,0.78661424,1.2741518,-0.06689522,0.29230756,1.1607888,0.7873207,0.0788198709487915,3.633051,0.5535982
19,1.574563,0.65029854,-0.22041504,0.34325728,0.6181705,1.1078825,0.01696103624999523,3.7778087,0.3410463
20,3.3932981,-1.1179991,-0.16330019,0.2642884,-1.2117774,1.1568973,0.05,4.4390817,0.28505072
21,0.8425158,1.5020151,-0.22402889,0.35987616,1.2496506,0.71217644,0.03242701664566994,2.6482234,0.7138089
22,0.8584359,1.1743075,-0.13537621,0.47596925,1.3739333,1.1368948,0.052269358187913895,3.8060794,0.40003014
23,-0.32351503,2.5629153,-0.19308032,0.35554078,2.704804,1.149165,0.04826343059539795,3.771087,0.44855693
24,1.3210219,0.9612158,-0.31639394,0.47782937,1.0375624,1.1918889,0.05,4.835408,0.26421332
25,-0.20387521,2.689098,-0.20849091,0.2946004,2.3342147,0.5550509,0.05,2.6377923,0.61666715
26,0.6985359,1.4991413,-0.27829045,0.43630508,1.6522291,1.0750713,0.05,4.3880954,0.3300204
