,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.47707772,0.8117718696594238,5.590902805328369,0.70910496,2.3580692,0.9852241,0.926895,1.0070963
1,0.8119313,0.8322897553443909,3.897515058517456,0.7068617,3.134411,1.0263208,0.8245786,0.933117
2,0.65126604,0.8108248114585876,4.333981990814209,0.8055041,2.783033,0.8946505,1.0558267,0.9647353
3,0.6756804,0.7932668924331665,4.525323867797852,0.7334632,2.631461,1.0413427,1.141153,0.9991996
4,0.61602193,0.8170397281646729,7.092231273651123,0.5174977,2.4724088,1.0180217,0.920495,0.9395346
5,0.7703265,0.8077445030212402,3.1244866847991943,0.99012905,3.3801134,0.8813705,0.96906304,0.87222695
6,0.65417075,0.8282874822616577,4.3038129806518555,0.6738504,2.9505062,1.0605475,1.1077888,0.96795774
7,0.73879915,0.8280631303787231,3.599348545074463,0.64345396,3.059949,1.067622,1.0653055,0.91625804
8,0.6950491,0.8151425123214722,5.472679615020752,0.53901726,2.7850766,0.9087174,1.0257342,1.0820376
9,0.59736645,0.8563074469566345,4.888679504394531,0.7921102,2.613747,0.9942889,0.80616844,0.91796404
10,0.67126524,0.8254517316818237,4.029201507568359,0.8213476,2.8364046,1.0813218,0.90572196,1.0857892
11,0.92755467,0.5959648489952087,3.3640387058258057,0.066763304,3.2523484,1.1358744,1.1027946,1.0838456
12,0.58599895,0.8138850331306458,4.234785079956055,0.7772282,2.8350234,0.95364344,1.1103208,0.9200276
13,0.65076804,0.8034119009971619,5.196260929107666,0.59221864,2.5955458,1.1033679,1.0908009,1.141444
14,0.80989766,0.8284430503845215,4.21059513092041,0.86870295,3.0111637,1.0362678,0.94988847,0.9559431
15,0.70697665,0.8023384213447571,2.680809259414673,0.9175516,3.3186538,1.0022757,1.0029105,1.0436203
16,0.7032624,0.8077870607376099,7.316980838775635,0.2017974,2.5975187,1.0077436,1.030819,1.2151428
17,0.90276784,0.7892487049102783,3.705747127532959,0.5284992,3.392182,0.9913,1.0243934,0.9169014
18,0.6980717,0.8061187863349915,4.342278480529785,0.71336055,2.7386656,1.0381752,0.95162386,1.1194559
19,0.711538,0.8160480856895447,4.643168926239014,0.6203128,2.9312296,0.89534914,1.0679023,0.88660854
20,0.6365612,0.7980775833129883,3.3502824306488037,0.8082888,2.7935402,1.112749,1.0654657,1.1885127
21,0.78065217,0.8268661499023438,6.132321834564209,0.4319442,3.103775,0.8997367,0.8457312,0.98010373
22,0.63956386,0.8091062307357788,4.602531909942627,0.63920295,2.7595124,0.8529673,1.0001463,0.935143
23,0.6793305,0.802926242351532,4.200577735900879,0.7180197,2.5958652,0.9668973,1.1805148,1.1307824
24,0.83433723,0.8268671631813049,4.288763046264648,0.89794934,3.315711,0.9038944,0.93802065,0.9660562
25,0.81030494,0.8269578814506531,5.89621114730835,0.5489969,2.6542614,0.9681721,1.0909758,1.0862347
26,0.6679016,0.8354765176773071,3.539970874786377,0.65702415,3.1671772,0.82953066,1.0877526,0.90659714
27,0.74872315,0.8230130076408386,3.80370831489563,0.79029536,3.1736867,1.0721662,0.9933117,1.0053967
28,0.6330796,0.8408113121986389,5.97041654586792,0.4643487,2.9829373,0.81945634,0.9912282,0.83835936
29,0.68776953,0.8200243711471558,5.11855411529541,0.7341654,2.759534,0.97408783,0.967177,1.0151926
30,0.5271219,0.8175464868545532,4.992542266845703,0.73330176,2.7598786,1.0452851,0.9591989,1.0364351
31,0.6699358,0.8195483088493347,6.5488152503967285,0.3495052,2.5672147,1.0157815,0.9503682,0.8939881
32,0.7823638,0.8328704833984375,5.044673919677734,0.4480497,3.0588434,1.1014284,0.9355144,0.92392796
33,0.59885156,0.8092692494392395,5.434149742126465,0.64475846,2.6814194,1.1043848,0.9635383,0.9535463
34,0.74553424,0.8207911252975464,5.9322123527526855,0.56347644,2.634458,0.9975674,1.1083488,0.94436496
35,0.61914265,0.813490629196167,4.919922351837158,0.740988,2.7667272,1.052421,1.0292974,1.0294664
36,0.57481164,0.8171800374984741,5.133998394012451,0.7484832,2.5501447,0.8422155,0.9553507,0.99872863
37,0.7916398,0.8193475604057312,6.15622091293335,0.38650072,2.923208,0.9660187,0.89816177,1.1250534
38,0.69213307,0.7994666695594788,5.3002777099609375,0.43653885,2.804712,0.96457905,1.0062546,1.051065
39,0.6921984,0.8096940517425537,4.564305782318115,0.7015709,2.4859874,1.1465876,1.1139662,0.92664444
40,0.7745807,0.7988919019699097,5.619993209838867,0.3877668,2.9148138,1.1078914,0.8945705,0.9820468
41,0.7183394,0.8039120435714722,5.637189865112305,0.5417836,2.820928,0.9578523,1.1288146,0.9314125
42,0.6539251,0.8194200992584229,5.552565097808838,0.5467116,2.6669393,0.97758317,1.0847878,0.92161375
43,0.7157647,0.8413130044937134,5.1714043617248535,0.74439913,2.755891,1.1207079,0.8956918,0.9455873
44,0.9417597,0.6087777018547058,4.076918125152588,0.05400504,3.389805,1.0429108,0.9931119,1.0280261
45,0.70067614,0.801455557346344,6.194387912750244,0.33844912,2.789468,0.88163143,0.93473566,1.1003805
46,0.604778,0.8147909045219421,3.7160282135009766,0.9912743,2.6371083,0.9846,1.0617601,0.8786223
47,0.5775688,0.840374767780304,4.36501932144165,0.77562726,2.5711398,0.9832455,0.9933648,0.9976397
48,0.7009899,0.7996232509613037,4.159176349639893,0.8920898,2.7344043,1.0679983,0.98272306,1.0201944
49,0.5873422,0.7980755567550659,4.055496692657471,0.96077436,2.719131,0.97562146,1.0091532,0.98600715
50,0.59882694,0.7941352128982544,4.397087574005127,0.8291019,2.404862,0.97696406,1.0756531,0.87405986
51,0.73569024,0.8261678218841553,3.5967392921447754,0.8978302,3.0888453,1.1127268,1.037028,0.93312293
52,0.6271937,0.8017929196357727,4.880934238433838,0.754988,2.5017486,1.1236356,1.0602388,0.87804407
53,0.67832774,0.8039267063140869,6.1071577072143555,0.40484828,2.5630887,1.0285864,1.0408803,1.1083714
54,0.595073,0.8337705731391907,4.327800273895264,0.6208509,3.0084162,0.90407526,1.0160058,0.84440154
55,0.7891941,0.7815085053443909,6.965743541717529,0.30614626,2.73671,0.9371773,1.1261581,0.93944913
56,0.6248183,0.8100926280021667,5.02683687210083,0.8502536,2.483623,0.99847025,1.0539538,0.96154773
57,0.69578123,0.7962721586227417,4.8204803466796875,0.65704757,2.723139,1.0302655,0.99872714,1.1255494
58,0.5622392,0.8210437893867493,2.6560583114624023,0.97385466,3.1809597,1.07963,0.99570674,1.0659853
