,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
0,-0.43532372,0.6336179,2.3791125,0.115128525,-0.08880439
1,0.011156463,0.796487,2.1671274,0.081336506,-0.13426317
2,-0.21965186,0.7907683,2.2888541,0.13304102,-0.12249786
3,0.6061958,0.73637205,2.4961364,0.112985685,-0.21127607
4,-0.22586598,0.79043084,2.2207942,0.07725356,-0.14396772
5,0.5590251,0.6360572,2.3063512,0.104578614,-0.1629117
6,-0.2529334,0.55098486,2.176748,0.15126128,-0.17314352
7,-0.3170271,0.7845453,2.342048,0.1996176,-0.116287984
8,0.07042507,0.622462,2.5258634,0.10999895,-0.20554681
9,-0.040199544,0.8208307,2.1494374,0.1084345,-0.15980443
10,-0.09387972,0.70389426,2.4593112,0.08700172,-0.1802881
11,0.50376445,0.6737547,2.336168,0.12127767,-0.14954211
12,-0.19565484,0.8386398,2.4606225,0.08767341,-0.15261932
13,-0.03692393,0.78379846,2.2419324,0.08515924,-0.1250228
14,-0.38945508,0.62705785,2.2009113,0.07364106,-0.20224889
15,0.7927592,0.6018225,2.3314989,0.18906932,-0.13800885
16,-0.27569026,0.7364012,2.2294228,0.079484366,-0.13465005
17,-0.7367063,0.6590073,2.218826,0.13609776,-0.17002118
18,0.77716535,0.6141377,2.312679,0.14616759,-0.11843227
19,-0.028232543,0.8643693,2.3344612,0.082255624,-0.07317001
20,0.40298268,0.73172724,2.3167622,0.09030454,-0.12677114
21,-0.8286087,0.44514975,2.3737226,0.09483838,-0.1230762
22,0.6411505,0.7013108,2.2918377,0.12639426,-0.07090655
23,0.36422864,0.7853042,2.3736207,0.090303384,-0.112878874
24,-0.5561072,0.6110549,2.2257059,0.09035207,-0.16351159
25,0.5455815,0.7550325,2.1305344,0.13048297,-0.16858926
26,-0.16872238,0.63248086,2.061552,0.092752285,-0.17336373
27,0.37469658,0.7790065,2.6767423,0.11020438,-0.15008688
28,-0.47124824,0.7637893,2.2844944,0.13315383,-0.2097378
29,-0.088666126,0.7236687,2.5564663,0.049811337,-0.19596167
30,0.7831944,0.65372866,2.4307768,0.119702354,-0.20667396
31,-0.78276265,0.45482782,2.275435,0.07809616,-0.14687721
32,-0.41737258,0.71726686,2.1912029,0.15388817,-0.18290281
33,-0.7987929,0.50361013,2.3997467,0.10001642,-0.16883953
34,-0.62404877,0.63169146,2.1652486,0.103270024,-0.0845595
35,-0.303684,0.75638866,2.2454793,0.11643531,-0.109919325
36,-0.39642403,0.68067473,2.458918,0.120253384,-0.16466029
37,0.8449876,0.48375398,2.6613631,0.11988178,-0.22243796
38,-0.17990252,0.7947169,2.292858,0.10100028,-0.17163016
39,-0.17492649,0.6860419,2.1301284,0.11049827,-0.1682875
40,-0.39467174,0.8546652,2.1782875,0.15137586,-0.12901576
41,-0.221276,0.6518142,2.1779475,0.10053189,-0.12471971
42,0.7999592,0.5504199,2.5492256,0.08566276,-0.10033652
43,-0.06967295,0.69580513,2.2311578,0.13045351,-0.23249105
44,0.023384111,0.75225693,2.3528585,0.16724077,-0.16936341
45,0.23665577,0.6445332,2.2008767,0.11853918,-0.076576136
46,-0.3269062,0.47114325,2.221582,0.16508432,-0.16730574
47,-0.17414767,0.6759955,2.1377292,0.121151306,-0.14475086
48,-0.51896083,0.6721837,2.4470172,0.057933044,-0.25065312
49,0.71910495,0.64242774,2.2684808,0.12072004,-0.21185881
50,0.58628607,0.7624011,2.2563574,0.20539398,-0.14107525
51,-0.1313453,0.6891649,2.1321583,0.16371265,-0.16158347
52,-0.11953491,0.8965119,2.2330966,0.15323092,-0.10170395
53,0.3109703,0.775823,2.22814,0.0818311,-0.16457558
54,-0.34598216,0.7308816,2.2481084,0.12603664,-0.17640024
55,0.44226006,0.83703786,2.2284462,0.1552041,-0.14167365
56,0.44113854,0.66089296,2.2971303,0.058506936,-0.09781972
57,-0.19937122,0.8859977,2.0834124,0.08663389,-0.16280642
58,0.07966894,0.81671566,2.169344,0.14622757,-0.1385876
59,0.17463298,0.78598505,2.235823,0.12905906,-0.09778561
60,-0.3899901,0.6332109,2.166933,0.15434523,-0.2541714
61,0.29972872,0.8007074,2.432057,0.07855653,-0.16474825
62,0.088639975,0.68537194,2.3171012,0.026897546,-0.15580955
63,-0.30442178,0.7720994,2.1875348,0.17976514,-0.17238964
64,-0.08801111,0.75329435,2.3223345,0.19401906,-0.13943598
65,0.6863231,0.57294077,2.2828643,0.16968325,-0.1808584
66,-0.60677093,0.7547612,2.33121,0.09581964,-0.1624941
67,-0.61218,0.5564947,2.101931,0.17382509,-0.167178
68,0.79485804,0.49312925,2.5776942,0.111734636,-0.1559002
69,0.59408367,0.81007606,2.3093216,0.12600817,-0.123863935
70,-0.14724995,0.72622955,2.1427257,0.15155005,-0.21923855
71,0.35293305,0.66226274,2.5838063,0.106570624,-0.20312555
72,0.079307914,0.81279397,2.0587857,0.009032114,-0.14175278
73,-0.77358,0.46377087,2.1590047,0.05187876,-0.18369932
74,-0.68381333,0.46228498,2.0670416,0.112654634,-0.16816579
75,0.44198763,0.795906,2.2264678,0.11771778,-0.1318652
76,-0.44068548,0.7050825,2.3302207,0.19046734,-0.08922277
77,-0.035233296,0.72016495,2.09296,0.115739636,-0.09187454
78,0.63760257,0.83267397,2.3587737,0.1110135,-0.1740263
79,-0.105209954,0.6494122,2.3182185,0.16936542,-0.12920485
80,0.6926329,0.6593906,2.2462711,0.11314328,-0.11682308
81,-0.8268794,0.47167623,2.3509004,0.06386984,-0.18288545
82,0.052878603,0.8968901,2.0895317,0.12285569,-0.15952438
83,0.67736566,0.7190553,2.497419,0.14045402,-0.1590228
84,0.38229215,0.7842368,2.190818,0.04746622,-0.16689254
85,0.49054644,0.8501782,2.2167628,0.2097225,-0.1537581
86,0.12929752,0.8043241,2.4780502,0.12022209,-0.2069461
87,0.51092255,0.6225477,2.293909,0.086594254,-0.17642367
88,0.7395968,0.7195986,2.1674035,0.10198686,-0.16790394
89,0.014388545,0.76295286,2.2929134,0.107748844,-0.13991633
90,0.60954326,0.63490474,2.2581773,0.118137754,-0.19041044
91,0.25756237,0.6895327,2.3276856,0.12942684,-0.17435141
92,0.6540416,0.58681273,2.4441233,0.2325887,-0.18674462
93,0.3002925,0.65116936,2.240331,0.12386806,-0.12585172
94,-0.06602517,0.81120145,2.2462404,0.0695484,-0.13274871
95,-0.5022347,0.59130687,2.4225004,0.10939014,-0.1363471
96,-0.26234457,0.7280573,2.2022378,0.035116732,-0.16120596
97,0.49359256,0.6500677,2.4569857,0.2163969,-0.1901978
98,0.3344521,0.76438105,2.2593834,0.036032382,-0.1329539
99,-0.4469786,0.7415315,2.2109852,0.1875551,-0.13319671
100,0.02621775,0.7651007,2.230648,0.102326,-0.11503087
101,-0.37759292,0.72618294,2.3475864,0.13484101,-0.15612254
102,-0.5457906,0.6729714,2.1921546,0.14157237,-0.20112297
103,-0.31760117,0.6727193,2.2207794,0.20807634,-0.19721626
104,-0.788965,0.48727477,2.429544,0.14274913,-0.14089932
105,0.459342,0.86979187,2.304415,0.14496161,-0.13252345
106,-0.45934033,0.765141,2.1839857,0.09401354,-0.14786837
107,0.5532242,0.7446212,2.3946707,0.17658582,-0.13164297
108,0.7490905,0.7489461,2.2849934,0.07649702,-0.1748054
109,-0.69886166,0.46222502,2.131466,0.08980451,-0.18148106
110,-0.16280918,0.75950086,2.2623317,0.19072741,-0.18693069
111,-0.114565164,0.67818034,2.1722555,0.077035144,-0.112228416
112,0.6055433,0.6984618,2.4440718,0.1466634,-0.16215761
113,0.46311343,0.8086426,2.2301164,0.14921166,-0.14394797
114,0.7877931,0.5318891,2.4117184,0.07800389,-0.11920345
115,0.029713092,0.67291623,2.448609,0.111299425,-0.2309967
116,0.19595781,0.704643,2.2839046,0.09451268,-0.12090994
117,-0.71036446,0.6337592,2.2525756,0.17856483,-0.25781655
118,-0.29052216,0.6820922,2.2164087,0.10839248,-0.15959013
119,-0.10694145,0.7134531,1.9875675,0.19288583,-0.20874028
120,-0.5546893,0.64516985,2.1206071,0.05572193,-0.13426729
121,0.53254396,0.78062505,2.3641586,0.13876878,-0.18723868
122,0.14137432,0.93207127,2.2906542,0.15635091,-0.1465218
123,-0.7847033,0.5050584,2.1995614,0.16778404,-0.20634966
124,-0.39829367,0.80846393,2.1947293,0.09469553,-0.14606893
125,-0.039484996,0.61123884,2.1903696,0.1276936,-0.08249971
126,-0.8126183,0.55088377,2.3763468,0.071083866,-0.124965966
127,0.16054782,0.82369566,2.2238746,0.13594404,-0.13943307
128,-0.009111056,0.6666078,2.2165804,0.12636574,-0.1927045
129,-0.2237863,0.7193139,2.3462756,0.078047335,-0.19091839
130,0.8444146,0.43125746,2.7740536,0.0661989,-0.17218667
131,0.7857149,0.6544036,2.1540315,0.13141015,-0.117534235
132,0.29022107,0.7779689,2.222207,0.08950345,-0.19042496
133,-0.49546197,0.66715914,2.43905,0.12673916,-0.18032305
134,0.5376666,0.74045336,2.3820717,0.19613484,-0.15653664
135,0.62845623,0.79498506,2.1162498,0.10568592,-0.12483263
136,-0.1303665,0.74407333,2.081921,0.060429476,-0.19586763
137,0.17529403,0.904227,2.2881386,0.13807623,-0.11367268
138,0.10130621,0.81587064,2.1540504,0.15476234,-0.15526268
139,0.15050744,0.784007,2.1484737,0.08180071,-0.14816819
140,0.32500866,0.77983403,2.246683,0.13291839,-0.28443122
141,-0.22092877,0.82779735,2.2654924,0.0954809,-0.13614424
142,-0.4797668,0.65203094,2.170372,0.18202513,-0.22016372
143,-0.07770947,0.6933539,2.3102708,0.1149922,-0.15979676
144,0.017373115,0.7367049,2.0048213,0.10780679,-0.09837167
145,0.27067474,0.82253456,2.2442029,0.15746556,-0.12711263
146,0.49275815,0.8146424,2.1945436,0.09706468,-0.122890115
147,-0.7333992,0.5365338,2.2263012,0.15778193,-0.1369653
148,0.40457678,0.7235913,2.1972837,0.13548633,-0.12699996
149,-0.7272237,0.5241407,2.2274427,0.084887095,-0.10490719
150,0.009249088,0.75323313,2.1243834,0.13755871,-0.11816786
151,0.6356298,0.6604209,2.1583042,0.12998949,-0.19515868
152,-0.77460086,0.55648893,2.2165964,0.192083,-0.15229492
153,-0.8392232,0.46124804,2.215031,0.1451675,-0.22850849
154,0.6879033,0.6339097,2.4832296,0.10122498,-0.087170936
155,0.6239151,0.7764055,2.328127,0.083552465,-0.15796721
156,-0.07442575,0.89714986,2.3845067,0.071277566,-0.18476875
157,0.00041618838,0.7814817,2.1563487,0.0790385,-0.17985334
158,-0.7689319,0.40125978,2.1929088,0.093511425,-0.08707669
159,-0.8494482,0.4629403,2.1780436,0.10086768,-0.14437881
160,-0.70815545,0.6509662,2.277575,0.1580177,-0.26788792
161,0.41643158,0.7176435,2.2852473,0.14260113,-0.11823709
162,0.45426548,0.7114065,2.278264,0.057237007,-0.08231764
163,0.32044312,0.75668496,2.2416523,0.10706197,-0.15188044
164,-0.21767423,0.77433896,2.225995,0.100518204,-0.22042064
165,0.24047942,0.911297,2.194245,0.06516501,-0.13690737
166,-0.6562536,0.5777633,2.2049344,0.13103369,-0.09564116
167,0.77271545,0.5865323,2.4318216,0.13991585,-0.15582323
168,0.7179689,0.6784484,2.390357,0.07398203,-0.22395
169,-0.3261445,0.82512194,2.2702203,0.13064402,-0.11451375
170,-0.5971835,0.5411544,2.145002,0.1922713,-0.13754742
171,0.004525344,0.7624427,2.1391635,0.108929425,-0.1822027
172,-0.040963985,0.6817713,2.3077486,0.1551859,-0.12761028
173,0.53874487,0.7859987,2.2973282,0.06855022,-0.15418197
174,-0.37940982,0.72702926,2.022028,0.1620231,-0.15991032
175,0.33482888,0.84016323,2.1557505,0.15380898,-0.14469272
176,-0.47591904,0.6941655,2.1612782,0.116584666,-0.16438746
177,0.6165418,0.8891256,2.2284033,0.14146976,-0.1668106
178,0.28749368,0.677624,2.3984766,0.123851426,-0.097633764
179,-0.5417547,0.66055065,2.2686489,0.13357101,-0.18347117
180,0.800149,0.5598241,2.2353067,0.11444638,-0.12844516
181,-0.56296325,0.60503507,2.1683667,0.10150276,-0.105579525
182,-0.6688501,0.5029291,2.2086859,0.11180877,-0.14359447
183,0.7002997,0.58708686,2.3860788,0.10972745,-0.14962631
184,0.7159355,0.6488692,2.3417838,0.14128132,-0.1789343
185,0.44106212,0.71436995,2.229083,0.09665592,-0.12403654
186,-0.21598619,0.7730211,2.0329432,0.14027333,-0.12768558
187,-0.0092263715,0.68386966,2.1718323,0.09452791,-0.09877329
188,-0.22728017,0.7502116,2.157229,0.118994005,-0.22378676
189,-0.23489411,0.7727362,2.2453208,0.15160523,-0.20211679
190,0.66607714,0.82474864,2.308047,0.0878928,-0.14455383
191,0.44814914,0.76835936,2.2869446,0.1919835,-0.17612013
192,0.30078912,0.73946816,2.240255,0.17416634,-0.19322388
193,-0.16152877,0.7913389,2.169351,0.06623839,-0.14521778
194,0.23517542,0.8040566,2.1740792,0.07097542,-0.18999802
195,0.013198179,0.71374923,2.2717276,0.12359951,-0.18184032
196,-0.41447863,0.6809738,2.1703246,0.09518995,-0.120070465
197,0.23058413,0.84550947,2.3905032,0.13902642,-0.16765156
198,-0.50452673,0.5738881,2.159309,0.15288064,-0.21241386
199,-0.031240743,0.67027915,2.23846,0.14082141,-0.18545428
200,-0.00062191737,0.76365685,2.2546463,0.082335845,-0.17449833
201,0.81366926,0.6680309,2.3222644,0.0483752,-0.09086135
202,0.18352689,0.6399648,2.4374623,0.13407479,-0.121762596
203,0.16907646,0.69836444,2.2818236,0.15936306,-0.13018122
204,0.03970763,0.577607,2.270274,0.08653502,-0.17976898
205,0.8184337,0.6939385,2.360155,0.17452843,-0.21374156
206,-0.6869319,0.5707775,2.2254183,0.13775219,-0.1915079
207,0.07709569,0.87619007,2.215383,0.1056263,-0.12632012
208,-0.15400386,0.81110185,2.215966,0.12223562,-0.17729327
