,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.1655387,0.89305925,2.2174678,0.0131551875,-0.22516607,0.41980338
1,0.22649926,0.7893622,2.3805943,-0.014575105,-0.2696969,0.43359455
2,-0.2350502,0.69066983,1.978196,0.055691127,-0.25688615,0.45369485
3,-0.13183385,0.7305475,2.2088203,0.08360577,-0.23942193,0.4095289
4,0.42233956,0.64497143,2.5252547,-0.005622483,-0.29532573,0.38011867
5,0.12513533,0.60524863,2.023682,0.008020522,-0.27027908,0.42123207
6,-0.43806174,0.7294893,2.2685587,0.013917616,-0.30943447,0.33686382
7,0.5360917,0.7883294,2.1393235,0.0569964,-0.2842106,0.4518045
8,-0.1810608,0.8425504,2.162041,0.04476144,-0.28376308,0.41422924
9,0.4011241,0.8087099,2.155684,0.05127389,-0.19527371,0.3723574
10,0.07528127,0.8414927,2.3299718,0.0014325145,-0.31806952,0.29617888
11,0.16502978,0.75231534,2.178413,0.0548463,-0.1841133,0.41279793
12,-0.8253885,0.48031995,2.1208951,0.08563266,-0.3201208,0.47223967
13,0.82529765,0.7172181,2.2475781,-0.012236391,-0.31095073,0.37770468
14,0.7027238,0.8354152,2.072987,0.06721041,-0.19603847,0.49715903
15,-0.018306626,0.6679885,2.3846838,0.04764709,-0.3203149,0.32222283
16,-0.5675493,0.5445816,1.9530995,-0.03402404,-0.21603628,0.5384365
17,0.42001644,0.6248543,2.3477614,0.010102395,-0.18006967,0.49138746
18,0.29958946,0.77818775,2.4485064,0.10042306,-0.24045837,0.45741847
19,0.721421,0.766358,2.3955882,0.06164111,-0.20479417,0.5092697
20,-0.18698506,0.87834543,2.1125839,0.047399744,-0.23872492,0.39395842
21,0.34569183,0.65334684,2.492643,0.039140686,-0.15880013,0.38791424
22,-0.39894196,0.6533584,2.2980392,0.033499584,-0.35409087,0.41717565
23,-0.44913068,0.82315916,2.1752167,0.0008490184,-0.23969996,0.46608743
24,-0.5283749,0.73551697,2.4039407,-0.040905874,-0.32302704,0.45880592
25,-0.6539582,0.67831135,2.1762698,0.08712377,-0.2845709,0.36795825
26,0.53971523,0.83270276,2.3554661,0.0012712734,-0.23217227,0.36287463
27,0.75023466,0.675597,2.6534615,0.1176489,-0.23774986,0.44899052
28,0.5639769,0.6708728,2.3520226,0.021000743,-0.26427025,0.394898
29,0.32018024,0.8301349,2.4338548,-0.005675027,-0.32996872,0.4702839
30,0.21961853,0.84742653,2.3318942,-0.013133481,-0.21246268,0.32010174
31,-0.689699,0.693771,2.347853,0.031327248,-0.35532564,0.3473369
32,0.38021708,0.7817054,2.4369698,0.051255297,-0.32196617,0.33423227
33,-0.3207104,0.73489165,2.3013024,0.11889723,-0.255944,0.44738197
34,0.00067489507,0.86628944,2.16902,0.050881013,-0.2469014,0.35206327
35,0.6321813,0.70067465,2.130853,0.017593402,-0.23850319,0.3599227
36,-0.3342361,0.6840482,2.2070951,-0.0010426263,-0.329503,0.40620205
37,-0.20794226,0.66529906,2.215752,0.006984619,-0.2817104,0.41831294
38,-0.6241147,0.64770633,2.2491798,0.0020741995,-0.33502126,0.4279501
39,-0.56166255,0.66761035,2.0719008,0.08306186,-0.23239957,0.3942736
40,-0.30198172,0.88785684,2.1809087,0.03660237,-0.2210989,0.4083823
41,0.28352308,0.84920996,2.432127,-0.027361304,-0.2639609,0.36727506
42,-0.72121423,0.5844276,2.2211185,0.074014455,-0.17768098,0.46608886
43,-0.15433939,0.6847558,2.2979403,0.015980212,-0.3728238,0.35473552
44,0.2831807,0.8339243,2.183086,0.05490612,-0.24193513,0.35669664
45,-0.4174631,0.6148882,2.3735645,0.03757293,-0.23785503,0.40331036
46,0.45736513,0.77991456,2.2503943,0.031330805,-0.26397273,0.4099193
47,0.48657453,0.7486087,2.5049825,0.038548652,-0.18584362,0.3548883
48,-0.4241415,0.8432691,2.166809,0.045765612,-0.22882722,0.4721541
49,-0.079264276,0.8094292,2.3951323,0.038003404,-0.21740721,0.42925242
50,-0.5532591,0.6166673,2.1156702,0.13477911,-0.21957101,0.40383947
51,0.17800206,0.66979414,2.3332293,0.018159157,-0.295986,0.5287348
