,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
0,-0.10728563,0.72116226,2.390589,-0.22154036,-0.12346799,0.41145548,-0.15153293
1,-0.2990857,0.73430115,0.070350744,1.9788849,-0.20073096,0.47507867,2.0332255
2,-0.61112356,0.6802393,1.2351158,1.0932043,-0.38012937,0.38410047,1.1947443
3,0.7840004,0.6129996,0.7584828,1.622543,-0.16858098,0.45149058,1.6644626
4,0.077102765,0.93883014,1.4416769,0.8781163,-0.21934566,0.38802603,0.8848034
5,0.050356876,0.9384412,1.8652782,0.46925145,-0.19723454,0.41001433,0.568237
6,-0.25661895,0.74643743,3.7350738,-1.9906981,-0.17576028,0.43663794,-1.9910475
7,0.58124423,0.82948065,0.4450378,1.8299109,-0.12761478,0.3865947,1.7731586
8,0.18904278,0.88131106,2.0934956,0.27815616,-0.15350024,0.45503202,0.37960336
9,0.4894633,0.7169065,0.7595358,1.4878596,-0.21475911,0.43879303,1.5679687
10,0.21632135,0.874292,1.7493457,0.61695224,-0.14434923,0.4673962,0.6928217
11,0.3183945,0.8644043,1.6941445,0.40257642,-0.13301194,0.27519152,0.42535353
12,0.027491862,1.083865,-0.32748586,2.493577,-0.2100481,0.34802806,2.587123
13,0.5031273,0.9673898,2.6258643,-0.27330172,-0.19724758,0.35855365,-0.24092114
14,0.5544741,0.5599503,3.1449823,-0.88998854,-0.16452178,0.4057998,-0.8289303
15,0.019689614,0.83941275,1.7283937,0.511993,-0.17959444,0.3737162,0.6016552
16,0.77984166,0.64606684,0.54489636,1.8403106,-0.15325853,0.25418216,1.8429471
17,0.40562823,0.77190864,1.5317832,0.8954226,-0.20323826,0.3343109,0.9541776
18,-0.8275722,0.4446674,1.0522671,1.1828992,-0.15602194,0.45898196,1.2777065
19,0.24047321,0.76892906,2.9838638,-0.99611366,-0.15809107,0.35182655,-0.84753233
20,0.5297492,0.69841844,1.3469074,0.87193435,-0.19171149,0.38255838,0.92114913
21,0.45824233,0.756041,2.356302,-0.05281314,-0.20292842,0.43903774,0.044322185
22,-0.67109555,0.6427803,1.5860976,0.6678657,-0.20730911,0.37002358,0.68551624
23,0.84333867,0.60945886,0.19029216,2.2545946,-0.12723488,0.39815927,2.2721443
24,-0.37632543,0.8054326,1.8929226,0.18846552,-0.18616161,0.4503699,0.23636174
25,-0.59827983,0.7662735,2.1591878,-0.1696846,-0.19839151,0.4164721,-0.09035414
26,-0.6093105,0.5849815,3.9677346,-1.9348104,-0.25256526,0.41682455,-1.8357135
27,0.78206307,0.8958109,0.9127306,1.7264903,-0.089872584,0.36431643,1.813008
28,0.43417105,0.77098536,2.1205604,-0.10007773,-0.12767304,0.3536824,-0.098337024
29,-0.32469353,0.7189015,-0.05691103,2.4078932,-0.19280007,0.40927237,2.3568954
30,-0.75402653,0.50200504,1.4414142,0.73091245,-0.19775786,0.37339726,0.7809833
31,0.6976667,0.5583937,0.018991249,2.1745515,-0.17373899,0.32325226,2.1355147
32,0.08064778,0.8060305,0.89106274,1.3481147,-0.148645,0.37968028,1.4103298
33,0.19925432,0.8093241,0.10197723,2.04333,-0.23007226,0.3787339,2.0765579
34,0.77978444,0.7336274,0.5360315,1.8082759,-0.1444725,0.37496388,1.8476248
35,-0.47048062,0.7120882,1.7934825,0.5413962,-0.23357517,0.39908397,0.6428807
36,-0.42254692,0.7912691,0.74792254,1.5969661,-0.31523564,0.27559674,1.6117396
37,-0.22925125,0.7886986,2.0433085,0.25641727,-0.15040316,0.34547836,0.3371327
38,-0.24439672,0.93071485,1.4132818,0.9962443,-0.2240694,0.3627704,1.0255026
39,0.48278132,0.6764706,2.4929543,-0.23889159,-0.17576082,0.4501329,-0.14727597
40,0.65591264,0.67457736,1.61655,0.66784316,-0.2020794,0.40937823,0.66663605
41,0.7946352,0.6342959,1.1556263,1.2399322,-0.16655973,0.3801849,1.3331071
42,0.716635,0.62405455,0.889531,1.7370216,-0.17926733,0.3770487,1.6821828
43,-0.011013374,0.836087,1.0892946,1.1008723,-0.15523008,0.40242177,1.1935793
44,0.61227345,0.8233088,2.7860568,-0.3311379,-0.13128455,0.34355733,-0.2672538
45,0.50596935,0.72708774,1.7272687,0.66056055,-0.1872565,0.31997925,0.75747794
46,0.36220157,0.88248134,2.2998626,-0.14387539,-0.18191278,0.4388674,-0.0859327
47,-0.12248159,0.9098356,0.70001066,1.7587391,-0.18717535,0.372771,1.7542053
48,-0.20902455,0.77276516,2.0081756,0.1654525,-0.13865139,0.36219049,0.19761395
49,-0.82743937,0.4911488,2.5177224,-0.17611519,-0.15688477,0.40589967,-0.13486838
50,-0.077101,0.8770173,1.3598562,0.8820448,-0.20044832,0.3605952,0.99395734
51,0.62364435,0.7631899,1.2958332,0.968057,-0.27549887,0.3957736,1.0667837
52,-0.53798753,0.7288727,1.8733577,0.4795176,-0.13018346,0.45504966,0.55325514
53,-0.55999917,0.6729825,1.4454473,0.89784473,-0.18096703,0.36815616,0.95772636
54,0.6096325,0.8581082,0.5613607,1.7253948,-0.22196741,0.42267826,1.7368246
55,-0.62405807,0.64272213,1.9666693,0.09531533,-0.1726793,0.4126931,0.16007374
56,0.65986544,0.8083004,3.170324,-0.89675856,-0.17107312,0.35224506,-0.82708716
57,0.3057012,0.9172497,1.6707947,0.735706,-0.25441173,0.36736894,0.74849516
58,-0.016839582,0.79307616,0.84464484,1.3686005,-0.25064516,0.42197323,1.3947494
59,0.5159004,0.7708676,1.7610174,0.38434902,-0.24693242,0.45495725,0.4829526
60,0.37377793,0.82866114,1.7133466,0.42651778,-0.1590066,0.39634067,0.5077452
61,0.37139952,0.7976022,2.5953164,-0.51321906,-0.22242391,0.4365943,-0.42392805
62,-0.015623872,0.72271496,1.3499975,0.9475847,-0.2210262,0.35940236,1.0573269
63,0.20175822,0.79245526,-0.65066916,2.453137,-0.24179222,0.1641378,2.5216908
64,-0.21647477,0.770943,1.5290425,0.63937,-0.24140085,0.36271894,0.82340837
65,0.016335526,0.8426013,-0.64794904,2.7065558,-0.12086884,0.35313827,2.8071446
66,0.3668354,0.8704114,2.0890038,0.10965885,-0.17233856,0.43691123,0.20320894
67,-0.6001017,0.7153914,1.6309392,0.8218173,-0.2652505,0.38337418,0.9331514
68,0.12167173,0.9412021,1.4641833,0.8089853,-0.20607316,0.42916822,0.87949586
69,-0.11470775,0.8454616,3.2249155,-1.0805218,-0.15107387,0.39188665,-0.9987332
70,0.6557985,0.6813858,2.3207524,-0.005258964,-0.23927537,0.3708693,0.014735667
71,-0.2804623,0.69732606,2.3588412,-0.21848457,-0.14080879,0.35247192,-0.12864423
72,-0.6876638,0.4952887,1.483148,0.7886075,-0.21877247,0.48406276,0.88257265
73,0.8103393,0.7924372,1.9865282,0.6162878,-0.20969565,0.40098938,0.747922
74,0.4503755,0.7644046,-0.19374497,2.2948115,-0.17078187,0.4399339,2.3804343
75,0.020850213,0.7971232,-0.18197758,2.2233531,-0.20468092,0.38154054,2.3255725
76,-0.1904087,0.8723726,1.2112817,1.1566241,-0.2665256,0.39716142,1.2032924
77,0.24364738,0.8878422,2.3499033,-0.167917,-0.18728468,0.3134165,-0.04904836
78,0.6382822,0.71689284,1.1605245,1.3596433,-0.19916368,0.2770051,1.3992426
79,0.5388722,0.9571484,3.230926,-1.2214215,-0.15252726,0.3092701,-1.0937623
80,0.39882416,0.8139716,3.230157,-0.9566044,-0.17745692,0.32073408,-0.88169044
81,-0.7163107,0.5450337,0.7542053,1.4698002,-0.26081914,0.3346937,1.4805619
82,0.29617053,0.91941196,0.77222,1.508603,-0.1347175,0.38734484,1.5238196
83,0.17952016,0.8967599,1.2465858,0.7217036,-0.21821032,0.45623225,0.82866883
84,-0.4109882,0.7092274,1.9929472,0.35358298,-0.1960567,0.3925537,0.3431481
85,-0.84035164,0.41480184,1.9061664,0.581867,-0.29056042,0.267829,0.5368716
86,0.6393189,0.7766766,2.1162322,0.026975332,-0.19004165,0.44615525,0.10164005
87,-0.64771247,0.59664345,0.33636105,1.973788,-0.16070828,0.37624577,1.9953376
88,-0.2445742,0.7977841,2.943472,-0.73600507,-0.16479461,0.44452837,-0.7275334
89,-0.24795422,0.7706388,1.0739716,1.1470952,-0.1616894,0.41979223,1.2278247
90,-0.44535518,0.79910064,0.912413,1.5309362,-0.14667478,0.4047051,1.5704947
91,0.74778265,0.74422395,0.49449003,1.7533967,-0.19707385,0.4287195,1.7591825
92,0.82448685,0.70723855,0.24082434,2.024857,-0.18301497,0.37866795,2.1301613
93,-0.8386177,0.53135026,4.1540775,-1.9411433,-0.14221549,0.36088097,-1.8603636
94,0.23712067,0.7656161,0.54629683,1.6557626,-0.14561918,0.3096148,1.6130418
95,0.13656163,0.81908655,3.0852265,-1.1324764,-0.1751895,0.39921978,-1.05261
96,-0.071733594,0.83775115,1.9385039,0.27723098,-0.2951523,0.41342285,0.3944733
97,-0.4415188,0.75950444,3.3506892,-1.289074,-0.19253312,0.4042759,-1.1440376
98,-0.048138794,1.0020975,1.8652228,0.3382051,-0.12212233,0.3900821,0.41430578
99,0.49855614,0.9765887,1.4064707,1.2210754,-0.14455551,0.29393846,1.1821854
100,-0.08523333,0.797255,1.4912095,0.7562997,-0.24290907,0.4671027,0.79612815
101,-0.4691635,0.76802355,1.4216646,0.7448426,-0.19192556,0.31607115,0.83950984
102,-0.23880392,0.6729745,1.3626884,0.65319383,-0.26236773,0.34514886,0.68351
103,0.41296288,0.68767786,2.4966717,-0.3349636,-0.1771306,0.30955958,-0.16530992
104,-0.6857515,0.62821513,0.49849147,1.6934918,-0.21382603,0.3718068,1.7579175
105,-0.48861673,0.7273416,-1.1190569,2.9869986,-0.15076545,0.42978144,3.0742393
106,0.1540584,0.7308002,2.724472,-0.8219612,-0.27311528,0.49206045,-0.7395774
107,-0.44433996,0.788801,2.052967,0.31522283,-0.20624813,0.3439246,0.3899199
108,0.019876126,0.8145571,2.1156473,0.06565304,-0.19946653,0.39863828,0.05829438
