,posterior_phi,posterior_sigma,posterior_g1
0,0.42205566,0.6303633,2.2571967
1,-0.19783477,0.6944709,2.1583133
2,0.072549626,0.7208855,2.108156
3,-0.7519033,0.4412118,2.139499
4,0.28948689,0.68825406,2.1748927
5,-0.7799598,0.4492782,2.0850267
6,-0.14469697,0.7089166,2.192813
7,0.49534097,0.6226393,2.2431943
8,0.16373941,0.70308995,2.2695386
9,0.5832348,0.57783383,2.1988757
10,0.124875195,0.71023047,2.1866014
11,-0.15937296,0.67258155,2.1914794
12,0.020858062,0.73570573,2.1693935
13,-0.20222938,0.7028792,2.2272832
14,-0.02559222,0.7235787,2.194441
15,0.27472767,0.7023139,2.2158425
16,0.768369,0.4789222,2.157567
17,0.6133206,0.5639125,2.129974
18,-0.5992373,0.5528355,2.1767685
19,-0.72245747,0.49798778,2.2638283
20,-0.22200783,0.7120679,2.167878
21,-0.06983037,0.7363059,2.1404834
22,-0.5913838,0.55203867,2.187308
23,0.42212173,0.6314116,2.2017004
24,0.6742633,0.5283149,2.2395527
25,-0.033024732,0.7294292,2.1576295
26,-0.4930445,0.59884185,2.165236
27,0.025321586,0.68655103,2.2244668
28,0.45662317,0.61358404,2.164366
29,0.2466814,0.6839931,2.1201825
30,0.3427391,0.6595056,2.1491594
31,0.020942518,0.7026226,2.1221676
32,-0.049349364,0.7565107,2.1446273
33,-0.13261262,0.69276917,2.1568897
34,-0.12915881,0.7362449,2.175399
35,0.30223808,0.69215125,2.2955244
36,-0.017937334,0.7229104,2.2072098
37,-0.28980833,0.6597241,2.1754127
38,-0.54118276,0.59609795,2.1892107
39,0.54182196,0.5991156,2.14717
40,-0.014714067,0.67584264,2.1453793
41,-0.013830637,0.7310833,2.172151
42,-0.54825485,0.578827,2.2610445
43,0.57059526,0.58214474,2.2757547
44,0.31861156,0.64558864,2.2785969
45,-0.055284142,0.71020114,2.259184
46,0.6310855,0.5394733,2.221779
47,-0.67647755,0.5139655,2.1818314
48,-0.36281902,0.64416087,2.1730056
49,-0.05837915,0.71582925,2.2393963
50,-0.55235904,0.57862866,2.1684687
51,-0.092483334,0.68976915,2.1639414
52,0.76710844,0.43933693,2.1455126
53,-0.5348651,0.5880724,2.1064148
54,-0.85,0.3242987,2.211571
55,-0.06519295,0.6974274,2.2210047
56,0.20983583,0.69178003,2.1312873
57,0.35116345,0.638568,2.1693704
58,-0.46833643,0.6343218,2.2244778
59,0.19425848,0.7347979,2.191355
60,0.106024414,0.7310358,2.167117
61,-0.30132502,0.6585195,2.1644933
62,0.20438527,0.7362123,2.1907165
63,0.13833724,0.7309433,2.2215726
64,-0.5620299,0.54283327,2.2239122
65,0.3007628,0.67942816,2.3399663
66,0.008019863,0.7343647,2.2473426
67,0.15982334,0.683849,2.1793237
68,-0.33447152,0.641176,2.1598847
69,-0.44144276,0.6156201,2.2034836
70,-0.16221926,0.688224,2.1625843
71,-0.3507839,0.63577265,2.1441944
72,-0.019503627,0.71414673,2.1391842
73,0.12517092,0.708921,2.197517
74,0.17997524,0.7066603,2.186414
75,-0.08674848,0.71976435,2.2027483
76,-0.6610811,0.53205514,2.1844149
77,-0.006342788,0.6891031,2.220929
78,0.2667757,0.69665784,2.2515035
79,-0.5816771,0.5666244,2.1721678
80,-0.2508492,0.701771,2.1735845
81,0.019509701,0.7206114,2.187339
82,0.37091407,0.6468417,2.1913543
83,-0.3112258,0.6560204,2.1708965
84,0.42425346,0.61901516,2.1351428
85,0.08960673,0.6950845,2.1861672
86,-0.19385156,0.69584113,2.1859243
87,0.42615858,0.658175,2.2775528
88,0.46137068,0.63724726,2.1857297
89,-0.49499303,0.62046176,2.2448208
90,-0.8139354,0.43181244,2.173426
91,-0.15649776,0.69029677,2.2029862
92,0.58113164,0.5516839,2.2424536
93,0.04558523,0.6864502,2.1970732
94,0.53597707,0.6145678,2.1687477
95,0.1518141,0.6552684,2.1249053
96,0.10778689,0.6798584,2.2434688
97,-0.18717362,0.709898,2.1473248
98,0.19634469,0.6974585,2.2030816
99,-0.30362853,0.65265286,2.2030177
100,-0.16640663,0.73198575,2.2609038
101,0.07156332,0.69637674,2.190966
102,-0.33756125,0.6558664,2.1660824
103,0.38188046,0.64945376,2.202627
104,0.1472002,0.7246218,2.1789155
105,0.014438334,0.72292334,2.1832328
106,-0.45589525,0.6148336,2.1555226
107,0.12113043,0.75736755,2.2393186
108,0.66501546,0.5083503,2.220877
109,-0.019468246,0.743061,2.3198001
110,0.2955468,0.65342325,2.2157657
111,0.3037063,0.6839591,2.1737173
112,0.49764434,0.6104312,2.2299795
113,0.80704856,0.4345484,2.2102427
114,-0.31884316,0.6482726,2.1784165
115,-0.0028754277,0.725863,2.2068183
116,-0.8342082,0.40257937,2.2306168
117,-0.030508153,0.71963143,2.1871672
118,-0.69680375,0.52667195,2.1576207
119,-0.4008868,0.64240706,2.2592328
120,0.021498164,0.66731966,2.2250552
121,-0.07781851,0.66395926,2.1729403
122,-0.3469134,0.64299536,2.226636
123,0.7129472,0.5040051,2.1179554
124,0.58841985,0.5549891,2.1419086
125,0.5483286,0.600835,2.1842346
126,0.5352908,0.60535026,2.2458527
127,0.5453475,0.62128544,2.2836473
128,0.40806705,0.64139605,2.210859
129,-0.32113752,0.6406533,2.1251936
130,-0.76221794,0.4685821,2.1667104
131,-0.80716044,0.4156618,2.1993651
132,0.35311955,0.62183905,2.1973667
133,-0.17314231,0.7263731,2.2207994
134,-0.81455606,0.3892812,2.1995015
135,-0.21520837,0.69215727,2.2416828
136,-0.1626293,0.70464814,2.106819
137,0.23636913,0.67931736,2.1427922
138,-0.5396443,0.5754845,2.2133315
139,-0.007568164,0.71631944,2.180112
140,-0.689517,0.52056086,2.1874146
141,-0.6934747,0.52214193,2.2708156
142,-0.8367425,0.4071167,2.1295688
143,0.43628386,0.60818493,2.1973734
144,-0.25025222,0.6905723,2.18799
145,0.5076539,0.61277467,2.201736
146,0.014636457,0.7311186,2.163352
147,0.70232284,0.5183235,2.2995055
148,0.7960633,0.4134892,2.1314373
149,-0.28435847,0.6645202,2.1729317
150,-0.07089052,0.72457516,2.2140248
151,0.050272282,0.6995319,2.238945
152,0.36882082,0.6393358,2.2067618
153,0.019923149,0.7129742,2.138208
154,0.01823155,0.6969727,2.2403333
155,0.19017015,0.73182976,2.2013988
156,-0.16739666,0.706133,2.1974883
157,0.15317415,0.69786024,2.1790643
158,0.1800206,0.6794687,2.1972919
159,-0.7220094,0.47951213,2.2326772
160,-0.6959092,0.51088816,2.2237134
161,-0.099691726,0.7232787,2.1294286
162,-0.13787954,0.70267683,2.1827698
163,-0.01340304,0.7480531,2.1859202
164,0.70524275,0.5193213,2.1145215
165,0.3824614,0.6484223,2.190344
166,-0.34097102,0.6684987,2.2037566
167,0.019593634,0.70382136,2.1894135
168,-0.7551313,0.4705523,2.1850727
169,0.23714395,0.6903552,2.2139158
170,0.038251325,0.7098282,2.242451
171,-0.4464542,0.62930506,2.18445
172,-0.14427239,0.7090879,2.243425
173,0.6883541,0.510563,2.247893
174,0.63007635,0.55081517,2.224264
175,0.17490259,0.7278485,2.1879265
176,0.056854382,0.77234846,2.284454
177,0.3371631,0.64233154,2.2544556
178,-0.7312684,0.5019345,2.2197475
179,-0.17299612,0.70541817,2.1667774
180,-0.0076114894,0.7348467,2.2066128
181,-0.6698535,0.5221945,2.2149124
182,0.7427122,0.4907443,2.1938367
183,-0.32172006,0.66096884,2.208756
184,-0.40418482,0.63637525,2.2455595
185,-0.67124164,0.5422014,2.1647005
186,0.61895436,0.57073706,2.242933
187,0.20476985,0.692854,2.1388223
188,0.61181617,0.55326086,2.1904693
189,0.37935793,0.62853825,2.1327524
