,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
0,-0.37641445,0.5793001,2.016804,0.1162098
1,-0.03949431,0.67746586,2.030171,0.150596
2,0.02073252,0.66541994,1.9882568,0.12950456
3,0.7123178,0.46744817,2.0792222,0.12292964
4,0.1648313,0.6513095,1.982094,0.1911564
5,0.4917882,0.5655213,1.988274,0.2438169
6,-0.6525394,0.48572734,2.111908,0.19002418
7,0.361,0.57835954,1.9928446,0.18548845
8,0.3513574,0.5848223,2.072858,0.1543993
9,0.4050827,0.574126,2.1708195,0.09568009
10,0.095968805,0.6656393,2.0009916,0.15702316
11,-0.4379041,0.6208161,1.9733484,0.1000667
12,0.69259995,0.46128404,2.0033362,0.24895339
13,-0.100917004,0.6415054,1.9815041,0.13863432
14,0.77758884,0.44298312,2.0045445,0.037971526
15,0.011565922,0.67462134,1.9849192,0.13809788
16,0.17234524,0.67108524,2.01757,0.1388205
17,-0.07206961,0.64613336,2.0030265,0.17563249
18,0.37939855,0.5747751,2.0286915,0.16669528
19,0.24455611,0.6559284,2.0104425,0.11566835
20,0.1418916,0.6458774,1.9378372,0.08919712
21,0.48178437,0.5440243,2.0101407,0.20739365
22,-0.809789,0.3432391,2.0624013,0.11342714
23,0.3108427,0.6156676,1.9995074,0.14677574
24,0.6483259,0.524886,2.0804284,0.09112893
25,-0.25806826,0.6244108,2.0065374,0.20959288
26,-0.12589847,0.66638094,2.0379043,0.18302684
27,-0.32450888,0.5897161,2.0463104,0.12018385
28,-0.6757347,0.50360787,1.9765826,0.15389666
29,0.4645636,0.58753085,2.011123,0.1949992
30,0.113661505,0.594086,1.8991557,0.2314192
31,-0.26797158,0.608458,2.0245574,0.082833864
32,-0.2514391,0.58682984,1.9944582,0.22076122
33,0.21175648,0.6304223,1.9388561,0.10205784
34,-0.8028986,0.4024937,2.0841105,0.18823066
35,0.21634305,0.60737455,1.9838601,0.18021195
36,-0.31550083,0.58554757,2.1114748,0.15459952
37,0.13536525,0.6649796,2.1192625,0.15286534
38,0.6095025,0.530752,2.0717611,0.12990884
39,-0.8249871,0.35409808,2.0565488,0.20614818
40,0.5630175,0.5144787,2.241709,0.11465009
41,-0.63609445,0.4897663,2.152822,0.13415268
42,0.5838002,0.52098227,1.9449149,0.1615
43,0.29345596,0.5826886,2.0282805,0.16749102
44,0.6693399,0.49710312,2.0766256,0.08004592
45,-0.06350025,0.63556814,2.1354148,0.08790694
46,0.17308235,0.6614043,1.9696065,0.12620407
47,0.53570306,0.5181517,2.1228073,0.1192513
48,-0.6747543,0.47290733,2.0599754,0.17587927
49,-0.5492723,0.51217395,1.9411559,0.2272591
50,-0.58468616,0.540168,2.0118716,0.1932077
51,-0.7819007,0.3933524,2.0428984,0.17708357
52,-0.15645449,0.6593227,1.979116,0.17406528
53,-0.3128945,0.5845238,2.1014345,0.16727942
54,-0.8017847,0.35643294,2.0362837,0.08429692
55,0.096369274,0.63968354,1.9982361,0.2263414
56,0.43574655,0.58815247,2.0900283,0.07656957
57,-0.60804754,0.5039874,1.9974427,0.14298777
58,-0.56592864,0.520113,2.059803,0.15913829
59,0.6015701,0.5355265,2.0399287,0.20257545
60,0.014201753,0.68383634,2.0939555,0.18092695
61,-0.6656599,0.50115263,1.990255,0.14226326
62,-0.42389145,0.5774793,2.07273,0.16967295
63,0.23664223,0.6086481,2.1266334,0.141923
64,-0.21831213,0.6293359,2.1056361,0.09134481
65,0.040803503,0.6770217,2.097245,0.15053058
66,0.52330995,0.5651248,2.1355648,0.11697063
67,0.06643612,0.6498609,2.03516,0.18793578
68,-0.13044827,0.6728036,2.123362,0.113498844
69,-0.27587834,0.63042593,2.022502,0.07948457
70,0.5165178,0.5724953,1.9663332,0.19683354
71,0.31870988,0.5433448,2.2144344,0.07441165
72,-0.3018534,0.6285331,1.971035,0.123568065
73,0.026885819,0.6865014,2.0481274,0.14968233
74,0.18529278,0.6465817,2.220862,0.14589807
75,0.47713113,0.5595233,2.1579437,0.1920661
76,-0.048508048,0.5912576,2.1559021,0.069966085
77,-0.23435219,0.57812154,2.0537448,0.11485302
78,-0.009275426,0.6347726,2.1808681,0.13950609
79,0.32702133,0.629897,2.0550117,0.170425
80,0.3484522,0.5967819,2.0551345,0.19069636
81,-0.017214928,0.67743766,2.0655818,-0.01203046
82,0.15630236,0.6729056,2.0038745,0.13316308
83,0.60140437,0.487606,2.0498993,0.2181067
84,-0.14542907,0.6126066,1.9674023,0.10302584
85,0.31695947,0.5818398,2.0165517,0.16644233
86,0.5492054,0.52811974,2.0558727,0.04314712
87,-0.16761994,0.640524,2.103396,0.18258522
88,-0.26597327,0.62996215,2.000423,0.18267675
89,-0.08158212,0.637257,1.9672842,0.24249294
90,-0.0073849144,0.6141867,2.117357,0.15557022
91,0.28006548,0.5735818,2.0101006,0.23354916
92,0.017477704,0.6503768,2.1324692,0.09466552
93,0.61083776,0.49293613,1.8452905,0.14697492
94,0.71613044,0.4729172,1.9694393,0.22390273
95,0.5614173,0.54823387,2.0277064,0.19464043
