,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
0,0.06244433,0.48794034,1.4624538,0.52186614,0.2321811,0.50356066,0.5452483,-0.47265044
1,0.5869389,0.34856904,1.9469361,0.08030067,2.3835213,0.2994232,-0.10299235,-2.4945395
2,0.1131859,0.59532773,1.1678562,1.013438,2.0118334,0.5810925,0.98108596,-2.4813497
3,0.047756586,0.54414296,1.6409323,0.41857117,1.352898,0.31640857,0.48221126,-1.5294722
4,0.6587244,0.44431475,3.0200396,-1.1901889,1.0456953,0.5734577,-1.0058583,-1.0748283
5,-0.7985541,0.4070856,0.31370208,2.315224,-0.10111317,0.42543122,2.082104,-0.41580316
6,0.22765806,0.63434076,0.47569546,1.8136414,-0.6232415,0.31384557,1.8918175,0.38717172
7,-0.4016769,0.6132611,1.3873358,0.721606,0.5724716,0.42558497,0.8072688,-0.8160964
8,-0.60615873,0.50322026,1.740247,0.41541356,2.5910146,0.5967481,0.49983892,-2.6047847
9,0.05337385,0.56637794,1.7121568,0.5006291,-0.62940514,0.25243938,0.47181427,0.3666508
10,-0.37619817,0.5959602,2.3202772,-0.5565744,-0.64772505,0.42174876,-0.6556691,0.67704177
11,0.85,0.42019466,1.9934354,0.3624791,-1.8140413,0.5019129,0.2939833,1.3916641
12,-0.15642977,0.58802325,3.3505673,-1.492347,1.0610029,0.387326,-1.4659888,-1.2808623
13,-0.6338116,0.37178314,1.3260341,0.8219713,1.545967,0.4112026,0.8177356,-1.8291374
14,-0.25610507,0.60079294,1.241099,1.0192251,-2.303688,0.5377975,0.9436006,1.8069457
15,-0.7160509,0.40289336,0.23170485,2.238941,0.99704117,0.35809627,2.0544357,-1.3692864
16,-0.7389103,0.36481738,1.0996212,1.0485125,2.1087122,0.56435776,0.987002,-2.5775158
17,-0.5991411,0.5015527,1.218495,0.83200437,-1.560544,0.56208825,0.7467075,1.3065705
18,-0.2680033,0.505702,0.17285216,1.9965574,-2.3689725,0.46881968,1.9035922,2.1254694
19,0.5608877,0.45633066,2.2953897,-0.13979001,-2.768779,0.59471637,-0.22177076,2.6606076
20,0.17254704,0.52474654,-0.20448913,2.4223435,-0.73846006,0.35141024,2.5555272,0.6224721
21,0.62129915,0.46552032,1.0840386,0.85836893,-1.2564342,0.48594096,1.1106453,1.0417843
22,0.6434874,0.51756793,0.6401351,1.6227887,-1.8482721,0.41456887,1.6620382,1.4864682
23,0.6323259,0.477649,0.23625289,1.9177108,-0.6738855,0.4360085,1.9773787,0.4072882
24,0.7282145,0.41649103,1.7553377,0.099184096,1.1090466,0.57370013,0.3522677,-1.1935407
25,0.22459053,0.61086464,1.709427,0.57936954,-0.8118054,0.3598138,0.6171306,0.68129444
