,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
0,-0.8303012,0.368022,2.2574267,-0.12419651,-0.7499713,0.5373604,-0.021270704,0.44536954,-0.04214423
1,-0.47622627,0.4362889,0.38673106,1.9244819,-0.6664397,0.62662214,1.9591675,0.36840823,-0.33281153
2,-0.09033996,0.63463,0.29320595,1.9077001,1.2006645,0.43844384,2.0015163,-1.3894029,-0.13983436
3,0.6112867,0.44420397,1.1899059,0.8549511,-0.5433754,0.26486334,1.0329802,0.21031964,0.20874375
4,0.6796599,0.42849353,1.3221015,0.8862845,0.24176876,0.2930535,0.9548196,-0.40291098,0.08026306
5,-0.33505818,0.54062784,1.2191281,1.0517877,0.41028118,0.5108204,1.0623199,-0.7269699,-0.015907912
6,0.20232455,0.5773854,1.9803362,0.20581448,1.1371754,0.43650347,0.029141357,-1.2165492,-0.07436206
7,0.6148648,0.42152992,1.3887317,0.7946739,2.8011303,0.48609585,0.81013274,-3.0162094,-0.25858194
8,0.08241264,0.6350995,1.465877,0.73107976,-1.9322599,0.3208868,0.76839703,1.5319594,0.055372313
9,0.6871494,0.3852184,1.7289376,0.5760587,-1.7691491,0.16987479,0.5169663,1.35351,0.1985143
10,0.5453228,0.47212854,2.5134778,-0.1031992,-1.0036922,0.40345377,-0.23247491,0.68118906,-0.05942161
11,-0.42078668,0.48738495,-0.14688504,2.438122,-3.386809,0.13028863,2.584793,2.9461832,0.37218025
12,0.29479563,0.4628692,0.6085071,1.601333,-0.06681149,0.11621338,1.7712828,-0.18285258,0.122518085
13,-0.29892665,0.55039114,1.6036254,0.500784,-0.41011816,0.3452151,0.69833267,0.1244941,0.05960569
14,0.6170003,0.42710713,1.108572,1.1099968,-1.3522974,0.5098842,1.2050917,1.1021746,-0.010931908
15,-0.028509451,0.6404508,3.3879838,-1.1456438,1.7117264,0.36682275,-1.2484634,-1.8788308,0.050752543
16,-0.021362849,0.63259226,1.6110569,0.64440066,-0.5762076,0.6302025,0.55702955,0.2591506,-0.14026557
17,0.14862262,0.5070613,1.4746825,0.6654125,0.9639105,0.39946073,0.6570345,-1.1244708,-0.06978248
18,0.316045,0.50511634,0.5293291,1.6659502,1.9373025,0.7130723,1.7456986,-2.2146375,-0.3811841
19,-0.16948122,0.5626063,2.748716,-0.5650565,0.7258934,0.7099769,-0.4634034,-0.97874075,-0.2704687
20,-0.06732875,0.607747,1.4056238,0.7432198,0.5663398,0.44125485,0.6393997,-0.69721067,-0.07792655
