,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.2140083,0.1321661,0.85,0.015255927108228207,3.1715434,2.4212756
1,2.2082415,0.095352195,0.5392512083053589,0.05,3.9139519,1.8655438
2,2.176931,0.13149144,0.7774775624275208,0.026133934035897255,3.9685187,2.0050085
3,2.142042,0.106834665,0.8046783804893494,0.022177761420607567,4.6627183,1.6171587
4,2.2045505,0.120780125,0.85,0.05,3.367023,2.5369363
5,2.2141907,0.12003895,0.85,0.026555396616458893,3.4991238,2.6596124
6,2.213595,0.0984766,0.85,0.05,3.342245,2.697936
7,2.2228804,0.13511944,0.8210515379905701,0.03226981684565544,3.105106,2.4967322
8,2.146195,0.10546648,0.85,0.0012785977451130748,4.8787627,1.4925303
9,2.2443192,0.05288041,0.8305896520614624,0.05,3.1493454,2.6062489
10,2.2113767,0.1366852,0.85,0.05,3.2656233,2.219899
11,2.1986325,0.084618054,0.85,0.016386454924941063,4.3776264,1.7828424
12,2.2979546,0.15200154,0.6627992391586304,0.039959169924259186,2.253841,2.5666182
13,2.2195714,0.08514503,0.85,0.01573924534022808,3.525206,2.4044406
14,2.1956084,0.059477177,0.8264225721359253,0.018049823120236397,3.926813,1.8958876
15,2.1484516,0.089442246,0.85,0.013156570494174957,4.8244047,1.9265795
16,2.219363,0.13860853,0.85,0.023859091103076935,2.919965,2.6002593
17,2.245971,0.07893236,0.85,0.05,3.089282,2.4543307
18,2.1860821,0.09904041,0.85,0.015257422812283039,3.827021,2.3828673
19,2.140388,0.12256317,0.757198691368103,0.04939466714859009,4.1670427,1.7620333
20,2.1967976,0.15518683,0.85,0.05,2.8318663,2.3111925
21,2.1300874,0.0794774,0.8054457306861877,0.052033040672540665,5.0115266,1.7529908
22,2.2136729,0.17908575,0.85,0.02502441592514515,2.9832435,2.523646
23,2.1991427,0.090437114,0.683948814868927,0.017911015078425407,3.4341705,2.1555398
24,2.195532,0.14020896,0.85,0.006515115965157747,3.2503254,2.2447252
25,2.2844439,0.12298581,0.8158944845199585,0.050187915563583374,2.4514315,2.6788743
26,2.1903675,0.100730635,0.85,0.05,3.394424,1.7939433
27,2.164468,0.13538837,0.8203391432762146,0.04652615264058113,4.1509013,2.1628284
28,2.1974647,0.14558288,0.85,0.008577562868595123,3.0874453,2.4014287
29,2.1805186,0.14499614,0.7760541439056396,0.06300843507051468,4.33639,1.9119148
30,2.1809876,0.073006324,0.85,0.05,3.9741597,1.7426498
31,2.1244736,0.10110111,0.85,0.05,3.4986002,1.3314344
32,2.11983,0.133254,0.8450883626937866,0.05,4.5998487,1.6920977
33,2.2036273,0.13929757,0.8354367017745972,0.01998496614396572,3.1763887,2.5017443
34,2.2526352,0.117688,0.7136849761009216,0.04439268633723259,2.5842268,2.580316
35,2.120369,0.1488809,0.8040251731872559,0.010116991586983204,4.822847,1.6124644
36,2.18991,0.14727071,0.8398053050041199,0.02124221995472908,3.4353626,1.8167338
37,2.2515135,0.07926551,0.85,0.05,3.1760113,2.4129903
38,2.2000282,0.103091836,0.85,0.05,3.4802635,2.0862753
39,2.249005,0.11870099,0.5175977349281311,0.07568179816007614,2.6998062,2.8213053
40,2.301697,0.089851595,0.8465752005577087,0.040650319308042526,2.3697498,2.7927907
41,2.1336281,0.10725602,0.8094984889030457,0.05169334635138512,4.5037837,1.73207
42,2.1745603,0.073476315,0.8028155565261841,0.04098329693078995,4.419918,2.1200857
43,2.1559906,0.16443904,0.8379606604576111,0.05,3.908746,2.3547359
44,2.162555,0.13079472,0.44393014907836914,0.05,3.8233035,1.6784347
45,2.2826662,0.08647501,0.85,0.03286220133304596,2.4100523,2.53917
46,2.2032096,0.13741979,0.7923519015312195,0.010925100184977055,3.0662663,2.609276
47,2.1434596,0.14607184,0.85,0.05,4.5136585,2.0072086
48,2.2392917,0.07788178,0.830742359161377,0.02866029366850853,3.262657,2.50208
49,2.209949,0.13096283,0.85,0.05,3.7475047,2.3102572
50,2.2230422,0.11436327,0.85,0.05,3.3588657,2.3467484
51,2.285478,0.08557129,0.42024198174476624,0.03386308252811432,2.8059075,2.617311
52,2.222603,0.11134307,0.85,0.05,3.4380536,2.6102858
53,2.152681,0.1214336,0.7512408494949341,0.023039499297738075,4.961904,1.9087824
54,2.2332845,0.124161944,0.8069563508033752,0.05,3.095701,2.4342077
55,2.1984928,0.11658353,0.85,0.05,3.7580976,2.1756861
56,2.1920738,0.14322437,0.85,0.05,3.9236512,1.8520882
57,2.1902392,0.15168172,0.5853888988494873,0.05,3.643115,2.199609
58,2.1832035,0.12938897,0.8339815139770508,0.046347521245479584,4.415689,2.2320452
59,2.1769261,0.09088095,0.85,0.05,4.7174044,1.9594476
60,2.1564693,0.13935927,0.85,0.05,3.737334,2.1060042
61,2.2534251,0.12999997,0.8162909746170044,0.04533807560801506,2.5302691,2.744643
62,2.1761677,0.20467499,0.85,0.05,3.6997714,2.2929537
63,2.1281729,0.09544475,0.85,0.021783549338579178,4.887731,1.7736772
64,2.0940711,0.067407936,0.85,0.017064768821001053,5.821272,1.4502707
65,2.1276734,0.067118764,0.85,0.05,5.100205,1.6152718
66,2.0846696,0.154721,0.85,0.05,5.1080256,1.6122938
67,2.205363,0.1591784,0.85,0.04550264775753021,3.2373822,2.8468318
68,2.1278048,0.079304166,0.85,0.017983028665184975,5.20694,1.765293
69,2.1223736,0.09162411,0.85,0.008700708858668804,4.611338,2.0087996
70,2.1616054,0.12011815,0.6824347376823425,0.024594655260443687,4.215547,2.0270314
71,2.1856494,0.11419179,0.85,0.016028694808483124,3.4174147,1.8850582
72,2.2288358,0.119494855,0.8277003765106201,0.024185683578252792,3.1142788,2.1767337
73,2.2336032,0.13082957,0.8331997990608215,0.02168615348637104,3.3253272,2.3701196
74,2.2661893,0.091885254,0.6691076159477234,0.04188070073723793,2.295033,2.0973957
75,2.203036,0.12582697,0.85,0.05,3.4994507,2.2363288
76,2.1701577,0.14597017,0.7545046806335449,0.05,3.6851194,2.0809636
77,2.2168076,0.13905396,0.85,0.05,3.7443967,2.0959852
78,2.2408352,0.10537811,0.7190089821815491,0.03375515714287758,2.9880447,2.7673352
79,2.1406293,0.12459699,0.8268144130706787,0.05171041190624237,4.823738,2.3019283
80,2.1656227,0.10386131,0.85,0.005098145455121994,4.655548,2.0797286
81,2.2234697,0.11418524,0.36012983322143555,0.06622671335935593,2.9825113,2.3505833
82,2.2905421,0.09920739,0.6875874996185303,0.0741545781493187,2.0715685,2.3547413
83,2.133845,0.12811495,0.85,0.05,4.447823,2.544447
84,2.2657542,0.100260876,0.8186190128326416,0.05,2.610917,2.5846279
85,2.1711102,0.110336654,0.6592649221420288,0.05983521789312363,4.0520115,2.9053879
86,2.158072,0.15357341,0.6234080195426941,0.05,4.2501483,2.5208879
87,2.1662588,0.11573904,0.85,0.05,4.3215866,2.4676542
88,2.2079127,0.08872432,0.793053150177002,0.033740732818841934,3.4358442,2.6099427
89,2.1770346,0.111862786,0.85,0.05,3.8943188,2.720911
90,2.196782,0.16827086,0.8068477511405945,0.028263019397854805,3.2052252,2.4045403
91,2.2431493,0.10693292,0.85,0.014005918055772781,2.69024,2.2502072
92,2.1815553,0.17258368,0.8377336859703064,0.03938432037830353,3.3647575,2.502133
93,2.152383,0.18462813,0.834869384765625,0.025304580107331276,3.7648642,2.0976465
94,2.1811075,0.10770927,0.8478333353996277,0.014558101072907448,4.4206095,1.9146127
95,2.1373873,0.15190214,0.85,0.013433256186544895,4.5488296,2.231677
96,2.1876836,0.11325308,0.6910479664802551,0.003945970442146063,3.6354005,2.6233356
97,2.220904,0.13286562,0.85,0.05,3.1372466,2.6325204
98,2.2600486,0.10451956,0.8484253287315369,0.03372205048799515,2.6459942,2.4317875
99,2.2220218,0.08651711,0.8067499399185181,0.05,3.7314968,1.9336404
