,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,0.8916216,1.3438144,0.20808183,0.57080084,1.3933387,-0.4173635,-0.09382975,0.85,0.05,2.7462173,2.206688
1,1.700359,0.58491504,1.978668,0.5225923,0.48265532,-2.3350484,-0.06622223,0.7822791337966919,0.016759764403104782,5.0745196,2.2154055
2,1.3993925,0.9526533,-2.0216541,1.005688,0.90625453,1.7681291,-0.6084226,0.8113400340080261,0.06574196368455887,2.2161381,2.644069
3,1.8370961,0.46323627,-0.14471482,0.40981033,0.47810236,-0.048945375,0.029998524,0.6957055926322937,0.05,2.4441724,2.6688132
4,1.1138746,1.1759036,0.07092009,0.62265605,1.2128228,-0.25005957,-0.50212437,0.8455203771591187,0.026475101709365845,2.6478949,2.5868719
5,1.0915846,1.2146572,-1.3244617,0.64662695,1.2818567,1.0616285,-0.41375995,0.4025600254535675,0.015418708324432373,2.360875,2.5198555
6,2.3685677,-0.035757817,0.6676646,0.20328988,0.01098813,-0.9109389,0.15974753,0.85,0.05,2.5582716,2.5983655
7,2.9742136,-0.65332645,-0.58664393,0.66077393,-0.6333844,0.24690497,-0.38423878,0.21874946355819702,0.006549654994159937,2.626836,2.339088
8,1.0953263,1.2425066,0.6463215,0.60723805,1.2328153,-0.97350097,0.0059555997,0.8048760294914246,0.02924596332013607,2.4309504,2.8490188
9,0.25418493,1.9358773,2.7897327,0.38715687,2.0015092,-3.0023177,0.056890283,0.5762027502059937,0.00019719738338608295,3.3332267,1.967896
10,2.0742037,0.13917492,-0.2947331,0.5798861,0.2504147,0.09070121,-0.14315718,0.85,0.05,2.933566,2.3501825
11,1.2219503,0.9674847,0.028680954,0.80993605,1.0475235,-0.32696596,-0.49215922,0.5814667344093323,0.05,3.3830848,1.8933672
12,0.5935702,1.5501854,0.14635536,0.5588847,1.561606,-0.35162786,-0.029598527,0.05092428997159004,0.05,4.6465464,2.2851493
13,2.014847,0.12006542,3.5864184,0.43331394,0.27702084,-3.8555183,-0.03238312,0.7985144853591919,0.003770747920498252,3.4739087,2.4886048
14,1.1117554,1.1141999,-2.0377417,0.49915415,1.1160641,1.8551111,-0.11590943,0.8053481578826904,0.05,3.2866457,2.1656477
15,-0.4094345,2.6444767,-2.1256335,0.43273604,2.5131345,1.9319643,-0.06312679,0.8356935381889343,0.05,7.141388,1.800776
16,0.82177407,1.3929343,1.8731072,0.53353256,1.4409184,-2.2336493,-0.07203931,0.4779171645641327,0.05461223050951958,3.6495988,2.6178262
17,-0.35871762,2.6610007,-0.04691651,0.42380762,2.6316013,-0.20845042,-0.11525366,0.8286299109458923,0.020490018650889397,3.2918458,2.5880778
18,1.1016455,1.1011504,-1.7084104,0.46869552,1.2698426,1.4068058,-0.12739618,0.85,0.05,4.4073014,1.9768867
19,1.2794782,1.0850078,-2.9432344,0.5612034,0.98980486,2.8464575,-0.19842407,0.6583554148674011,0.03511221706867218,2.4377604,2.6848223
20,0.47423506,1.8509192,1.0582707,0.354778,1.8789474,-1.5091379,-0.071844734,0.6570129990577698,0.03078952431678772,4.46516,2.3030517
21,0.40248138,1.7719115,-3.6982968,0.5675518,1.8694283,3.6005447,-0.28358468,0.5926478505134583,0.05,3.6160743,2.0008526
22,0.2050086,2.0717034,2.131422,0.41644785,2.1029959,-2.5096834,0.13162087,0.6405684947967529,0.05,3.981045,2.0968695
23,2.9925098,-0.7093915,0.81490433,0.49967432,-0.6934652,-0.98414856,-0.28546694,0.85,0.011172986589372158,2.506109,2.4652627
24,2.3473325,-0.07447717,-0.40442774,0.5466509,-0.022267489,0.06468046,-0.26365983,0.5235494375228882,0.05,3.6618721,2.3095634
25,3.2238417,-0.9175801,1.1613408,0.6774323,-0.9130262,-1.4358909,-0.4140863,0.8331381678581238,0.05,2.6412308,2.267795
26,-0.35175815,2.7221508,0.5499487,0.46264046,2.6858864,-0.82640743,0.02763308,0.8147441148757935,0.0034611555747687817,2.278806,2.5201678
27,2.0991669,0.1456524,1.8953977,0.51208365,0.18859097,-2.1351495,0.02788732,0.8331595063209534,0.031201615929603577,2.8152714,2.5565968
28,-1.201653,3.324751,0.59615517,0.37222943,3.4480495,-0.9290713,-0.1674276,0.2618391513824463,0.05,6.66406,2.3391998
29,0.68869054,1.6281264,-2.4475021,0.32423893,1.6108488,2.2100673,-0.015026411,0.8349394798278809,0.05,3.6695971,2.488063
30,-0.64182323,2.9430768,-0.4156649,0.41273242,2.9846668,0.32424635,0.23877914,0.24656488001346588,0.06942694634199142,2.0727751,2.738914
31,2.3079631,-0.0040506637,-0.16560778,0.656186,-0.09568906,-0.07314411,-0.30900922,0.85,0.012863528914749622,3.2746387,2.738367
32,0.17408143,1.8984357,0.42314664,0.99345404,1.9978098,-0.8433812,-0.66166747,0.85,0.02778681553900242,10.085134,1.9056495
33,0.9891939,1.3546406,2.7597327,0.644295,1.223029,-3.1325872,-0.033788886,0.85,0.03933113068342209,4.305424,2.255284
34,1.4530828,0.712547,-0.391406,0.4888981,0.7170329,0.2380019,-0.16353485,0.549835205078125,0.05,4.375401,2.1613686
35,2.7418244,-0.42554373,0.42374095,0.53179365,-0.4074039,-0.78195876,-0.27215964,0.6556406021118164,0.02941959537565708,3.1979287,2.201096
36,2.0444684,0.09436165,2.229201,0.57869065,0.21005428,-2.49161,-0.25308383,0.85,0.05,3.825169,1.9152887
37,0.29507667,2.2161238,-1.8496698,0.36854833,2.1287355,1.6230919,-0.20884202,0.8304412364959717,0.023366494104266167,2.0841975,2.6077054
38,3.1106014,-0.5640426,0.5762829,0.5902885,-0.6531576,-0.84491223,-0.2839095,0.04456577077507973,0.01942690834403038,2.0143464,2.627319
39,2.0925078,0.20845366,-0.80394083,0.48631144,0.13252269,0.4796693,0.059090417,0.85,0.05,4.0573053,1.9321967
40,0.94576967,1.4082848,2.3148406,0.5041933,1.3158962,-2.637569,-0.14833249,0.8277718424797058,0.026236113160848618,3.1279936,2.5480552
41,1.2551477,1.0437113,0.3829177,0.6191953,0.9712627,-0.6088898,-0.3319073,0.8359718918800354,0.05,3.4160554,2.5147033
42,1.311785,0.91763,0.9544738,0.5538876,0.95371705,-1.2437701,-0.10885417,0.85,0.01361633837223053,4.0482726,2.2233646
43,1.2247266,1.1700982,0.1317555,0.40161073,1.0693505,-0.37391362,0.002998964,0.6790571212768555,0.05,2.2260993,2.8528037
44,1.7312564,0.48124772,3.8815079,0.6289825,0.58646,-4.3125753,-0.10158404,0.8329046368598938,0.020402472466230392,3.6065185,2.6687007
45,0.5393147,1.6933407,0.30075586,0.5557808,1.7134458,-0.5109082,-0.12439738,0.8103632926940918,0.05,3.7005382,2.4128833
46,1.8727094,0.33963272,0.20428447,0.55587214,0.3668257,-0.4646007,-0.059529092,0.7759115695953369,0.05,3.3171508,2.5421176
47,-1.7515761,3.596949,1.6917486,0.469861,3.6676555,-1.9536675,-0.23708378,0.85,0.1620500385761261,13.701814,0.76678675
48,2.0735366,0.09607234,0.50890386,0.80881137,0.069859356,-0.65304214,-0.48879015,0.5284538865089417,0.05,4.402004,1.8172739
49,1.6283605,0.60345614,0.2593211,0.53664637,0.7122604,-0.5076572,0.05251629,0.85,0.05,2.5098243,2.6699529
50,1.858713,0.4884674,-0.24855143,0.5397928,0.49943987,0.061346605,-0.24444845,0.705894947052002,0.032202865928411484,2.0855167,2.522994
51,-0.14592843,2.3384287,1.4650385,0.5995454,2.3151362,-1.6995926,-0.33686978,0.85,0.05,4.4750595,1.8003051
52,1.7949103,0.35884735,-1.6777321,0.52082986,0.44322726,1.5648986,-0.02953506,0.7407106757164001,0.05,3.566899,2.6955683
53,1.1690909,1.2078886,-0.12049692,0.62286913,1.2559261,-0.2033292,-0.25509405,0.7249272465705872,0.05,2.260176,2.7268977
54,1.7252183,0.5532322,0.25056356,0.58868486,0.5793784,-0.5156176,-0.28490508,0.8386074900627136,0.02006787620484829,2.7829165,2.791326
55,0.43425906,1.8532429,-3.0469074,0.34163448,1.7551534,2.8720236,0.13004747,0.7970873713493347,0.0221706610172987,4.344234,2.1425242
56,0.87934214,1.3331562,0.050380994,0.7304376,1.5447806,-0.41994333,-0.47300792,0.85,0.002121753292158246,3.2126024,2.1013896
57,2.8268273,-0.65611017,1.0837744,0.4505988,-0.75614417,-1.3094023,-0.10414795,0.5547544360160828,0.05,6.9613094,2.583474
58,-0.21102314,2.5280464,0.25404918,0.48572072,2.5266945,-0.43356517,-0.07426124,0.813824474811554,0.05,2.5473878,2.5625594
59,1.4018683,0.8751757,0.4325495,0.50500757,0.89677894,-0.72924906,-0.15763138,0.8267122507095337,0.05,3.384111,2.4217374
60,0.07180145,2.1136513,0.23603998,0.51241326,2.1417496,-0.33643913,-0.14687261,0.843865156173706,0.05,3.2941275,2.1839232
61,2.205438,0.00031882647,1.3401186,0.6852414,0.051799744,-1.7594332,-0.079739176,0.85,0.05,4.8300247,1.8636794
62,1.829086,0.46776763,-1.2832011,0.52664334,0.5152587,0.99296314,-0.10632813,0.8261832594871521,0.05,3.321724,2.494335
63,-0.47536606,2.6892133,1.1824812,0.6440444,2.659688,-1.4652042,-0.15683016,0.85,0.05,4.049911,2.243846
64,-0.63722175,2.75264,-0.7079779,0.5179287,2.8215787,0.44906643,-0.04715638,0.85,0.05,6.7956414,2.5157616
65,-0.4038468,2.652228,-2.1851733,0.37984526,2.6262193,2.108065,-0.010879247,0.8055019378662109,0.05,2.9569113,2.1520593
66,0.74905574,1.5039877,2.2246058,0.7442595,1.5672698,-2.5978346,-0.3460198,0.85,0.05,2.93294,2.32918
67,4.4690895,-2.002148,2.3647065,0.7167357,-2.036601,-2.65095,-0.20511223,0.1955680400133133,0.06768742203712463,1.990101,2.7663958
