,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,2.068615,0.18333,-0.118469834,0.7776025533676147,0.4599836,6.5881977,0.05070856586098671
1,2.3515637,0.113975205,-0.14097849,0.7339414954185486,0.5221124,3.1185253,0.2464483678340912
2,2.3041985,0.20596227,-0.14402935,0.8251761198043823,0.48060384,3.1563425,0.253447026014328
3,2.0073924,0.20468338,-0.14720802,0.7334014773368835,0.48093197,14.069822,0.05
4,2.1314316,0.10794096,-0.0022071996,0.8348619937896729,0.41452557,6.5216393,0.059268515557050705
5,2.1093514,0.14714277,-0.12623386,0.7925767302513123,0.42794704,6.9399242,0.042690377682447433
6,2.0295916,0.15333599,-0.10839234,0.8248473405838013,0.471857,7.605411,0.015751566737890244
7,2.2924647,0.08004542,-0.12632999,0.7358565330505371,0.6035322,6.7889495,0.06649279594421387
8,2.274695,0.1516995,-0.13840085,0.7516636252403259,0.5831841,6.882254,0.0456431545317173
9,2.1971462,0.14576666,-0.2385031,0.7732177376747131,0.4530052,8.025048,0.011880939826369286
10,2.4777246,0.06262272,-0.22963709,0.7937008142471313,0.49333897,4.746591,0.13063956797122955
11,2.0387273,0.15118773,-0.14520451,0.8309081196784973,0.3580534,5.304423,0.11834339797496796
12,2.1077068,0.12915641,-0.19788335,0.7431183457374573,0.5317616,9.563407,0.05
13,2.0869257,0.09397744,-0.11124186,0.7614308595657349,0.48400065,4.5975513,0.1537851095199585
14,2.4223003,0.15619488,-0.15875743,0.8184386491775513,0.55731946,3.0157688,0.2951059639453888
15,2.2777746,0.11442117,-0.1344381,0.85,0.32324654,3.244195,0.28376826643943787
16,2.2892334,0.08187713,-0.09662386,0.8301076292991638,0.43268934,3.530857,0.24582435190677643
17,2.3986971,0.1316235,-0.17385325,0.7739297151565552,0.63733137,5.8648725,0.07339631766080856
18,2.3801098,0.10422424,-0.11337626,0.6843282580375671,0.7079186,7.5572314,0.05
19,2.2908292,0.14085095,-0.100369155,0.7997777462005615,0.45700678,4.647237,0.1291666179895401
20,2.1284146,0.11729746,-0.07227585,0.802013099193573,0.48674044,8.709125,0.05
21,2.2545483,0.11070993,-0.098841794,0.8418843746185303,0.27068695,2.7096012,0.3466918468475342
