,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,-0.3788181,2.719691,0.9832165,0.38702923,2.7340846,-0.99240404,0.3819025456905365,0.14779937267303467,1.964643120765686,1.1799406
1,1.2511313,1.020051,-0.3615282,0.3786182,0.9240692,0.2482508,0.22081056237220764,0.19511662423610687,2.048346519470215,1.3636173
2,-0.14930154,2.3015428,1.1264471,0.51615226,2.4642239,-1.3386763,0.18267908692359924,0.20171095430850983,2.129641532897949,1.262849
3,1.3126464,1.0778817,-1.1058043,0.30051664,1.1659275,0.89108175,0.06677306443452835,0.21446692943572998,2.0633511543273926,1.4478701
4,-0.45976716,2.6725478,0.58412814,0.5519111,2.828286,-0.7755868,0.4401875138282776,0.12552665174007416,2.185028314590454,1.019094
5,0.35385263,1.7961565,0.064010255,0.48779687,1.7661536,-0.2226707,0.06135888397693634,0.14338821172714233,2.4290595054626465,1.0808167
6,0.2612427,1.9001551,0.9116658,0.43786263,1.9420917,-1.1686292,0.09654298424720764,0.20599967241287231,2.189882278442383,1.2405326
7,1.2355123,0.96648365,-1.3676538,0.55067176,1.0293043,1.0133082,0.05,0.2039189338684082,2.1463327407836914,1.2379365
8,1.8238213,0.37079298,1.3351791,0.34495765,0.39456108,-1.4719218,0.10390657931566238,0.22069208323955536,2.185845136642456,1.1991512
9,3.7084303,-1.5265739,-0.021100882,0.44307363,-1.5752714,-0.19642124,0.06849676370620728,0.20175592601299286,2.187490463256836,1.1842151
10,3.3916025,-1.195037,1.6404804,0.37558883,-1.1728774,-1.7529927,0.05,0.18420422077178955,2.0612099170684814,1.4020691
11,-0.19590452,2.3583395,-0.52725476,0.4690559,2.454055,0.3205879,0.2804914116859436,0.1699870526790619,2.5116217136383057,0.9965439
12,2.998257,-0.77553725,-0.043618057,0.45885888,-0.825067,-0.16957404,0.1607399582862854,0.19980758428573608,2.2674779891967773,1.287225
13,4.1488514,-1.8073846,0.41341397,0.37724078,-1.6107076,-0.7590893,0.2399449199438095,0.22435493767261505,2.1869194507598877,1.1783915
14,4.363892,-2.164943,0.14318947,0.34322566,-2.4261158,-0.18455896,0.05,0.1966029554605484,2.5347044467926025,1.0131154
15,0.1689331,2.2008893,-4.0669785,0.3958237,2.146587,3.7729547,0.22126920521259308,0.15748675167560577,2.3052854537963867,0.99964887
16,1.1957092,0.9347427,0.7667833,0.5555909,0.896811,-0.94997597,0.3043786585330963,0.19684617221355438,2.6654860973358154,0.9044403
17,3.3360937,-1.0136329,-0.8617045,0.43640092,-1.0177298,0.72659945,0.15563246607780457,0.2070396989583969,2.1566617488861084,1.4671372
18,0.14283197,2.0837111,-0.5705115,0.42782152,2.125404,0.316751,0.25984618067741394,0.16985920071601868,2.343238592147827,0.9823695
19,-2.421439,4.5970488,0.28970394,0.3753028,4.3572288,-0.33730623,0.05,0.2255934327840805,2.7589638233184814,1.0367591
20,1.2980351,0.9152918,0.78241354,0.31578577,0.95142204,-1.0116206,0.15195204317569733,0.1752890795469284,2.2793002128601074,0.98800117
21,-0.2034169,2.4070098,1.5378863,0.4914331,2.4516218,-1.8266727,0.1731800138950348,0.18046724796295166,2.198317527770996,1.1296316
22,1.8186527,0.52303183,-0.748133,0.46486878,0.45753124,0.45629647,0.18633367121219635,0.13331377506256104,2.153062582015991,1.1141
23,1.1096095,1.1227382,-1.854137,0.376959,1.0209523,1.7932758,0.07490912079811096,0.2078385353088379,2.231252908706665,1.370866
24,1.8720607,0.30541804,-0.9743513,0.454664,0.2482083,0.71316534,0.16054579615592957,0.20432528853416443,2.6695363521575928,1.0605338
25,2.883546,-0.7006219,-0.81336814,0.43851864,-0.7690073,0.6105124,0.05,0.23510964214801788,2.4191484451293945,1.2319032
26,1.7322974,0.50883925,2.0898223,0.48645043,0.49112535,-2.285552,0.39693576097488403,0.12766586244106293,2.1598668098449707,1.1858051
27,-0.22376634,2.55011,-0.44551384,0.31125897,2.4890914,0.28673914,0.15890340507030487,0.20275598764419556,2.0748112201690674,1.5283142
28,0.22691263,2.0821412,-0.59179896,0.41025168,1.9677383,0.31030503,0.21531900763511658,0.18883052468299866,2.110741138458252,1.2715722
29,2.631553,-0.28447986,0.34062567,0.31823686,-0.22407371,-0.58367026,0.1915627121925354,0.15587471425533295,2.1066935062408447,1.1998315
30,1.6316662,0.53551626,0.75734115,0.4944581,0.56104684,-0.94980645,0.33820024132728577,0.183529794216156,2.3149666786193848,1.0912528
31,1.5325098,0.76234585,-1.2705925,0.26902017,0.72461605,1.0922585,0.07641973346471786,0.20288684964179993,2.123598098754883,1.3183764
32,1.0506566,1.1261712,-0.36008424,0.39295074,1.0692852,0.22158957,0.2591157853603363,0.18211717903614044,2.5802276134490967,0.9053319
33,3.085246,-0.75427026,-0.5490708,0.44224665,-0.62546206,0.24505264,0.2926143407821655,0.2142682671546936,2.0427141189575195,1.375527
34,0.549421,1.5384327,1.9158208,0.418866,1.590951,-2.0756655,0.16272364556789398,0.2226991206407547,2.457866668701172,1.1244617
35,0.5270553,1.6075357,0.996097,0.47417334,1.6345785,-1.1469918,0.12677602469921112,0.17506451904773712,2.2836928367614746,1.0697415
36,3.3416362,-1.0276427,-0.48414764,0.42424732,-0.94299996,0.35288262,0.30996936559677124,0.1688736528158188,2.0833261013031006,1.4353584
37,2.2286136,0.00083422917,1.119347,0.41382727,0.06531036,-1.3722373,0.33921629190444946,0.14887158572673798,2.1914846897125244,1.065301
38,1.6357101,0.49267286,1.8521872,0.4157735,0.57808846,-2.0368297,0.21195802092552185,0.22761613130569458,2.3602592945098877,1.1501336
39,1.3241726,0.92143744,-3.8112557,0.38329396,0.9233208,3.4744468,0.05,0.21589432656764984,2.177236795425415,1.19066
