,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.3616739,1.0897987,4.6757536,0.5726156,2.6157358,1.124047,0.93477523,1.0665994
1,0.40530506,0.9800791,4.8112407,0.7820788,2.3199956,1.0854653,0.8010949,1.0969985
2,0.23201224,1.1462473,6.369299,0.44035,2.460895,1.0498636,0.92043257,1.2424204
3,0.36810595,1.0926336,4.210808,0.7854721,2.5837018,1.0928562,0.82388014,0.76741064
4,0.2357111,1.1136144,4.744335,0.8005409,2.4464548,1.0871608,0.76223713,1.1015894
5,0.24407716,1.1638175,4.3697605,0.96287924,2.5739315,0.99452496,0.8537001,1.038654
6,0.31737185,1.1344682,3.91567,0.8835111,2.6576223,1.0463054,0.8280547,1.0110083
7,0.21162349,1.1547256,5.3181353,0.6002032,2.5308168,1.0016286,0.7626659,1.1028509
8,0.26020548,1.1790226,3.3451147,0.9603794,2.7908006,0.92935073,1.0057386,1.27897
9,0.1647881,1.1771556,6.0439167,0.43593636,2.5870864,1.0494831,0.8190204,1.0126892
10,0.38804314,1.1082677,6.046991,0.62267727,2.5610461,1.2448871,0.91361576,0.9746954
11,0.39897192,1.0848349,3.7904737,0.6153525,2.8402128,1.0010952,0.78681946,1.1194792
12,0.30043322,1.0930886,4.309763,0.83755124,2.3753018,0.9493152,0.8419265,1.154009
13,0.509508,0.8203387,4.786465,0.8344235,2.1868901,0.99807566,0.9000636,1.1438154
14,0.33629188,1.1143631,4.8465185,0.36718795,2.6921375,0.9464331,0.906232,1.0836288
15,0.38123336,1.0981354,4.0831866,0.86738384,2.7873833,0.98558223,0.85646504,1.0473142
16,0.30689093,1.132324,3.8377602,0.8487978,2.782721,1.0137415,0.9284155,1.0796702
17,0.41866463,1.0556504,5.3815603,0.6161245,2.3356326,1.2220495,0.95417136,1.032865
18,0.31228733,1.1265897,4.154752,0.9879587,2.4115813,1.1731471,0.7858155,1.0895935
19,0.27944815,1.1249563,6.413924,0.60189086,2.6165335,0.99710095,0.8992198,0.8206344
20,0.26312855,1.1228876,5.169373,0.37311026,2.6354737,1.0106252,0.79890597,1.1975474
21,0.38404024,1.0026243,4.2178683,0.7666614,2.3136303,1.144971,0.7847769,1.0734364
22,0.2982686,1.140271,4.5337424,0.83311146,2.4687788,0.9042099,0.87264234,1.3184648
23,0.21819098,1.141143,4.264627,0.9321666,2.3429468,0.9459862,0.9298805,1.2392335
24,0.32296216,1.1208216,4.9847097,0.5394074,2.7078907,1.0240117,0.9401493,0.8249165
25,0.25120854,1.1461447,5.2528615,0.48931032,2.7561688,0.9562101,0.8241995,1.098021
26,0.28587425,1.1343948,5.7470903,0.5673982,2.5314853,1.0814128,0.9857906,0.92040604
27,0.2834654,1.0910195,4.436617,0.87904364,2.4401956,1.0827696,0.87903196,0.8887684
28,0.2225668,1.1316408,4.265948,0.6607845,2.5990083,1.0651566,0.9150721,1.1216887
29,0.22627942,1.1539153,3.8140528,0.75284797,2.5088465,1.0163541,0.9252425,0.95998496
30,0.43797126,1.0593754,5.160073,0.42973304,2.6398926,1.0537229,0.75609756,1.0326242
31,0.37692586,1.115535,3.684651,0.9096882,2.5531116,1.0085509,0.8339692,1.3205345
32,0.31687334,0.9546774,4.1816874,0.88452995,2.2503035,0.90802705,1.001031,1.1067861
33,0.21691717,1.1896272,6.220154,0.61394596,2.5475945,1.0954527,0.7846725,1.2108923
34,0.29458568,1.1415929,4.317995,0.56371087,2.480206,1.0631313,0.9764613,1.1226857
35,0.33954322,1.1250235,3.5485723,0.7945749,2.9382458,0.98289335,0.86240244,0.8659882
36,0.30720866,1.158115,6.346062,0.6712817,2.6037436,1.1087358,0.7450777,1.1328593
37,0.4901935,0.80784553,5.685139,0.949847,2.0877998,1.039974,0.9719471,1.1334622
38,0.28202438,1.1750075,3.5780513,0.8572505,2.8283594,1.0187354,0.84573275,1.1128534
39,0.24416764,1.1832923,3.9618905,0.709674,2.7567418,1.0650238,0.8849435,1.1459067
40,0.26274565,1.1489937,5.644556,0.45498145,2.4483333,1.0339334,0.86865985,1.3171583
41,0.24214908,1.1466292,4.6078043,0.79454476,2.4119918,0.8705419,0.9247724,1.2557579
42,0.22598125,1.1294436,4.608977,0.7358951,2.375662,1.0896841,0.82460815,1.1431898
43,0.12258916,1.1757324,4.926976,0.77435416,2.335345,1.0948901,0.9608704,1.1234059
44,0.28352565,1.1291275,5.0461044,0.59351355,2.451601,1.1709857,0.8647542,1.0360644
45,0.32284164,0.99762243,4.8170414,0.6806528,2.0850499,1.0863922,1.0248599,1.2910885
46,0.32652327,1.0494534,4.073926,0.90220034,2.2401915,1.0243524,0.9136457,1.2970175
47,0.27900648,1.119596,4.2277517,0.79259586,2.415791,1.0410602,0.82383513,1.1628351
48,0.26016203,1.1215837,4.411276,0.77109826,2.3889203,1.1416072,0.93287426,0.9741736
49,0.36761463,0.9688826,4.4063993,0.8183652,2.2390325,0.95842016,0.98963636,1.1181248
50,0.2594693,1.1496637,4.7129207,0.60277545,2.7627764,0.96865886,0.69125825,1.0827111
51,0.40829682,0.919441,4.9015646,0.5898794,2.3042138,0.9973976,0.8343585,1.086884
52,0.28951183,1.1218511,5.097397,0.42638588,2.3779118,0.9624382,0.7719075,1.3962375
53,0.2952724,1.1390681,4.7498856,0.8239994,2.6675394,0.95783573,0.8845276,1.0542206
54,0.2679303,1.145969,4.269972,0.4328413,2.751495,0.9024991,0.8861628,1.1168109
55,0.23131743,1.1375551,4.9626465,0.5398285,2.566848,1.0438383,0.81251407,1.0835078
56,0.3530286,1.1190047,4.810735,0.7990695,2.5074651,1.1526159,0.8848002,0.9076118
57,0.33400667,1.119771,5.4898295,0.36954534,2.5699577,1.0550072,0.9398565,1.1530002
