,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.43780497,0.7908829,4.218505,0.70626,2.9458475,0.86286956,0.96962434,1.0932306
1,0.39808112,0.78726107,3.9666836,0.921455,2.6629813,0.88223964,1.0596676,1.1048394
2,0.67914087,0.7809004,4.7669277,0.48853162,3.0872214,1.0544829,1.1750736,0.9137166
3,0.43614826,0.81556314,3.6299026,0.9169635,2.8505447,1.0711054,0.93850106,0.9238121
4,0.5965326,0.78800887,4.055578,0.73027265,3.0410173,0.9443256,1.0427569,1.1468911
5,0.42634308,0.7754697,3.7917364,0.92380255,2.743172,0.94768965,1.0689601,1.0092938
6,0.6403855,0.7869547,4.8587427,0.49656102,3.022746,0.811664,1.1008098,1.1304557
7,0.5547229,0.77879477,5.7880087,0.5806165,2.6159825,1.0062577,1.1084995,0.9777989
8,0.47564635,0.80035186,8.276016,0.958672,2.1958032,1.0706383,1.1752604,0.97755986
9,0.28703922,0.81311417,3.4160986,0.9393528,2.8389206,0.96043897,0.94178855,1.2423134
10,0.42683485,0.79103035,7.138338,0.77641004,2.348597,0.9766071,1.0106462,1.049528
11,0.8239752,0.7843348,3.0238583,0.838658,3.3438442,0.9065193,0.9091203,1.0536593
12,0.82077676,0.7590857,3.7512748,0.59124684,3.2987309,1.007966,1.0253767,0.9490142
13,0.4430576,0.8179513,3.8859627,0.9242723,2.6991606,0.91997945,1.0924213,1.089254
14,0.18544084,0.7946341,3.8200076,0.9970012,2.6319184,0.9406833,0.89681965,1.0846878
15,0.9160393,0.73041713,3.0490282,0.894055,3.5177324,0.8736155,1.0529898,1.0178356
16,0.9294022,0.57369775,12.418521,0.03365263,2.100597,1.0603487,1.0608608,0.9245375
17,0.4737399,0.7979937,5.114139,0.7919899,2.7647843,0.8433533,1.0634947,1.0472318
18,0.77777356,0.8124462,14.65666,0.48275852,2.1742988,0.9526122,1.2086276,1.0473956
19,0.50505054,0.80593073,4.678901,0.78825355,2.9516659,0.95245796,1.0347342,0.962634
20,0.33868182,0.8036362,3.918199,0.88340735,2.9157531,0.9806275,0.95751053,1.0379779
21,0.5836009,0.7700256,4.1967177,0.7023945,3.0474138,0.90584433,0.9589899,1.1111394
22,0.35055488,0.7995237,3.3563707,0.96458256,2.5840213,1.0795987,1.0379583,1.0666105
23,0.13508323,0.79648465,3.2847815,0.8824035,3.0678995,0.75897807,0.85084796,1.0465865
24,0.74337393,0.7482019,3.4328156,0.84383214,3.1882749,0.9863182,1.0462539,1.1070197
25,0.8019582,0.7252614,2.668476,0.97600263,3.4582794,0.93862206,0.98597133,0.974898
26,0.65503806,0.760711,4.0056615,0.65698975,2.9189582,1.1519362,1.07335,0.92960584
27,0.49135292,0.79199195,3.9435253,0.7263207,2.8594947,1.110851,0.94996583,0.97602576
28,0.5305909,0.7820383,3.8980532,0.7071523,3.1308272,0.8326817,0.9374233,0.99517983
29,0.56176037,0.79797214,5.0499234,0.7921578,2.8033547,0.9791499,0.9497166,1.0197488
30,0.72047937,0.7998946,3.7533152,0.889083,2.970975,1.0483875,1.0868789,0.8951996
31,0.76839167,0.7557985,3.369306,0.73279995,3.2312946,0.8849563,0.8983801,1.1998405
32,0.3171001,0.78779566,8.335297,0.94492376,2.230503,1.1489202,1.1242402,0.9424335
33,0.6811623,0.76308775,3.9573112,0.6056236,3.1586652,0.8922942,0.96192133,1.0822395
34,0.5151614,0.8115892,4.8595314,0.58667976,2.7949479,1.0181046,1.0966429,1.0941778
35,0.47652695,0.8092327,4.0460243,0.7497404,2.6521034,0.95157903,1.120889,1.1693126
36,0.49036884,0.7777688,3.4058065,0.97873044,2.8858535,1.0504944,1.0351782,1.1503078
37,0.4609722,0.8015008,4.164947,0.76380557,2.89408,0.94498354,0.86660707,1.1514366
38,0.67382777,0.7783563,5.609495,0.39866096,3.0762615,0.9971514,1.1179293,0.880064
39,0.87772435,0.7478774,3.0166476,0.76949936,3.3835206,0.9571394,0.9530526,1.0347439
40,0.6853642,0.77794915,3.5032752,0.8139617,3.1349683,0.9772407,1.1500992,1.0814042
41,0.67534906,0.7647467,5.357968,0.3448863,3.0216343,1.065131,1.1086822,1.0253766
42,0.31102097,0.81182283,5.3086324,0.87563825,2.3965588,1.0112509,0.95578134,1.08669
43,0.44961134,0.79484487,3.3354468,0.97937876,3.0041606,0.9095734,0.8887807,1.0887263
44,0.5195235,0.8113438,5.2591705,0.66123194,2.732809,0.962131,0.9824316,1.0923749
45,0.5067141,0.79605633,4.296445,0.7285744,2.9194703,0.8831054,1.0665317,1.0127939
46,0.92901343,0.76351416,2.9155772,0.98021305,3.4708948,0.98621374,1.0241332,1.0124061
47,0.7009402,0.7890045,6.1936107,0.36173877,3.0255098,1.1058252,1.0503222,1.0926276
48,0.48596352,0.8011292,5.911479,0.5570516,2.6513574,0.8165923,0.99585485,1.0346633
49,0.64532465,0.7862531,3.5062668,0.82623166,2.911276,0.9906369,0.93163365,1.0204874
