,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.43668988,1.0417739,6.6537046,0.7385353,2.378621,1.1531019,1.109071,1.2153866
1,0.50649667,1.018873,5.584651,0.5780651,2.6082084,1.1915885,0.91929543,1.3377062
2,0.5785761,0.9271079,7.5298357,0.72864443,2.2099226,1.156965,1.0523291,1.1647168
3,0.53960025,0.9717769,5.953355,0.5360389,2.859272,0.9848118,0.91961163,0.97962344
4,0.58872753,0.9144615,6.9372506,0.6656061,2.4381485,0.8801527,1.0063187,1.4308954
5,0.49540856,0.9913921,6.8581514,0.57757694,2.496126,1.1096504,0.76294845,1.3276287
6,0.48957393,1.0107274,6.9908314,0.7008975,2.6588252,1.038321,0.9463134,1.1123128
7,0.51822305,0.99885774,5.869836,0.58645326,2.682083,0.92083657,1.0136119,1.3010367
8,0.5271444,1.0204605,5.39636,0.6391162,2.9005747,1.1262943,0.956053,1.0471079
9,0.5319299,0.9828259,6.8624845,0.7616762,2.4313314,1.1024437,0.94270283,1.4913154
10,0.3335293,1.0931406,6.9011874,0.7488976,2.7471013,0.9997497,0.8472973,1.0670729
11,0.470709,1.0185639,6.1041226,0.54103166,2.4583476,0.8609005,1.1105303,1.4756346
12,0.53943264,0.9220426,7.584437,0.73908114,2.4311278,0.9322447,1.053425,1.2859712
13,0.50997716,0.97620755,6.583817,0.5687948,2.3844607,0.93208134,1.0187519,1.4452941
14,0.48640847,0.972023,6.823326,0.94219875,2.5017955,0.86368895,0.7976592,1.2696605
15,0.489528,1.040803,5.724327,0.520549,2.7111979,1.0960531,0.88226396,1.2459476
16,0.5070732,1.0118111,5.1874313,0.47628608,2.7839878,1.0862473,0.8748996,1.1896605
17,0.5237232,1.0178412,6.200722,0.54195404,2.7597172,1.0196826,0.94125146,1.1786159
18,0.69026935,0.78493625,6.889276,0.5338761,2.1636405,1.1225213,0.9186691,1.2053862
19,0.52478695,0.97811013,7.0780373,0.779028,2.6463892,0.909698,0.81473583,1.2445284
20,0.569155,0.97279155,4.489127,0.563372,2.9395845,0.9874889,0.9153399,1.0758905
21,0.54033715,0.93074703,7.151285,0.7653897,2.4294846,1.0270354,0.92242324,1.3358057
22,0.54498947,0.94325465,7.773559,0.5591671,2.4002352,1.059473,1.1294206,1.1165935
23,0.61330396,0.9287273,5.546528,0.474507,2.923294,1.0062095,0.78079927,1.2692987
24,0.44398674,1.0544953,6.9941154,0.9012696,2.717388,0.95510316,0.8475322,1.0798073
25,0.40822434,1.0303533,7.0932975,0.669544,2.545282,1.0708095,0.881555,1.2614
26,0.5541107,0.95973206,7.6898065,0.750336,2.389641,0.9209851,0.8898706,1.2845665
27,0.49013194,1.0113025,5.61189,0.71042216,2.9082594,0.8511948,0.9156596,1.0017626
28,0.548117,0.92087066,7.946252,0.9961227,2.0500014,1.0198156,1.0777647,1.4463804
29,0.4696373,1.0364602,5.2716055,0.55883807,2.721287,1.0593436,0.98892945,1.1700027
30,0.5143824,1.028627,6.2415895,0.6020649,2.856713,0.91654885,0.86414903,1.1107671
31,0.5415822,0.9819328,5.990876,0.64429414,2.8228965,0.83531684,0.97037977,1.1287637
32,0.66130453,0.82088625,5.7726126,0.51059526,2.195147,0.94040275,1.0655122,1.150751
33,0.52929145,0.9898545,6.2227945,0.90072113,2.487419,1.1343788,0.9219188,1.2592483
34,0.49798492,1.0345834,5.1964273,0.62219894,2.7140923,1.0202584,0.95996237,1.3359565
35,0.5972659,0.92320883,7.010798,0.6797418,2.2513356,0.87804574,0.98960346,1.2227126
36,0.52627015,0.9516616,7.879434,0.63947326,2.1736693,1.125742,1.0615942,1.3705834
37,0.46097866,0.98852265,5.987435,0.6251302,2.7645879,0.9288192,0.75916874,1.2991705
38,0.49709192,0.9696905,7.015376,0.6238356,2.4074914,1.0465328,1.0780152,1.1205148
39,0.4840543,1.0072805,7.3804283,0.9133221,2.5484803,1.0585978,0.94042367,1.1323366
40,0.5226154,0.9690885,6.815118,0.6918648,2.6613517,0.9541369,0.85148484,1.1646199
41,0.51248205,0.99472207,5.8623743,0.7050509,2.8024518,0.91210914,1.0388386,1.0130147
42,0.5007248,1.0573069,4.724375,0.6068064,3.0462325,0.8319651,0.92158306,1.0612042
43,0.56930614,0.9344639,7.0073166,0.83521,2.1297107,1.0259807,0.94356126,1.3243567
44,0.49380383,1.0262932,5.1471395,0.54984426,2.8095293,1.0543324,0.9828961,1.1854305
45,0.5061034,1.001745,6.144038,0.6644643,2.8623307,1.011569,0.9122907,1.0377868
46,0.5363408,1.0021467,6.1626763,0.6860472,2.6962197,0.93960303,0.8698706,1.2290057
47,0.49378476,1.0336066,7.4782896,0.65308136,2.590539,1.0890661,0.9198288,1.2722081
48,0.54415727,0.9476825,7.8549876,0.7930291,2.4329488,1.0060414,0.8578334,1.3757203
49,0.5088348,1.0128076,6.9334073,0.4066685,2.7266011,1.1633826,0.9197551,1.0832527
50,0.44658893,1.0033535,7.1304336,0.6518274,2.6189198,0.95000577,0.94973123,1.205321
51,0.5371307,0.95537853,7.690368,0.6432443,2.3949454,0.8940556,1.0593531,1.3414428
52,0.55577767,0.8971687,6.410299,0.6261127,2.547748,0.9826829,0.8385528,1.0839454
53,0.37931737,1.0945189,6.5259743,0.87774676,2.8025405,0.91202813,0.8654713,1.2739244
54,0.543419,0.9206996,6.6791186,0.5365369,2.301926,0.88254386,0.8450532,1.1902413
55,0.53529066,0.9560031,7.137018,0.73248196,2.3504095,1.0587062,0.91954595,1.3724958
56,0.42846012,1.0705761,5.8561573,0.65686697,2.6930017,1.0429628,0.90163517,1.306639
57,0.468417,1.0053735,7.473544,0.58134705,2.4695573,1.0132622,0.84760183,1.3090838
58,0.53546154,0.94436145,7.0458593,0.86821955,2.4882514,0.8410494,0.89994526,1.2528085
59,0.45301595,1.0430241,7.006986,0.73552847,2.35994,1.0124582,0.9371019,1.2890995
60,0.42955768,1.0548538,7.046619,0.6057057,2.639999,1.1325042,0.99418163,1.0523723
61,0.55422634,0.93768317,6.958483,0.7534192,2.640912,1.1053905,0.872566,0.9877606
62,0.5026295,1.043587,4.8699512,0.6647309,3.071679,0.91185516,0.72458243,1.1255956
63,0.45146045,1.0370791,5.8558626,0.6698158,2.8480752,0.9325145,0.89144117,1.1309378
64,0.4228091,1.0274693,7.5162115,0.8369539,2.5390573,1.0093832,0.96040565,1.2905234
65,0.5350549,0.99768394,6.027343,0.5600823,2.586534,1.0159538,0.98231906,1.5197707
66,0.5327385,0.9838758,5.7965174,0.58046746,2.847207,0.9225462,1.0365975,1.2038349
67,0.5268924,1.0027972,5.133527,0.48736027,2.7325947,1.1299998,1.0179994,1.1526474
68,0.52293724,0.97240543,7.678501,0.656944,2.450567,1.0342282,0.9138467,1.1318151
69,0.54930466,0.94089043,7.51694,0.5904725,2.4634116,0.9947049,0.96168953,1.356454
70,0.5742624,0.9153941,7.789799,0.7445191,2.4421504,1.0012189,0.79231185,1.3069723
71,0.68652713,0.8457815,6.758694,0.6478054,2.2827954,0.9971759,1.0625483,1.2562548
72,0.5880394,0.9371083,4.604452,0.6297176,2.8094203,0.998751,0.7934509,1.2579452
73,0.54635894,0.9701599,5.4126763,0.68811315,2.860964,0.891245,0.9244196,1.0551167
74,0.5327183,0.9572462,6.966538,0.58934337,2.637317,0.97198063,0.9270159,1.0913237
75,0.4959787,0.96767485,6.830788,0.5921179,2.195258,0.84928054,0.99547684,1.2865497
76,0.4956924,1.0019325,7.208901,0.6800355,2.581846,0.92965746,0.9779566,1.1741412
77,0.4507017,1.0513395,7.415758,0.7816853,2.6058211,1.0742097,0.8303847,1.1247079
78,0.4762918,1.0288041,4.9345503,0.6041982,2.9640129,1.0580164,0.6973342,1.0609072
79,0.44764748,1.0455656,5.963433,0.76215607,2.7598262,1.0358268,0.74328536,1.2427572
80,0.5190424,0.96647936,6.778646,0.78187686,2.331501,1.0205569,0.92126083,1.2462035
81,0.47542772,1.0234408,5.9583793,0.46195844,2.7433987,0.9132151,0.8811019,1.3092794
82,0.45805866,1.0503927,6.9232345,0.7612797,2.7140422,0.96985376,0.92280203,1.040073
83,0.5129032,0.9436673,7.849038,0.83527523,2.3639648,1.164517,0.83146703,1.1428972
84,0.5294705,0.95301825,7.2361655,0.60068184,2.5393765,1.0424107,0.9706048,1.2155977
85,0.42496625,1.0448549,7.3213644,0.6449358,2.4840152,1.1041385,0.96953607,1.3407694
86,0.49082887,0.9734064,7.9065723,0.5932907,2.2957828,1.1419361,0.8978349,1.3080128
87,0.58122236,0.95598155,5.7711086,0.69127876,2.6221306,0.9805832,1.0364723,1.3729051
88,0.52952635,0.963192,7.332586,0.6468517,2.2349505,0.88559663,1.1535195,1.5403254
89,0.52697086,0.989914,6.4852114,0.5092455,2.6533902,0.87848884,0.9676327,1.4208308
90,0.56294835,0.9360799,6.303706,0.5008935,2.4438272,0.91360956,1.0344902,1.1279461
91,0.44265884,1.0197736,5.929106,0.5890212,2.6200244,1.0292988,0.87579674,1.3371041
92,0.35216945,1.0831547,5.971033,0.67739457,2.6839876,0.98125345,0.9283185,1.2440681
93,0.5658255,0.92022675,6.443952,0.6234066,2.242032,1.1156654,0.9610581,1.2139865
94,0.5063452,1.0291824,6.3209333,0.5748336,2.7511616,1.0495833,0.90927505,1.1494677
95,0.45538297,0.99739736,6.6096606,0.8246638,2.466111,1.0249343,0.9572404,1.3200107
96,0.49014047,0.9851128,7.1257777,0.855403,2.3171978,0.97080755,1.009328,1.4655756
97,0.51021147,0.9895711,8.4424,0.7541074,2.4470851,1.146969,0.92543983,1.0957509
98,0.51960814,1.0091635,3.9324183,0.62684923,2.9129772,1.0195817,0.97758645,1.2588441
99,0.40635228,1.0379177,6.639574,0.611611,2.602998,1.0144069,0.9359884,1.173454
100,0.5091982,1.0492551,2.7523103,0.7573471,3.19114,1.1078677,1.059976,0.9419027
101,0.51623064,0.9952448,6.400679,0.4655575,2.8984764,0.998757,0.76653135,1.0871829
102,0.48786345,1.0009073,6.1458087,0.6411029,2.5167606,1.1008242,0.9534763,1.3112988
103,0.5830603,0.8840123,7.403569,0.79260826,2.36025,0.9571001,1.0391346,1.3296658
104,0.45057386,1.0616275,6.3343306,0.68873316,2.6943104,1.0009648,0.94244117,1.2091143
105,0.49112314,1.011963,5.7895527,0.5849061,2.6878633,1.0255985,1.0012416,1.2516605
106,0.4665518,1.0084202,7.5081415,0.6870563,2.485488,0.98213524,1.0066237,1.3117471
107,0.47590426,0.99841946,7.439898,0.6788407,2.5346308,0.9197662,0.8960859,1.3683428
108,0.43481794,1.0425562,8.540523,0.661305,2.6733074,1.0217303,0.8603839,1.0910105
109,0.4606966,1.0469365,6.264107,0.5575352,2.6863813,0.9258669,0.9774275,1.3474045
110,0.5387648,0.96050537,5.9163003,0.84130454,2.6554587,1.0270829,1.015675,1.1697965
111,0.5995811,0.95128465,6.692287,0.6685487,2.7539072,1.0640641,0.9123784,1.054237
112,0.43701446,1.0327395,6.5930657,0.808289,2.4735546,1.0299059,0.9914953,1.3989153
113,0.47860286,0.9974963,7.4405637,0.9147786,2.4192808,1.0680795,0.9795854,1.2066664
114,0.47300577,1.0126665,6.446158,0.6042975,2.5951693,1.0358851,0.86104476,1.2196709
115,0.47525695,1.000754,7.1690297,0.6944085,2.5725782,1.0463339,0.9657221,1.1500927
116,0.44668746,1.0583363,6.5478544,0.6299854,2.7711527,0.82681394,0.93653566,1.1518357
117,0.4371365,1.0298432,7.2292333,0.8426541,2.515098,0.89629775,0.8356499,1.3605368
118,0.54369444,0.9582732,7.44263,0.666,2.5529835,1.0434283,0.9676936,1.2614243
119,0.5102345,1.0056423,6.241425,0.62995666,2.89384,0.9007509,0.9373539,1.0894306
120,0.4893201,0.98258364,6.914614,0.7831439,2.5157552,1.0139762,0.8622036,1.2755077
121,0.4765278,1.0008944,6.909319,0.6755434,2.5009484,0.93154365,0.8344958,1.3932786
122,0.49546248,0.95891976,7.055492,0.6906238,2.5319388,1.0095401,0.87221277,1.0644363
123,0.52519214,1.0051063,6.313845,0.6133533,2.5535157,1.0207773,1.0524367,1.5938241
124,0.5492367,0.9377151,6.047739,0.57254326,2.6137474,0.89904976,0.7890199,1.160563
125,0.5885006,0.9017336,7.6827874,0.7040541,2.3031936,0.99986786,0.97746235,1.4239382
126,0.43648115,1.0319246,6.009586,0.72886467,2.6524878,1.0224091,0.9181443,1.3010283
127,0.5323997,0.98267835,6.702313,0.86377335,2.6930273,0.9544064,0.86432743,1.2250191
128,0.58247024,0.9642948,4.161501,0.5769846,3.0714781,1.1531761,0.9575508,0.85455275
129,0.5624874,0.9447152,7.077396,0.6032383,2.4908223,0.9633212,0.97029954,1.4372735
130,0.49094188,0.99379987,7.201894,0.62313855,2.46214,1.0675248,0.9098273,1.3756572
131,0.59128904,0.9145773,7.025435,0.5191871,2.5966666,1.120224,0.9579067,0.8853326
132,0.48651987,0.9982828,6.867113,0.60627997,2.424387,1.043258,0.93994874,1.4068717
133,0.50518554,0.98610115,6.192955,0.77390325,2.8758247,0.8500505,0.8536415,1.0216026
134,0.52443105,0.9235444,7.4656096,0.7123096,2.2584548,1.1179254,1.0411878,1.1782662
135,0.5686864,0.90309024,6.973646,0.56908476,2.3590279,0.86379564,1.0561619,1.2511153
136,0.45642442,1.0205773,5.6436396,0.6168794,2.6330543,1.1397493,0.9830654,1.1036348
137,0.39386797,1.053701,9.065577,0.80442154,2.5509005,0.9298131,0.87866974,1.3385515
138,0.50159705,0.9779384,8.102026,0.6554695,2.4536257,0.81725013,0.99241465,1.2056763
139,0.563899,0.92207247,7.089412,0.75782025,2.4596407,1.013661,0.99230635,1.0419995
140,0.5443404,0.9588542,7.3442707,0.69912976,2.3269274,1.0145987,0.85139644,1.4039751
141,0.51151884,0.9945673,7.7349277,0.8969708,2.4924414,1.0154461,1.015137,1.3434578
142,0.56501,0.90164775,7.575092,0.79010856,2.2681715,1.0503373,0.9522977,1.2689466
143,0.5297153,0.97042656,6.5247464,0.6620275,2.594681,0.8733261,0.8166135,1.3951468
144,0.47989157,1.012291,7.849224,0.6635208,2.3818965,1.0324503,0.990854,1.4520813
145,0.4884057,1.0200721,6.8453503,0.74669623,2.6972377,0.95487976,1.0287818,1.0102221
146,0.5472002,0.99839234,4.1613226,0.64422715,2.9513988,0.9850468,1.001481,1.0985013
