,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.026959566,1.2295939,10.644681,0.7665601,2.6774106,0.80656546,0.99608755,0.8770361
1,-0.02951099,1.1124548,4.181839,0.026809573,2.678092,0.8284237,0.7705318,0.80078405
2,-0.2574996,1.146722,9.907361,0.0938957,2.678389,0.92773706,0.909689,0.80228823
3,0.15461455,1.1850301,10.671692,0.27716243,2.7839398,0.90167,0.92208886,0.73149085
4,-0.29116854,1.1519092,8.268882,0.1302931,2.7908769,0.8280031,0.770023,0.8153267
5,0.1238939,1.2727602,13.919616,0.8216714,2.6432307,0.9148642,0.8440251,1.0513237
6,0.6770746,0.8860085,3.2238379,0.25546563,2.7898698,0.93850476,0.96786255,0.8222269
7,0.57570654,0.94697326,8.194709,0.10285322,2.6783361,0.77395,0.8807863,0.9034165
8,-0.028942231,1.2074002,10.5431795,0.35484478,2.8953776,0.7862922,0.8588701,0.7973158
9,-0.07970125,1.2519094,10.636157,0.2132969,2.7164636,0.88530093,0.8916668,0.86610067
10,0.84628004,0.582849,9.110459,0.033833712,2.7490313,1.0289572,0.9463686,0.8082074
11,0.10350414,1.2122369,14.515201,0.26372725,2.8431752,0.9017999,0.8555501,0.794499
12,-0.52669024,1.0213886,7.961259,0.7903021,2.5751777,0.9025871,0.9891362,0.913445
13,-0.062257987,1.150823,5.2173615,0.49437007,2.7470105,0.9781445,0.91210365,0.9134348
14,-0.68869364,0.87183356,12.149224,0.17428312,2.727357,0.8250292,0.81556034,0.8480769
15,0.39429653,1.0618999,4.574426,0.13645804,2.7106693,0.82924396,0.99478716,0.70021856
16,-0.39590093,1.0504569,12.024079,0.2561477,2.637593,0.8643082,0.8886023,0.830309
17,0.13002414,1.1673561,8.79819,0.31930736,2.7042267,0.9083587,0.922312,0.8309077
18,-0.0071818023,1.1809351,3.9839454,0.74598277,2.6165683,0.7987348,0.882488,0.875865
19,0.03717629,1.2005887,13.282911,0.5815455,2.8166845,0.8711049,0.8454998,0.8567097
20,-0.18274099,1.2081912,12.435488,0.9962934,2.732575,0.8187498,0.96899486,0.85248196
21,0.75187314,0.8065714,7.864097,0.17681772,2.6220589,0.8871542,0.860782,0.7940404
22,0.16232938,1.1396673,3.7180274,0.15426475,2.6899452,0.8739042,0.9518609,0.87269235
23,-0.22385255,1.1563331,14.091809,0.4022303,2.7764733,0.91396546,0.8298793,0.74715763
24,0.30491114,1.1484777,10.065817,0.23649211,2.8988085,0.77487165,0.84444433,0.7494125
25,-0.01635705,1.2001777,9.116344,0.3631743,2.530124,0.8955447,0.92043525,0.86907226
26,0.45651376,1.0750766,12.135212,0.17224418,2.652467,0.85726947,0.88973266,0.78413
27,0.17165494,1.1458212,13.343875,0.2762545,2.7578578,0.8334011,0.85623467,0.7875795
28,-0.34753978,1.1282276,12.784714,0.17038694,2.6980078,0.83688456,0.91491663,0.7544757
29,-0.78538126,0.7998231,9.006056,0.4047078,2.8025622,0.716571,0.89296323,0.8945218
30,-0.117193736,1.1874268,14.5017605,0.4324684,2.9171627,0.7550162,0.89053,0.7517101
31,-0.74488866,0.82458925,10.010375,0.66820425,2.7613938,0.8411768,0.8691498,0.7963755
32,0.52023107,1.0332386,8.819805,0.70742726,2.8031538,0.781671,0.9027174,0.84368676
33,0.53650403,0.98572856,11.160928,0.41621155,2.7255437,0.7484127,0.79546624,0.8881054
34,-0.6139407,0.94098294,12.925773,0.5235268,2.5284007,0.9501245,0.9230449,0.85984045
35,0.045843016,1.1870981,6.088133,0.79197663,2.541962,0.958345,0.95749485,0.98712325
36,0.18685491,1.2143753,14.238094,0.16261838,2.712187,0.8441723,0.92507154,0.9256048
37,-0.42954507,1.1002874,13.011734,0.6306316,2.7418234,0.9105482,0.83026826,0.9199588
38,0.6601483,0.9153376,11.471557,0.18970098,2.5492315,0.91311044,0.904633,0.94707835
39,-0.074607305,1.0950851,3.0960002,0.05989948,2.7603343,0.86444265,0.91510046,0.91061366
40,0.7937613,0.6991253,5.6773963,0.4768407,2.8964071,0.7262476,0.7249577,0.8542931
41,-0.45004174,1.095997,12.328628,0.4209193,2.7394266,0.77331066,0.86431766,0.83925015
42,-0.4836048,1.072808,8.074736,0.46486717,2.7431738,0.9947606,0.83686996,0.93477386
43,0.09742504,1.1783273,8.611022,0.3736475,2.7092688,0.6980648,0.9607653,0.81980515
44,-0.78616273,0.7703206,9.555682,0.55366695,2.8376327,0.9075015,1.0085756,0.7136605
45,0.55906755,1.003926,4.7989492,0.7433132,2.6709704,0.7565636,0.9397722,1.0145203
46,0.5118464,1.0491414,6.129949,0.73790646,2.7733247,0.7943456,0.76469517,0.8065651
47,0.33382875,1.1069508,11.926678,0.7865927,2.520648,0.7789669,0.940183,0.9429105
48,0.8290175,0.6665992,4.9829445,0.28900978,3.0351968,0.6432358,0.8467032,0.8409417
49,0.2647371,1.1673565,6.265729,0.66886765,2.7824223,0.82280886,0.8335502,0.78579706
50,-0.4470834,1.087858,10.766526,0.7978053,2.6570737,0.8263688,0.9451432,0.8097423
51,-0.287931,1.1578988,12.74309,0.88581043,2.6620927,0.8077922,0.9167898,0.9401524
