,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.60343724,0.9128999,5.42603,0.6607117,2.440674,0.8311077,0.9324755,1.2360383
1,0.45170954,1.0926087,5.600237,0.84917635,2.7243292,0.9561756,0.8705764,1.0952839
2,0.5152843,1.0089136,4.7274046,0.53435075,2.5479894,0.9073887,0.86168075,1.367505
3,0.60369074,0.892454,5.919392,0.9697656,2.6169703,0.9678073,0.7070314,0.9363349
4,0.5826167,0.9171674,4.753781,0.47670367,2.6282299,1.0059737,0.8869087,0.890135
5,0.6622934,0.8412223,5.255351,0.9155645,2.400116,0.9493217,0.9786886,1.1005199
6,0.42592633,1.0670933,5.675377,0.6097836,2.7305818,0.9595747,0.90158904,0.9705955
7,0.6518669,0.85225743,5.837043,0.56782305,2.5862567,0.87575376,0.8772686,0.9588494
8,0.43476892,1.0616428,3.483433,0.7492272,3.0045195,0.91699934,0.7823015,0.9819141
9,0.6138413,0.8581293,5.01336,0.87504274,2.4622602,0.9924951,0.82144237,1.1695149
10,0.47289532,1.041861,4.783212,0.77693367,2.5389097,0.8622496,1.0362438,1.1665899
11,0.38875028,1.0832663,5.615801,0.75511104,2.814009,0.87034196,0.88113254,0.96308583
12,0.378541,1.0791738,5.1575913,0.8052945,2.6804314,1.0380844,0.9238408,1.2059252
13,0.69502014,0.7827363,7.992834,0.77224016,2.4418328,0.8946367,0.9407408,0.9759837
14,0.7077556,0.7116574,8.19358,0.91308886,2.3751085,0.9094661,0.88158333,1.0719831
15,0.6226878,0.8641536,5.5367904,0.9512146,2.5300298,0.9277147,0.8128986,0.97284013
16,0.46851972,1.028372,4.9609942,0.7668269,2.5857215,1.0427533,0.8838996,1.1077497
17,0.5867337,0.9283131,5.37361,0.71307504,2.4999485,1.026506,0.883191,1.0467066
18,0.48469406,1.0412748,4.6625543,0.39225385,2.610051,1.0237443,0.94743603,1.1795377
19,0.6252343,0.8892659,4.9543834,0.50727254,2.5060134,0.9217461,0.9061162,1.2511961
20,0.63405484,0.89531225,4.8020053,0.42335114,2.3605912,1.1461028,0.8599314,1.2840403
21,0.74985147,0.63445604,8.809916,0.9786825,2.2692738,0.93893117,0.9606301,1.0088139
22,0.63824546,0.8348554,5.8678718,0.9221673,2.4623466,0.9386965,0.8538747,1.1082584
23,0.5981878,0.95566314,4.9018106,0.5301828,2.6942456,0.99283296,0.7957732,0.92248803
24,0.54249704,0.9844792,4.9530697,0.62904036,2.7101574,0.8633149,0.79226345,1.0293692
25,0.45413288,1.042648,4.812329,0.5999883,2.8095212,0.7094324,0.947492,1.1337651
26,0.43502623,1.0511029,3.7086625,0.6038166,2.98529,0.7388078,0.781225,1.1794895
27,0.5767487,0.9536959,4.924554,0.53771967,2.499141,1.0202421,0.79963213,1.2240915
28,0.5491381,1.0015997,5.112134,0.7639197,2.4902089,0.89558774,1.0655037,1.0957512
29,0.72494435,0.6772603,7.724676,0.643925,2.3792787,0.76937103,0.9302594,1.0778189
30,0.51299685,1.001276,5.370259,0.5338779,2.672547,0.93276286,0.8865943,1.0202053
31,0.39723983,1.0819688,4.8329177,0.56767684,2.6825142,0.94606906,0.9234108,1.1037896
32,0.63385093,0.8362378,6.3306155,0.9590968,2.3100064,1.0154088,0.939221,1.2002382
33,0.36171794,1.1162493,4.9944296,0.79140663,2.694195,1.026587,0.91084486,1.0959522
34,0.5981806,0.91169333,4.632903,0.54886717,2.383518,1.0742795,0.9471117,1.2884134
35,0.48038977,1.0361319,4.976709,0.7769042,2.645904,0.9063551,0.9627103,1.0635303
36,0.5019794,1.0175856,6.0437617,0.88727725,2.645583,0.7492357,0.99489367,1.1749246
37,0.41950145,1.1184436,4.8013053,0.8034279,2.7887855,0.84584004,0.9325518,1.1794215
38,0.6429368,0.85735905,6.3733215,0.6788318,2.398039,0.79887074,0.9825603,1.2261378
39,0.42094567,1.085387,5.097896,0.741156,2.9184,1.0078796,0.7867183,0.88079363
40,0.38279763,1.0889643,4.587968,0.63876826,2.6631527,0.9123565,0.99310106,1.0655969
41,0.25672537,1.1550957,5.218076,0.729398,2.773296,0.9921561,0.8577013,0.97528356
42,0.65487826,0.85189676,6.0013566,0.75494605,2.4271197,0.960101,0.87809545,1.1168952
43,0.29915068,1.1500577,4.0816035,0.71313,2.9161205,0.9148318,0.9056402,0.91703033
44,0.55504626,1.0012045,5.041003,0.7407452,2.5632217,0.9530768,0.85924035,1.2508786
45,0.5791981,0.92179656,4.749199,0.5168731,2.3751063,1.0542388,0.88658047,1.2575749
46,0.68896985,0.81215054,5.295036,0.61936647,2.3693676,1.0749869,0.8688235,1.1546129
47,0.7634728,0.5871283,8.936441,0.90138036,2.296923,0.957613,0.78933364,1.0213968
48,0.41426104,1.0690309,5.6388044,0.7066712,2.7267625,1.0564216,0.9187834,0.9700923
49,0.5998183,0.9281876,5.3772693,0.7616121,2.5953405,0.8407466,0.91018164,1.105892
50,0.56656545,0.94385767,4.8822575,0.6903607,2.6192455,0.9735637,0.86205244,0.972857
51,0.7059466,0.7538115,7.211199,0.8243823,2.3878777,0.93923914,0.92681354,1.0673679
52,0.7308938,0.7030141,7.209529,0.819903,2.4748385,0.96288836,0.8568947,0.95549256
53,0.43407977,1.0545117,5.5348525,0.61177456,2.615134,1.0063027,0.8145317,1.1593734
54,0.6581806,0.74954164,8.417896,0.87484694,2.4332294,0.9674108,0.84259313,0.9290856
55,0.46194512,1.0261815,4.8709006,0.71878254,2.5677927,1.0664428,0.8605932,1.0402253
56,0.42241862,1.0629812,4.435077,0.54678744,2.8715253,1.0413953,0.6991828,1.0763812
57,0.73472226,0.6810129,7.6100197,0.8963058,2.3484466,1.0368305,0.8254177,1.0375373
58,0.6623916,0.83392376,6.036686,0.58741933,2.6968565,0.7455074,0.717782,1.0204277
59,0.43785197,1.1019406,3.88636,0.96893924,2.734074,1.0336974,0.88348585,1.3326083
