,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
0,0.40662694,1.0751618,2.4794366,0.63047296,3.2224796,1.0875486,0.82996196,0.91687554
1,0.29514736,1.1489767,3.414363,0.5753914,2.9415672,0.95481783,0.8411378,0.8337649
2,0.46529046,1.0003009,4.886583,0.35050073,2.5714028,0.94861805,0.9444975,0.9881673
3,0.28553256,1.1008332,4.4779053,0.4652509,2.914109,0.9034914,0.81603044,0.99729764
4,0.54170114,0.9785413,3.7587962,0.64172375,2.7562912,1.1043304,0.8778271,1.076171
5,0.25857523,1.1271749,5.4357824,0.4471433,2.3361883,1.050693,1.0699596,1.3024393
6,0.5127138,1.0110043,5.140553,0.4167357,2.7493336,0.92072463,0.8040337,1.0489225
7,0.4524928,1.0136455,2.9208198,0.5971229,2.9148319,1.0424697,0.8767337,1.0119325
8,0.3778758,1.0353786,6.646671,0.7500429,2.2903938,1.2345104,0.90779203,0.9518213
9,0.5221344,0.97323954,5.15312,0.2850242,2.6706877,1.0052857,0.6994114,0.9045831
10,0.42131805,1.0468295,5.0638857,0.42623463,2.4850543,1.0487691,0.891743,1.0964447
11,0.22763577,1.1135665,7.1534815,0.26146254,2.4685564,1.1074846,0.80850613,0.9232418
12,0.18585333,1.1540881,3.3937125,0.5332026,2.8535192,0.98161715,1.0348244,1.1769456
13,0.51933604,0.99118036,8.16764,0.21433645,2.4329932,1.1440942,0.90703887,0.80137086
14,0.54731965,0.9621955,4.1442404,0.4739686,2.6273685,1.1536992,0.9575517,0.8202536
15,0.40294468,1.0564158,4.769001,0.5245515,2.729189,0.9799542,0.8265113,0.7906608
16,0.31197256,1.1077094,4.0572877,0.53927517,2.7091382,1.0731974,0.8172584,0.97920036
17,0.39186245,1.0509626,5.488065,0.50094676,2.6249797,0.9704793,0.9212706,0.9212801
18,0.4141665,1.0465763,3.2789333,0.61998975,2.9018004,0.96066475,0.91370493,0.83351666
19,0.5492489,0.9456796,4.6846585,0.25040698,2.7264633,0.9491844,0.7503168,0.8354562
20,0.38296512,1.0919784,3.9744904,0.51754475,2.7443678,1.1011744,0.8411337,0.98869014
21,0.3555285,1.0669544,3.107263,0.7918596,2.9430377,1.0456465,0.9110641,0.8945453
22,0.4740169,1.0250468,5.225214,0.4496718,2.802174,0.9005925,0.7512578,0.804263
23,0.37633088,1.0924486,4.606798,0.52252734,2.7380009,1.1271487,0.729132,0.8650681
24,0.4686875,1.0372275,2.9498,0.9132971,2.903336,0.96711266,0.92764467,1.0647756
25,0.4518638,1.042995,3.7486103,0.46233508,2.7909074,1.1213461,0.8468207,0.8992217
26,0.47560418,1.043053,4.430219,0.47217754,2.781749,1.1009238,0.86196643,0.85296464
27,0.35279673,1.0297601,8.585302,0.40670323,2.3846984,0.93929654,0.8815834,1.0448278
28,0.20676742,0.9601494,3.9947696,0.20713942,2.219015,0.8591693,0.9785752,1.0191538
29,0.33275366,1.0700809,7.3634815,0.40843007,2.3569822,1.0198076,0.91014296,1.053791
30,0.42473373,1.0494792,3.3497107,0.67983466,3.0234635,0.97388935,0.80819064,0.9491511
31,0.43616772,1.0449742,2.9450884,0.91731405,2.7967153,0.9142145,0.99704665,1.1369797
32,0.34144333,1.0947627,3.6592493,0.9148833,2.8681538,1.0489058,0.85716236,0.9611179
33,0.3558262,1.0515089,5.872799,0.39287826,2.458247,0.862853,0.90732515,1.203645
34,0.17160732,1.1358688,2.7871938,0.6419418,2.9991682,0.94394004,0.8966918,0.89269465
35,0.37758285,1.0349952,5.5791254,0.6809144,2.3126554,1.1300633,0.9565357,0.9893667
36,0.05321266,0.9452682,3.9228177,0.2481033,2.1728747,1.0066712,0.9332898,0.9405126
37,0.39920834,1.0298413,4.9985237,0.24291438,2.528618,1.0538496,0.80644006,1.0721843
38,0.5510267,0.9493826,2.689473,0.878715,2.8787055,0.9691861,1.0668603,1.2156603
39,0.38396683,1.058595,5.007168,0.376958,2.4512372,1.037194,0.7798516,1.1000624
